 	o	b	e	n	g	i	á	m	i	y	a	á	l	a	b	í	l	í	t	s	ε	y	e	é	m	i	b	o	m	á	w	a	</S>
le	0.00549137	0.00480384	0.00616473	0.006638	0.0151319	0.010102	0.017537	0.0271502	0.0492628	0.043842	0.0516028	0.0525263	0.0707642	0.123628	0.098982	0.0632001	0.0858358	0.0531228	0.0292697	0.0271795	0.00881513	0.0119018	0.008878	0.0101673	0.00889132	0.00967465	0.0114343	0.0136045	0.0137814	0.0164146	0.0160008	0.0159928	0.0122084
chassseur	0.0531812	0.105218	0.102814	0.0676935	0.0580396	0.0263954	0.0117749	0.0397216	0.0269099	0.0328989	0.0313757	0.0186413	0.0288744	0.025958	0.0368939	0.0647227	0.0777591	0.0552168	0.0294366	0.0158354	0.00553937	0.00941438	0.0108448	0.00963097	0.0137045	0.00907151	0.0067238	0.0050588	0.00705843	0.006273	0.00410646	0.00200759	0.00120577
a	0.0550341	0.0488909	0.0301236	0.0327894	0.0305828	0.0558741	0.0320815	0.0324936	0.0333053	0.0334242	0.031899	0.035845	0.0192155	0.0273535	0.0267806	0.0389092	0.0648581	0.0604281	0.0610413	0.0520826	0.0286772	0.0290144	0.0379601	0.0134864	0.0129605	0.0127713	0.0168061	0.00973628	0.0107609	0.00542107	0.00991028	0.00579038	0.00369256
apporté	0.0242472	0.0398411	0.0381244	0.0373671	0.0327476	0.0470325	0.0342823	0.0459492	0.0352891	0.027135	0.0159188	0.0290867	0.0155698	0.0206347	0.0143282	0.00856441	0.0142249	0.0125195	0.0209637	0.0431402	0.0639417	0.0453309	0.0433152	0.0261361	0.0272939	0.0394072	0.0254568	0.0260085	0.0257493	0.0248849	0.023436	0.0233578	0.0487151
le	0.0227268	0.0250363	0.028287	0.0306927	0.0322033	0.0329157	0.0342088	0.0300033	0.0195645	0.0156871	0.0181577	0.0213486	0.0251865	0.0244759	0.0238984	0.0290747	0.0245568	0.0220395	0.0237387	0.0237374	0.0338653	0.0314055	0.0339273	0.0371318	0.0342642	0.0343059	0.0379235	0.0423712	0.037772	0.0281064	0.0365972	0.0430034	0.0617865
phacochère	0.0190193	0.0208055	0.0230118	0.0262311	0.0252422	0.0240231	0.0320457	0.040386	0.0394002	0.0346126	0.031751	0.0293953	0.024749	0.017814	0.0142117	0.0118716	0.0115431	0.0141959	0.0220205	0.025939	0.0395053	0.0420218	0.0587096	0.0611977	0.0502527	0.038564	0.0395583	0.0329903	0.0332075	0.0248969	0.0226156	0.0228312	0.0453805
qu'	0.0366659	0.0333407	0.026795	0.0249032	0.025492	0.0278845	0.0328232	0.0284327	0.0287566	0.024014	0.0176207	0.0172621	0.0115228	0.00876335	0.00738215	0.00595499	0.00496626	0.00605392	0.0121064	0.0267699	0.0418889	0.0461623	0.0524031	0.0588172	0.0534357	0.0473159	0.0473	0.0409501	0.0435914	0.0163091	0.0266664	0.0425416	0.0751082
il	0.0251178	0.0263018	0.0396399	0.0486945	0.0450228	0.0401497	0.044132	0.0351324	0.0319503	0.0266498	0.0390821	0.0266898	0.0231809	0.0410556	0.0314534	0.0241089	0.0172973	0.0070745	0.00366472	0.00359487	0.0105874	0.00846601	0.0124569	0.0113154	0.0122415	0.0147303	0.0179119	0.0310694	0.0362542	0.0366619	0.0387522	0.0475957	0.141964
vient	0.0995807	0.0410898	0.0312493	0.0228395	0.0191093	0.0130202	0.010262	0.00899983	0.00935081	0.00964052	0.0205454	0.0173787	0.0158312	0.0483493	0.0670031	0.0566683	0.0837147	0.0495145	0.0330997	0.0191459	0.0281092	0.0243908	0.0164789	0.0130422	0.0110074	0.0145024	0.00874264	0.0132222	0.0147775	0.0054879	0.0176442	0.0504795	0.105722
de	0.0461648	0.0396982	0.0451072	0.0489673	0.0446828	0.0388473	0.0290848	0.0168636	0.0100904	0.00777778	0.00923688	0.0103573	0.00869986	0.0158429	0.0119527	0.00928704	0.0152892	0.0118515	0.010702	0.0171293	0.0397613	0.0378335	0.0365603	0.0321757	0.0340378	0.0398245	0.0307186	0.0385133	0.0395236	0.029722	0.036435	0.0505031	0.106759
tuer	0.145507	0.0539693	0.0383158	0.0288628	0.0256431	0.0173361	0.0158673	0.011282	0.0125485	0.0127319	0.0112862	0.0154783	0.0117478	0.0166143	0.018114	0.0110819	0.0129012	0.0136891	0.0170131	0.0193413	0.0413883	0.0267864	0.0219889	0.0214079	0.0252806	0.0277415	0.0143034	0.0174524	0.0218903	0.0208191	0.0243233	0.0458299	0.181457
</S>	0.120128	0.0663253	0.0464197	0.0355121	0.0327462	0.0214061	0.0149308	0.00698621	0.00948669	0.00893114	0.00626593	0.00822641	0.00632841	0.00862467	0.00869674	0.00492188	0.00675927	0.00671494	0.00928209	0.013959	0.0214184	0.0158014	0.013751	0.0170162	0.0219236	0.0273561	0.0197586	0.0268165	0.0337	0.0252748	0.0364085	0.0982525	0.19987
