 	a	l	ω	i	m	á	á	p	έ	w	a	n	g	á	á	d	i	m	a	á	m	a	á	</S>
le	0.0341847	0.0169547	0.0146534	0.00923192	0.0267814	0.035776	0.0336633	0.0420483	0.0438483	0.0457079	0.0376188	0.0380112	0.0393204	0.0388369	0.0429298	0.0664209	0.0723614	0.0845968	0.0595019	0.053048	0.0557851	0.0541146	0.0346482	0.0199559
vin	0.0437652	0.0739302	0.183136	0.197196	0.220055	0.0534182	0.0176805	0.026383	0.0169527	0.06785	0.0170454	0.0114226	0.0132521	0.00990921	0.0137055	0.00124627	0.00351881	0.0034844	0.00351056	0.00384226	0.00416329	0.00476133	0.00591628	0.00385511
qu'	0.0407872	0.0411418	0.0499007	0.0539375	0.0621512	0.102339	0.104057	0.0648733	0.0376073	0.0200505	0.0474532	0.0321361	0.0372461	0.041504	0.0349823	0.0288365	0.0217492	0.0260616	0.0149854	0.0133095	0.0195829	0.0249822	0.0341773	0.0461478
il	0.0530392	0.0330102	0.0599578	0.0193883	0.0217007	0.038032	0.0510774	0.0483514	0.0684883	0.0350041	0.039285	0.0374029	0.0591824	0.0492268	0.0511243	0.0282097	0.0457235	0.0685301	0.0289202	0.0228713	0.0213389	0.0137936	0.0146946	0.0916473
m'	0.0130395	0.0119124	0.0099057	0.0127955	0.0205876	0.0344637	0.0344764	0.0553677	0.0561691	0.0605926	0.076526	0.0969924	0.0546298	0.0548809	0.0283238	0.0711483	0.0313747	0.030743	0.0281092	0.0250544	0.0297456	0.036359	0.0400467	0.086756
a	0.0335614	0.0287368	0.0194301	0.0253922	0.0294786	0.0361536	0.0315232	0.0479405	0.0282184	0.0375758	0.0456454	0.0779391	0.0453299	0.0299777	0.0145763	0.0262839	0.0194103	0.038037	0.0292614	0.0246324	0.0386927	0.0516807	0.0880825	0.15244
offert	0.0632658	0.0451638	0.0348366	0.0385106	0.0366421	0.0285324	0.0180253	0.0195338	0.018758	0.0352314	0.0194611	0.0365342	0.0241605	0.0292924	0.0204773	0.0447466	0.0242982	0.0399558	0.045588	0.0464397	0.0672313	0.063281	0.0842295	0.115804
est	0.0899863	0.0649361	0.0536826	0.0526336	0.040642	0.0291264	0.0149767	0.0300453	0.0319368	0.043421	0.0384808	0.0586871	0.0387993	0.0387894	0.0203032	0.0254592	0.0202521	0.0345694	0.0263431	0.0160166	0.0306076	0.035037	0.0465114	0.118757
trop	0.0780172	0.0632897	0.0593932	0.0551404	0.0470652	0.0316599	0.0181951	0.0213476	0.0197076	0.016003	0.0176987	0.0274753	0.0267216	0.0214855	0.0122634	0.0213075	0.0128133	0.0294124	0.0266265	0.0314201	0.0627827	0.0601973	0.0792608	0.160716
faible	0.0714337	0.0627772	0.0675169	0.0625328	0.052214	0.0402564	0.0284117	0.0274557	0.0229829	0.0156394	0.010911	0.01598	0.0214804	0.0116624	0.00637498	0.00795804	0.00669527	0.0191748	0.0133275	0.0178598	0.047153	0.0655707	0.0818989	0.222733
</S>	0.0929979	0.0827988	0.0894468	0.0823929	0.0619936	0.0502122	0.0393581	0.0366976	0.0314925	0.0190725	0.00548285	0.00786237	0.00734444	0.00394257	0.00330472	0.00643429	0.00750019	0.0102667	0.00923082	0.0165221	0.0498451	0.0359293	0.0492955	0.200576
