 	w	á	á	o	p	é	n	d	í	o	d	z	e	e	m	á	b	ε	έ	b	ε	έ	l	a	m	o	r	o	y	e	é	k	ω	n	ώ	m	b	e	m	b	e	n	ω	l	ó	o	k	u	l	á	w	a	</S>
si	0.149319	0.114663	0.0990257	0.0488437	0.0461841	0.0281844	0.0392389	0.0120459	0.019807	0.016247	0.0279417	0.0186123	0.0301751	0.0276869	0.0219722	0.0109356	0.00983423	0.0133628	0.00896354	0.0102417	0.0117331	0.0080256	0.00417643	0.00628548	0.00484006	0.00240264	0.00318411	0.00274333	0.00250281	0.00277775	0.00302368	0.00423398	0.0040301	0.00375727	0.00418898	0.00299181	0.00543263	0.00347985	0.00385694	0.00535604	0.00626045	0.00862869	0.00725512	0.00865342	0.00788088	0.0104342	0.0162351	0.0167934	0.0144179	0.017926	0.0182016	0.0139738	0.0110315
tu	0.0489464	0.0414017	0.0538994	0.0426523	0.0507215	0.0799403	0.0884458	0.0676945	0.0871229	0.0470669	0.0631113	0.0573437	0.0548975	0.0202315	0.00291791	0.00211856	0.00175447	0.000973589	0.00105686	0.00264185	0.00467301	0.00150874	0.00175443	0.00156939	0.0020516	0.00222203	0.00252783	0.00466135	0.00528496	0.00231462	0.0031672	0.00108224	0.00226219	0.00259414	0.00296208	0.00145511	0.00552258	0.00482615	0.00602498	0.00878037	0.0114898	0.0161383	0.0116915	0.00998869	0.00960328	0.00652826	0.00727028	0.00556625	0.00937101	0.0103643	0.00869025	0.00414477	0.00696943
restes	0.00562774	0.00336249	0.00460106	0.00822132	0.00567506	0.0103188	0.0179929	0.0326436	0.0274673	0.0478545	0.0429159	0.0544939	0.0415808	0.0557654	0.0367583	0.0514414	0.0497462	0.0421055	0.0427583	0.0366942	0.0219036	0.0205239	0.0120128	0.00746734	0.00574581	0.00506002	0.00446357	0.00650335	0.00749661	0.00606996	0.00783098	0.00718408	0.00628252	0.00897892	0.0122722	0.0127244	0.0155866	0.0215111	0.0207319	0.0131484	0.0241493	0.0105154	0.0109669	0.0116587	0.00768401	0.0088402	0.00968758	0.0091877	0.00979109	0.0104517	0.0156635	0.0189246	0.0109566
trop	0.00895428	0.00862215	0.00807637	0.00582432	0.00543203	0.00612155	0.00602087	0.00863515	0.0100776	0.0100805	0.0121318	0.0148244	0.0139693	0.026539	0.0207284	0.0289149	0.0232407	0.0212689	0.0157311	0.0192631	0.016419	0.0249492	0.0157761	0.0149791	0.0116968	0.00964523	0.0128651	0.0207527	0.0196838	0.0149389	0.0149366	0.0163049	0.0159669	0.0150306	0.0178144	0.0182877	0.0230746	0.0395941	0.0333676	0.0382998	0.0426578	0.0371964	0.0362873	0.0261932	0.0291658	0.0252632	0.0191202	0.01519	0.0167163	0.0156064	0.0136842	0.0241752	0.0299044
près	0.00326161	0.00420272	0.00333243	0.0088472	0.00773195	0.00767644	0.00861573	0.01275	0.0141262	0.0121225	0.0140244	0.0125758	0.0103771	0.0126667	0.0177	0.0412917	0.0390696	0.0225006	0.0281538	0.0264571	0.025473	0.0187303	0.0229291	0.0338374	0.0236981	0.043924	0.0281515	0.0265464	0.021223	0.0206919	0.0237422	0.0138892	0.015767	0.0204278	0.0178845	0.0135249	0.0158323	0.014502	0.0147379	0.0184428	0.0260808	0.0279953	0.0287989	0.0328018	0.0288054	0.0214556	0.0165548	0.0127123	0.0150283	0.0118538	0.0105111	0.0103911	0.0155719
de	0.00417563	0.00399938	0.00288315	0.00186597	0.00224666	0.00305778	0.0048587	0.00692941	0.00743682	0.00894213	0.00819755	0.00743165	0.00667909	0.00875212	0.0147039	0.016531	0.0155169	0.0241074	0.0256173	0.0142382	0.0182926	0.0397985	0.0305629	0.0399727	0.0363241	0.0178179	0.025721	0.0309297	0.0239749	0.0321269	0.0224621	0.0255003	0.0369785	0.0189382	0.0329181	0.0204672	0.0208485	0.0329721	0.0377094	0.0312539	0.0480237	0.0338242	0.0300609	0.0191486	0.0200682	0.0153116	0.011297	0.00807834	0.00842293	0.0091685	0.00771427	0.00594716	0.0191943
quelqu'	0.00428353	0.00388753	0.00335445	0.00516705	0.00580285	0.00633987	0.00716405	0.00778022	0.00747461	0.00738113	0.0069783	0.00743095	0.00712293	0.00973932	0.0104951	0.0137847	0.0120977	0.017066	0.0205453	0.0124841	0.0213378	0.0390904	0.0349791	0.0435887	0.042733	0.0417443	0.037199	0.0290127	0.0258594	0.0336538	0.019925	0.02633	0.0326007	0.0182581	0.0209245	0.0208225	0.0156745	0.0134084	0.0119468	0.0115476	0.0152403	0.0195976	0.0225751	0.0178302	0.0206821	0.0206743	0.0210146	0.0189336	0.0197198	0.0244092	0.0253269	0.0250552	0.0319252
un	0.00453726	0.0045453	0.00388285	0.00446405	0.0044199	0.00443945	0.00526455	0.00605879	0.0057318	0.00657252	0.00491286	0.00534199	0.00503115	0.00945703	0.0117781	0.0147864	0.0145045	0.0234044	0.0222595	0.0159498	0.0184005	0.0303809	0.0284901	0.0346579	0.0299279	0.0296671	0.0238823	0.0198432	0.0211075	0.0267518	0.0179111	0.0226897	0.0248061	0.0209091	0.0220079	0.0198565	0.020868	0.0194188	0.0214512	0.0208798	0.0205479	0.0271069	0.0243899	0.026838	0.0296482	0.033838	0.0315558	0.0229101	0.0267337	0.0283709	0.0200492	0.0209903	0.0357716
qui	0.00627351	0.00584797	0.00559025	0.0101144	0.0063813	0.00819126	0.0103947	0.00720915	0.004445	0.003921	0.00607578	0.0102411	0.00891742	0.0129672	0.0117621	0.0130607	0.010431	0.0150123	0.0163134	0.0137332	0.0218035	0.0324299	0.0268811	0.0376134	0.0244524	0.0262582	0.0346594	0.0243256	0.0223673	0.0312696	0.0200726	0.0191896	0.0281874	0.018298	0.0191716	0.0168154	0.0168161	0.0168552	0.0192683	0.0231959	0.0268313	0.0278441	0.0253835	0.0153397	0.0167131	0.0160696	0.0146064	0.018623	0.0229731	0.0319929	0.0351631	0.0304132	0.0512338
souffre	0.0128879	0.0122289	0.0089579	0.0128473	0.00947244	0.00963262	0.0106216	0.00848471	0.00554512	0.00346701	0.00371149	0.00486957	0.00496665	0.00805886	0.00641498	0.0084523	0.00827937	0.011467	0.0130557	0.0121341	0.0152765	0.0247121	0.0272909	0.0283474	0.0244773	0.0246246	0.0226355	0.0184786	0.014779	0.018612	0.012289	0.0188936	0.0205528	0.0124593	0.0144051	0.0175105	0.0161097	0.0191572	0.0212319	0.0152595	0.019906	0.0205822	0.020852	0.0218257	0.028168	0.0272787	0.0288023	0.0349966	0.0394445	0.0443077	0.0457458	0.0499264	0.0555058
