 	e	k	ώ	ó	y	é	é	s	i	í	n	g	a	l	a	l	a	p	ó	a	é	m	i	s	á	á	o	b	v	u	m	a	</S>
le	0.00866125	0.0135343	0.0151748	0.023542	0.0250553	0.0253338	0.0277476	0.0346306	0.0382824	0.0350912	0.0395488	0.0404847	0.0491933	0.052397	0.0546483	0.0546966	0.043205	0.0325308	0.0218849	0.0188604	0.0168653	0.0247844	0.0221741	0.0283752	0.031201	0.0340723	0.0326366	0.035091	0.0297552	0.0264894	0.0269625	0.0214062	0.0156835
manioc	0.0216487	0.03916	0.0653576	0.0817686	0.0327453	0.0255408	0.0422889	0.0242147	0.0238333	0.02098	0.0107402	0.0130658	0.036919	0.0232408	0.0436447	0.0534055	0.0525642	0.0583981	0.0493604	0.0307028	0.0297766	0.0356463	0.0209691	0.0176489	0.0172944	0.0311001	0.0368505	0.0161826	0.0190248	0.0107072	0.00985197	0.00292074	0.00244736
que	0.0603097	0.0456631	0.0463285	0.014656	0.00726068	0.0113074	0.0335738	0.018457	0.021485	0.0156361	0.0140232	0.0109377	0.0260103	0.0225666	0.0395871	0.0405977	0.0391258	0.0165925	0.019393	0.0393408	0.0468811	0.0561227	0.0540515	0.046267	0.0477454	0.033673	0.0379384	0.0304211	0.0309553	0.0345989	0.0251394	0.00996786	0.00338631
ngala	0.0369673	0.0398919	0.0429821	0.0433874	0.0336252	0.0253515	0.0336799	0.0191371	0.0363144	0.0300206	0.0373764	0.0542243	0.0755994	0.0899897	0.0887551	0.085564	0.0579553	0.0368083	0.0170274	0.0116635	0.0115604	0.0103338	0.00731161	0.00429134	0.00727437	0.00538906	0.00571568	0.0055642	0.00565635	0.00581413	0.00799196	0.00786451	0.018912
a	0.0441149	0.0313486	0.0349756	0.0426297	0.0404826	0.0608919	0.0527297	0.0387449	0.0387394	0.0278486	0.022413	0.0136402	0.0154626	0.0130998	0.0195367	0.0207774	0.0268897	0.0314337	0.0578374	0.0846927	0.0712544	0.0355076	0.0281332	0.0180243	0.0209978	0.0169248	0.012358	0.0111295	0.00841686	0.00856121	0.00905572	0.0100158	0.0313318
préparé	0.0813711	0.0582863	0.0674894	0.0586655	0.0598878	0.0693096	0.0548363	0.0359242	0.0331635	0.0270191	0.0288558	0.0159989	0.0132198	0.00850303	0.00900129	0.0123651	0.0120172	0.00887049	0.0089701	0.0122966	0.0179429	0.0171215	0.0145056	0.00890655	0.0124752	0.0113774	0.0154016	0.0173221	0.021825	0.0290327	0.0312648	0.0319361	0.0948377
hier	0.0520872	0.0421852	0.050031	0.0519766	0.057135	0.0622396	0.0481815	0.0396677	0.0274077	0.0229882	0.0246681	0.0137196	0.00987645	0.0088787	0.00974583	0.0122341	0.0139043	0.0174739	0.0234203	0.0219522	0.0271984	0.0222341	0.0257408	0.0175831	0.0196074	0.0185017	0.0147714	0.0189072	0.0182677	0.0167111	0.0316405	0.0386462	0.120417
a	0.0444346	0.0654654	0.0725943	0.0739552	0.0881976	0.111342	0.0614361	0.0511099	0.0458411	0.0378306	0.0327484	0.0180303	0.0173694	0.0145472	0.0121603	0.0121936	0.00877406	0.00813235	0.00530272	0.0030564	0.00371126	0.00516977	0.00330986	0.0076752	0.00686423	0.00903241	0.0080038	0.00844282	0.011023	0.0101462	0.0223144	0.0270994	0.0926859
déjà	0.07456	0.0445676	0.0354991	0.0296066	0.0223135	0.0161809	0.00839687	0.00527879	0.00536171	0.00446661	0.00558367	0.00773868	0.0118288	0.00941981	0.0148779	0.0175952	0.0136131	0.0130217	0.0109194	0.00592295	0.00690471	0.00973788	0.00893894	0.0244088	0.0409079	0.0631783	0.0740641	0.0792094	0.0823431	0.0452971	0.0645971	0.0543822	0.0892777
moisi	0.0733637	0.0502094	0.0428425	0.0270097	0.0156052	0.0102378	0.00674041	0.00490315	0.0052069	0.00480529	0.00562397	0.00942834	0.00975549	0.00596902	0.00916103	0.0109052	0.0103084	0.0122809	0.0122278	0.00862282	0.00963033	0.0121516	0.011226	0.014433	0.0223734	0.0520543	0.0706134	0.0716467	0.0675346	0.0402693	0.0830638	0.0800671	0.129729
</S>	0.111412	0.0567089	0.0430404	0.0327242	0.0300628	0.026399	0.0185999	0.0115405	0.00902927	0.0100275	0.0087184	0.0111987	0.00563801	0.0047554	0.00446331	0.00495117	0.00494891	0.00531629	0.00633534	0.00564044	0.00470707	0.00876862	0.0104419	0.0171499	0.0308052	0.0429742	0.0541739	0.062714	0.0719665	0.0395752	0.0648748	0.0648732	0.115465
