 	m	w	á	n	a	o	y	ú	r	u	w	ó	i	s	á	l	a	i	b	h	a	a	g	h	a	l	á	n	d	z	ώ	n	d	z	i	m	w	é	s	é	o	t	s	i	i	n	a	</S>
cette	0.00184817	0.0030795	0.00377162	0.00417746	0.00290876	0.00341478	0.0019254	0.000879017	0.00127744	0.00196689	0.00327049	0.00602664	0.0155537	0.0342493	0.0397237	0.0402724	0.0423853	0.0492152	0.0776812	0.0675362	0.0675373	0.0410007	0.0588094	0.0751563	0.0340191	0.0289338	0.0223078	0.0154758	0.0113762	0.015312	0.0098127	0.0136671	0.0167005	0.00743268	0.00934127	0.0106538	0.0162159	0.0111099	0.0101003	0.0113321	0.0105176	0.00907401	0.0124039	0.0129589	0.0183472	0.0168797	0.0138997	0.0184613
jeune	0.0235983	0.00932883	0.01673	0.108287	0.33177	0.173386	0.138545	0.0747281	0.0345124	0.0244349	0.00758856	0.00537845	0.0027268	0.00604672	0.00108578	0.000454252	0.002343	0.00093448	0.0016378	0.00067358	0.00147372	0.00178378	0.00231239	0.00148152	0.000532284	0.000875021	0.000758803	0.0013292	0.000950596	0.000849102	0.00200215	0.00114994	0.00235403	0.0013086	0.00138777	0.00104796	0.000692616	0.000282751	0.000174753	0.00130981	0.00108054	0.00218759	0.00111896	0.00368428	0.00141555	0.00108014	0.000913413	0.000271517
fille	0.0249408	0.0158109	0.0356725	0.0441347	0.0378613	0.0331294	0.0307604	0.0287704	0.0199041	0.0115879	0.0224518	0.00876379	0.00875949	0.00987736	0.0213703	0.0134024	0.0171499	0.0228031	0.0180511	0.0288054	0.0300854	0.0531179	0.0509403	0.0309227	0.0257871	0.0308427	0.0328418	0.0365617	0.020463	0.0216989	0.0164037	0.0194362	0.021726	0.0158251	0.0174335	0.0112572	0.0094042	0.00900064	0.0103347	0.0106378	0.00973396	0.00850107	0.00845764	0.00880878	0.00909167	0.00923134	0.00983585	0.00761234
se	0.0188727	0.0172576	0.0137597	0.0093998	0.00906335	0.00884096	0.011515	0.0106034	0.0142845	0.019702	0.01573	0.0164412	0.0126514	0.00921527	0.0204608	0.0238906	0.0147424	0.0177464	0.0145123	0.0187998	0.0179758	0.0166737	0.0206086	0.0284621	0.0285712	0.0288864	0.033129	0.047417	0.040189	0.0229431	0.0476368	0.0212303	0.0244408	0.028392	0.0130968	0.0150329	0.0108241	0.0058136	0.00879154	0.0121677	0.0186529	0.0216353	0.026811	0.0256947	0.0350776	0.0249023	0.0280251	0.0494292
cure	0.0163275	0.00411734	0.0037958	0.0109915	0.0122124	0.0106064	0.0119915	0.011281	0.011964	0.0109941	0.0187913	0.0221238	0.0172137	0.0328044	0.0294065	0.0316457	0.0302235	0.0261349	0.0280034	0.0207035	0.0312877	0.0303333	0.0439278	0.0268619	0.0239005	0.0282663	0.0205088	0.0156475	0.0188351	0.0180946	0.0186669	0.0291885	0.0232125	0.0293173	0.0161784	0.0156394	0.0214953	0.0133347	0.00940489	0.0252914	0.0220988	0.0241027	0.0283726	0.0252409	0.0220019	0.0213631	0.0147413	0.0213537
les	0.0188487	0.00776578	0.00835666	0.00888561	0.00684893	0.00715566	0.00713717	0.00864759	0.0111164	0.0107933	0.0145774	0.0110217	0.0104799	0.0117268	0.0271609	0.0310746	0.0163203	0.0148593	0.014422	0.0162184	0.0210707	0.0113572	0.0146455	0.0238304	0.0250359	0.0275721	0.0447254	0.0491083	0.0613395	0.0577652	0.0490452	0.045576	0.0297875	0.0254236	0.0207747	0.0232074	0.0140356	0.00391976	0.00509981	0.0136888	0.0139605	0.0159287	0.0180886	0.0193124	0.0169382	0.0174544	0.0252806	0.0426111
ongles	0.0744854	0.0314897	0.0310196	0.0224178	0.0223853	0.0176036	0.016855	0.0134817	0.0113638	0.00952693	0.0166741	0.0186137	0.0116358	0.0126294	0.0166914	0.0152624	0.0115346	0.0117732	0.010695	0.015648	0.0195161	0.022986	0.0202671	0.0191416	0.0242265	0.0283297	0.0245939	0.0354546	0.0380718	0.0267173	0.0469316	0.0320387	0.0366491	0.0182894	0.016036	0.00961312	0.00808251	0.00691546	0.0115293	0.0146301	0.0143485	0.021987	0.0161273	0.026645	0.0176932	0.011333	0.0146963	0.0253634
à	0.0423491	0.0340165	0.0397793	0.0312278	0.0260073	0.0209024	0.0173058	0.0148824	0.0195584	0.0184973	0.020357	0.0147383	0.0143404	0.012298	0.0113005	0.0105636	0.0211704	0.00720614	0.00771458	0.00971795	0.0145845	0.00851009	0.00635863	0.0063942	0.00845564	0.0119419	0.0111277	0.00930233	0.0145457	0.0136038	0.0213218	0.0232001	0.0145272	0.0262885	0.0246351	0.0296647	0.0182603	0.0185965	0.0187251	0.0233267	0.0214162	0.0228902	0.04048	0.0217069	0.0261097	0.0300175	0.0517443	0.0683314
longueur	0.0902343	0.0651372	0.0570524	0.0183181	0.0210974	0.0111921	0.0102345	0.00831327	0.00756097	0.00690452	0.00709437	0.0060062	0.00518315	0.00788619	0.00772683	0.00909746	0.00635905	0.00678785	0.00498414	0.00654657	0.00788066	0.00842369	0.0100312	0.00872594	0.0188351	0.0199156	0.0264003	0.0353488	0.0414963	0.0258792	0.049394	0.0340414	0.0283397	0.0452208	0.0232201	0.0292349	0.0183808	0.0129568	0.018703	0.0101764	0.0150683	0.014072	0.0152369	0.0155627	0.0191329	0.0106208	0.0223244	0.0516607
de	0.0877834	0.0554553	0.0463283	0.0154093	0.0134479	0.012505	0.0118296	0.00891337	0.00797353	0.00718639	0.00745612	0.00562205	0.004319	0.00708475	0.00662398	0.00753854	0.00581918	0.00556326	0.00429634	0.00529604	0.00556749	0.00674784	0.00775551	0.00760208	0.0150695	0.0154919	0.0223832	0.0311296	0.0377159	0.0275496	0.0405159	0.0299551	0.0232604	0.0328773	0.0232811	0.0259	0.0145233	0.00694852	0.00746947	0.00950279	0.0101263	0.0158912	0.0181878	0.0207398	0.0306131	0.0296047	0.0487842	0.108355
journée	0.0827905	0.050373	0.0463665	0.0213313	0.0177754	0.00908611	0.00866294	0.00741049	0.00586272	0.00481308	0.00417762	0.00350864	0.00408379	0.00493766	0.00675204	0.00745278	0.00660125	0.00596243	0.00384989	0.00597411	0.00590187	0.00871979	0.0106401	0.00943623	0.0214026	0.0177145	0.0228433	0.0300577	0.0339475	0.0224007	0.0384005	0.0264636	0.0254405	0.0358737	0.0176958	0.0211719	0.0168424	0.0092916	0.0112837	0.0161044	0.0182936	0.0195318	0.0284747	0.0221031	0.0347121	0.034089	0.0466373	0.0867537
</S>	0.0559443	0.0556858	0.0558946	0.0240433	0.0234322	0.0172392	0.0154005	0.0110219	0.00942903	0.00855937	0.00848168	0.00514103	0.00474538	0.00391569	0.00534311	0.00570266	0.00595615	0.0052038	0.00446389	0.00532585	0.00505828	0.00814574	0.00794009	0.0064684	0.0106533	0.01264	0.0139069	0.0178302	0.0248497	0.0168996	0.0310268	0.0252291	0.0249315	0.0305205	0.0163477	0.0243143	0.0160068	0.00900476	0.00883505	0.0148143	0.0159669	0.0216456	0.0281442	0.0254368	0.0445872	0.0468104	0.0751782	0.0858782
