 	a	k	i	n	g	έ	á	m	i	d	i	b	h	á	k	ó	ó	m	ó	k	ó	ó	l	i	m	á	k	ώ	</S>
de	0.121208	0.0729521	0.0368979	0.0138779	0.0458438	0.0419574	0.0235521	0.0320094	0.0861802	0.0377837	0.0840095	0.0493621	0.0426983	0.0569065	0.0459064	0.0314558	0.0111441	0.0111186	0.0132189	0.014434	0.013525	0.0172905	0.0197986	0.0130311	0.0146988	0.0130274	0.0107656	0.0114962	0.0138503
hautes	0.0112687	0.0157403	0.033885	0.0357034	0.0469301	0.0423473	0.0344537	0.0510915	0.0405338	0.0649709	0.0407075	0.0383772	0.0324028	0.0833075	0.110007	0.0835151	0.0537077	0.0430159	0.0246591	0.018679	0.0143679	0.0131915	0.00829108	0.0104483	0.0108845	0.0105028	0.00788689	0.00886546	0.0102585
herbes	0.0396763	0.0333106	0.0349305	0.0541606	0.0281445	0.0457273	0.0974846	0.0789293	0.0502512	0.0601525	0.030682	0.0214464	0.0203746	0.0335304	0.031679	0.0373063	0.0328132	0.0275787	0.0244573	0.031498	0.0255173	0.0252902	0.0287261	0.0290145	0.0195532	0.0180939	0.0130931	0.0143382	0.0122401
ont	0.0248111	0.0243089	0.030557	0.0284554	0.0338978	0.0452628	0.0560617	0.064642	0.0604125	0.0824524	0.0796301	0.0532695	0.0305383	0.0217142	0.017092	0.0185128	0.0264004	0.0249125	0.025678	0.0264005	0.0250232	0.0171243	0.026561	0.0201539	0.0200025	0.0193628	0.0242017	0.0330678	0.0394928
bloqué	0.0202472	0.0195607	0.0204534	0.0279765	0.0276209	0.0323027	0.0328029	0.0306531	0.0256973	0.0443356	0.0547642	0.0468022	0.0445995	0.044892	0.0338374	0.0346252	0.041148	0.0401101	0.0314015	0.0268915	0.0283084	0.0221653	0.0260546	0.0247761	0.030217	0.0307043	0.0326117	0.0437245	0.0807163
la	0.0209038	0.0216864	0.0131577	0.0210388	0.0314187	0.0236495	0.0247649	0.0199456	0.016552	0.018211	0.0197079	0.0184031	0.0265742	0.0342428	0.0406138	0.0339317	0.0450727	0.0402161	0.0361273	0.0388726	0.0373654	0.0292658	0.0445474	0.0357676	0.0421137	0.0326428	0.0379522	0.0548087	0.140446
piste	0.0175509	0.0179051	0.00902721	0.0118193	0.0160367	0.0115356	0.0126565	0.0085423	0.0102555	0.00546989	0.00513854	0.0046039	0.00564287	0.0101831	0.0154269	0.0258163	0.0433807	0.0458646	0.0598625	0.0641391	0.0738829	0.0737497	0.0588396	0.0647238	0.0746544	0.0548735	0.0568045	0.0635463	0.078068
à	0.017389	0.0183254	0.0131624	0.0171265	0.0180688	0.0158015	0.0185196	0.0171885	0.0246885	0.0130639	0.00875754	0.00644347	0.00898269	0.0153956	0.0242936	0.0319111	0.0446317	0.043975	0.0554119	0.0588597	0.0680463	0.0689958	0.0506641	0.0657707	0.0645824	0.0515138	0.0465316	0.0496233	0.0622755
l'	0.0319886	0.0264776	0.0286926	0.0299552	0.026889	0.0246288	0.0270327	0.0170213	0.0149963	0.0150151	0.0202732	0.016593	0.00927799	0.0109559	0.0101636	0.0241108	0.042168	0.0424748	0.0504929	0.0486777	0.048106	0.0490861	0.0410566	0.0447907	0.0520621	0.0559345	0.0581511	0.0612955	0.0716323
entrée	0.0193917	0.0176459	0.0176711	0.0173356	0.0132021	0.00862616	0.00809883	0.00947985	0.00745793	0.0091826	0.0105579	0.0119063	0.00830581	0.012898	0.0128974	0.017098	0.0255185	0.029546	0.0380498	0.049467	0.0519264	0.0589249	0.0448704	0.0517442	0.0614719	0.0767206	0.0936067	0.0962171	0.120181
de	0.0368494	0.0320056	0.0332898	0.0277441	0.0246986	0.0177068	0.0177256	0.0162786	0.0159716	0.0158271	0.0249831	0.0212012	0.00979844	0.00997476	0.00900416	0.0215219	0.0375973	0.0372486	0.0291671	0.0295444	0.0341004	0.0400324	0.0362625	0.0447936	0.0427679	0.0589046	0.0695923	0.0733399	0.132068
la	0.0425992	0.031943	0.0318693	0.0289062	0.0263633	0.0191778	0.0153232	0.0083376	0.0101994	0.00440781	0.00470673	0.00381991	0.00327337	0.00452822	0.00624429	0.0179066	0.0254678	0.034831	0.037354	0.0307174	0.0454459	0.0338351	0.0289192	0.0431476	0.0515372	0.068524	0.0846188	0.109572	0.146425
forêt	0.026716	0.0260221	0.0288352	0.0216762	0.0182726	0.0108855	0.00656209	0.0050349	0.00508039	0.00301289	0.00334446	0.00354279	0.00360533	0.00479483	0.00590075	0.00946482	0.013929	0.0154716	0.0250695	0.0296146	0.0490391	0.0603207	0.0345764	0.0459949	0.071698	0.0928109	0.11389	0.11282	0.152014
</S>	0.0324428	0.0278444	0.0280392	0.0232512	0.018012	0.012824	0.00958708	0.00469743	0.00368174	0.00185498	0.00195704	0.0020973	0.00221726	0.00421518	0.00726485	0.021943	0.0272853	0.04062	0.0413518	0.0375381	0.0531263	0.0520479	0.0239696	0.0374188	0.0460316	0.0617708	0.0860624	0.107963	0.182885
