 	e	l	á	r	í	r	í	y	i	k	á	n	d	á	y	é	y	á	a	n	d	z	é	s	i	</S>
cette	0.00905913	0.00996092	0.0147172	0.0121567	0.0164674	0.0110646	0.0145882	0.0239981	0.0421681	0.0479489	0.0556799	0.0579381	0.0629733	0.0687043	0.0514892	0.0450356	0.0502305	0.0398744	0.039609	0.0534737	0.0404975	0.0442361	0.0406751	0.0627608	0.0473527	0.0373406
manière	0.00725989	0.00692309	0.0179133	0.0202153	0.0145507	0.0153363	0.0178238	0.0907548	0.23136	0.0913549	0.099013	0.0432525	0.0181746	0.0470886	0.0266264	0.0371078	0.0325946	0.0297188	0.0432398	0.0319643	0.0243408	0.0226996	0.0102005	0.00989873	0.00745773	0.00313064
de	0.16738	0.062251	0.0574402	0.0697837	0.0611404	0.0472913	0.0645641	0.0226219	0.0260887	0.0208522	0.0250339	0.0269431	0.0344853	0.0217176	0.0250956	0.0252996	0.0171892	0.0266736	0.0216501	0.0139844	0.0159594	0.0126383	0.0130528	0.0346394	0.0352019	0.0510221
s'	0.126043	0.0974654	0.0680819	0.0710673	0.0421128	0.0194583	0.013081	0.00948791	0.0112477	0.0129195	0.0243003	0.0247172	0.0137337	0.0185983	0.0219386	0.0407895	0.0325037	0.0310953	0.0344525	0.0343757	0.0180227	0.0209727	0.0254302	0.022361	0.0464641	0.11928
habiller	0.0534865	0.0457125	0.0660656	0.0910985	0.0891301	0.0408605	0.0312031	0.0195881	0.0284909	0.0203846	0.0293348	0.0314138	0.0345578	0.0329532	0.0400156	0.0390281	0.0319951	0.024719	0.0338628	0.02459	0.0320203	0.0291183	0.0285026	0.0244605	0.0230802	0.0543275
est	0.0772184	0.0821609	0.0841503	0.086646	0.0687389	0.0623571	0.0597254	0.0538148	0.0459564	0.0179085	0.0218033	0.0113355	0.00934841	0.0155496	0.0176238	0.0171668	0.0196365	0.0221815	0.0257071	0.016627	0.02205	0.0155796	0.0159492	0.0290656	0.0324389	0.0692606
celle	0.128794	0.0759457	0.0519716	0.0538661	0.0432605	0.0488715	0.0437764	0.0407364	0.0357944	0.017555	0.0188897	0.0103273	0.00662509	0.00852143	0.00711375	0.0086553	0.0146636	0.0090658	0.0222507	0.0267978	0.0456486	0.0410597	0.0457252	0.0393983	0.0492371	0.105448
des	0.0798493	0.0688179	0.065412	0.0656763	0.0634109	0.0630084	0.0606829	0.0664579	0.0610205	0.0328032	0.0337081	0.0129047	0.00768257	0.00561146	0.00456207	0.00353438	0.00489783	0.00561174	0.0097563	0.0149747	0.0216775	0.024949	0.0288652	0.0257173	0.0429676	0.12544
enfants	0.0672578	0.0757993	0.0683815	0.0538413	0.0371697	0.0287061	0.025415	0.0285905	0.0218489	0.01335	0.0115449	0.00488093	0.00244228	0.0041566	0.00273281	0.0023079	0.0103012	0.00460053	0.0113161	0.00939038	0.0255536	0.0538989	0.0761034	0.053769	0.125268	0.181373
</S>	0.0814038	0.0689388	0.0521375	0.0402913	0.0396682	0.0355267	0.0409885	0.0335286	0.0302935	0.0219627	0.0201098	0.0117636	0.00845912	0.0106655	0.00911232	0.00953748	0.0149022	0.00703751	0.0184052	0.0184684	0.0258687	0.0343486	0.0476045	0.0669207	0.089132	0.162925
