 	a	d	i	m	í	b	ó	b	á	a	y	u	r	á	a	w	a	m	í	d	z	á	a	</S>
ses	0.0999436	0.0797797	0.0431305	0.0122927	0.00762859	0.00728538	0.0169236	0.0105647	0.018553	0.0232832	0.0304746	0.0492563	0.0612816	0.0652722	0.0617168	0.0617453	0.0570709	0.0539682	0.0477275	0.0525523	0.0464652	0.0509608	0.0238686	0.018255
cadets	0.150433	0.147891	0.120636	0.105574	0.0979208	0.0718418	0.0841727	0.0393602	0.01705	0.0141804	0.00887286	0.00626551	0.00454109	0.00349306	0.0017365	0.00191477	0.00449418	0.00958975	0.0122353	0.0251647	0.0221088	0.0246927	0.0173383	0.00849182
sont	0.0730846	0.0629707	0.056033	0.0622506	0.0739965	0.0633372	0.0535006	0.0331316	0.0423836	0.0443888	0.0462333	0.0325645	0.03197	0.0330528	0.0303832	0.0343941	0.0466406	0.0358567	0.0284327	0.0551424	0.0140031	0.0270276	0.0131053	0.0061164
en	0.0142928	0.0286619	0.0317243	0.0376081	0.0286081	0.0244492	0.0381495	0.0502913	0.065767	0.0802397	0.0883868	0.112764	0.0900923	0.0835327	0.047741	0.0388125	0.0570578	0.0199518	0.00591548	0.0147789	0.00764331	0.00706712	0.00862808	0.017836
train	0.0183137	0.023717	0.0275172	0.0432133	0.0426123	0.0523564	0.0477453	0.0467274	0.0452787	0.0681843	0.0743641	0.0710411	0.0686404	0.0396704	0.0274547	0.0208241	0.0274228	0.0313551	0.0138159	0.0423325	0.0361217	0.0274746	0.0491564	0.0546607
de	0.0488991	0.0335522	0.0369818	0.0468246	0.0623584	0.0778728	0.0780834	0.0970468	0.0821855	0.0595704	0.0422681	0.0232446	0.0238689	0.0252485	0.0205066	0.0277003	0.0219531	0.0157859	0.012432	0.0266833	0.0251561	0.0243038	0.0210964	0.0663773
murmurer	0.0942026	0.0438028	0.0430414	0.0375173	0.0453212	0.045861	0.0454295	0.0512667	0.051433	0.039288	0.0308427	0.0377668	0.0402647	0.0408975	0.0372742	0.0356453	0.0274681	0.0180478	0.00956784	0.0191832	0.0164877	0.0160368	0.0290812	0.144273
contre	0.0562387	0.0511066	0.0629515	0.0582907	0.075343	0.0725299	0.0395754	0.0267108	0.023614	0.0227682	0.0275066	0.0298261	0.0259117	0.0220217	0.0236345	0.0269295	0.0248119	0.0215086	0.0135121	0.0356233	0.0334405	0.0419761	0.0470257	0.137143
lui	0.0425438	0.0458161	0.0523416	0.0512546	0.05415	0.0565605	0.0416752	0.0260028	0.0212671	0.0196819	0.0218435	0.025483	0.0270194	0.027994	0.0274888	0.0297431	0.025404	0.0261426	0.0216275	0.0430806	0.0406536	0.0527471	0.0592537	0.160225
parce	0.0991189	0.0625251	0.0574065	0.0535015	0.0477842	0.0346892	0.0207713	0.01976	0.0178559	0.0180226	0.0173241	0.0165051	0.0154109	0.0162225	0.0264955	0.0317066	0.0270699	0.0271504	0.0196999	0.0435423	0.0478455	0.0554218	0.0815283	0.142642
qu'	0.0623293	0.0572294	0.071285	0.0795285	0.0905734	0.0581789	0.0438958	0.0618122	0.0382153	0.0129784	0.0119959	0.0111077	0.0117841	0.0124019	0.010224	0.0118304	0.0114569	0.0155325	0.0224303	0.0229806	0.0232104	0.0311741	0.0352367	0.192608
il	0.0793397	0.071448	0.065083	0.0695539	0.0840494	0.0747381	0.0548988	0.0773594	0.0519525	0.0179059	0.0152565	0.0151096	0.0121464	0.0135626	0.0102125	0.014034	0.0154101	0.0195684	0.0353274	0.0387799	0.0268095	0.0277488	0.0379375	0.0717681
mange	0.206707	0.138531	0.142863	0.121552	0.100335	0.0779391	0.0249598	0.0127683	0.0126783	0.00773169	0.0111834	0.00917218	0.00341719	0.00318347	0.00235926	0.0028336	0.0030005	0.00331339	0.0038013	0.0121512	0.00901496	0.0136082	0.0218633	0.0550323
à	0.0581975	0.0389031	0.033782	0.0234585	0.0215095	0.0254119	0.00887649	0.0111107	0.0109767	0.00654373	0.00993577	0.0205512	0.0211999	0.0230983	0.025214	0.0304642	0.0317737	0.0382331	0.0454871	0.0786159	0.0524041	0.0222396	0.133344	0.228669
l'	0.114319	0.10395	0.0627979	0.0547432	0.0512721	0.0454362	0.0277181	0.0191031	0.0110924	0.007396	0.00690673	0.00784865	0.00535748	0.00499482	0.0137991	0.00776881	0.00994231	0.0147979	0.024859	0.0511282	0.0399242	0.03737	0.0781757	0.199299
excès	0.116405	0.118164	0.0642331	0.0452379	0.0601492	0.0275431	0.0133318	0.011653	0.00964116	0.00604809	0.00661899	0.00825067	0.00692839	0.0068355	0.0151866	0.0100176	0.0171029	0.0175541	0.00942711	0.031339	0.0263515	0.0444728	0.0933892	0.234119
</S>	0.0790011	0.074533	0.0831015	0.05623	0.0446732	0.0364689	0.0191604	0.0227674	0.018037	0.00826992	0.00952977	0.0105594	0.0052143	0.00536747	0.0060257	0.00665634	0.00827636	0.0117448	0.0139196	0.0398737	0.0293076	0.0174656	0.106733	0.287084
