 	e	n	d	ω	m	b	ω	w	á	á	y	é	e	b	έ	r	έ	b	a	r	e	i	b	v	u	n	d	z	á	s	á	p	o	o	k	á	a	l	é	e	b	o	m	á	y	í	a	</S>
quand	0.00574195	0.00682511	0.00732865	0.00990209	0.0213026	0.0290685	0.0470801	0.0858143	0.0749923	0.0740139	0.0466061	0.0446336	0.0452071	0.0486586	0.0226525	0.0270867	0.0216388	0.0128439	0.00904409	0.010122	0.0098601	0.00496084	0.00557147	0.0081539	0.00597539	0.00626851	0.00641469	0.00843843	0.00595192	0.00515991	0.00654605	0.0113072	0.00858016	0.0109323	0.0115438	0.0108211	0.014566	0.0113439	0.0190795	0.00996241	0.0187055	0.0131514	0.0199641	0.0233464	0.0259664	0.030039	0.0194263	0.0174
un	0.209154	0.0900194	0.0635364	0.0242351	0.0156122	0.022849	0.0268106	0.0391593	0.0456451	0.0380119	0.043341	0.0289138	0.0381877	0.0369571	0.0303417	0.0423089	0.0239057	0.0290905	0.0192685	0.0248876	0.00956897	0.00769879	0.00798989	0.00449141	0.00345206	0.00238126	0.00355165	0.00252362	0.00570805	0.00189165	0.00124349	0.00116772	0.00298465	0.0024757	0.00478971	0.00289243	0.00387095	0.00281452	0.00367463	0.00365542	0.0027234	0.00303742	0.00342507	0.00368461	0.00523266	0.0032253	0.00421585	0.00339336
mouton	0.0456615	0.0504026	0.0612171	0.0353662	0.0255679	0.0448493	0.0396074	0.0445726	0.0208739	0.0316821	0.0229181	0.0542702	0.028962	0.0131641	0.0120272	0.0121851	0.00662865	0.0141412	0.0139636	0.0116405	0.0100139	0.0134707	0.0120747	0.0125942	0.00485417	0.00622637	0.0060724	0.00584404	0.00734109	0.00822067	0.00611013	0.00859394	0.0118675	0.0107879	0.0139845	0.0154524	0.0210242	0.0171616	0.0159888	0.0229398	0.020481	0.0260711	0.0323442	0.0256286	0.0324851	0.0207603	0.0133667	0.00853905
donne	0.0526314	0.0468162	0.0341281	0.0350613	0.0293892	0.025265	0.0142624	0.0292278	0.0141327	0.0152942	0.0116301	0.0122762	0.011532	0.0155705	0.0120351	0.0184643	0.0144897	0.0214199	0.0275276	0.0274518	0.0269204	0.031996	0.0406842	0.0253865	0.0198535	0.0235061	0.0269741	0.0240126	0.0199336	0.0182115	0.0118617	0.0126612	0.0249035	0.0148336	0.0186529	0.0116898	0.010004	0.00774517	0.0155399	0.0139872	0.0138692	0.0191895	0.0250298	0.010441	0.0115826	0.00500148	0.0131021	0.0338213
des	0.0134913	0.0123521	0.0108665	0.0139734	0.0120697	0.0150381	0.0109133	0.0247018	0.00982663	0.0163615	0.0113276	0.0315468	0.0276121	0.0257311	0.0267044	0.0356296	0.0323199	0.0415624	0.0583809	0.0596208	0.0560332	0.057072	0.0362205	0.0257848	0.0255286	0.0200658	0.019281	0.0171485	0.0291308	0.0168773	0.0138165	0.0148201	0.0150635	0.0137557	0.0120584	0.00831031	0.0074791	0.00432955	0.00347672	0.00603562	0.00637542	0.011501	0.0119286	0.0165742	0.0146936	0.0136038	0.0136364	0.0193691
coups	0.020885	0.026789	0.0277122	0.0250376	0.0184588	0.0147767	0.0233817	0.0131474	0.0190881	0.0223515	0.0286227	0.0381856	0.0281464	0.037555	0.0225089	0.0158253	0.0134396	0.0124597	0.0180249	0.0155802	0.0233857	0.0308885	0.0200496	0.0136009	0.0147361	0.0141831	0.0170528	0.0146247	0.0156741	0.0108598	0.0102401	0.0115307	0.0108184	0.011621	0.0113666	0.0119591	0.0148823	0.0131654	0.0121249	0.0175294	0.0167442	0.0268712	0.0324806	0.0417311	0.0334983	0.0294874	0.0320763	0.0448412
de	0.0112653	0.00873514	0.00726201	0.00540034	0.0058213	0.00499043	0.00687261	0.00465146	0.00359858	0.00433053	0.00330753	0.0106411	0.0102069	0.0167243	0.0116626	0.017374	0.0145511	0.0133485	0.0140385	0.0192687	0.0190977	0.0246633	0.037198	0.024328	0.0309101	0.0248992	0.0470984	0.0485883	0.0487402	0.0272597	0.0278115	0.0249431	0.0272287	0.0268152	0.0282875	0.0250933	0.0246046	0.0200196	0.0294942	0.0307993	0.0302405	0.0311149	0.0269756	0.025504	0.025507	0.0127942	0.0265022	0.0294307
cornes	0.00709725	0.00711101	0.00790775	0.0082893	0.0100137	0.00914497	0.0146904	0.0233733	0.015394	0.0166965	0.00772154	0.0156175	0.0155732	0.0192358	0.0122588	0.0141436	0.00984799	0.011845	0.0147581	0.0194472	0.019298	0.0308423	0.0357439	0.0256704	0.0227062	0.0219349	0.0407361	0.0325895	0.0260796	0.0280684	0.0327324	0.0252658	0.0326603	0.0298447	0.034908	0.0268506	0.0251666	0.0177929	0.0217356	0.0222354	0.0186307	0.0227627	0.0234971	0.0193183	0.0253803	0.0103704	0.0294933	0.0375187
aux	0.0156305	0.0103868	0.0095295	0.0108154	0.00943136	0.00766252	0.0136763	0.0312037	0.0202567	0.0207069	0.00532891	0.00782042	0.00710845	0.00597635	0.00538904	0.00347437	0.00512886	0.00564831	0.00841827	0.0174346	0.0144429	0.033438	0.043495	0.0366958	0.0378015	0.0292219	0.045755	0.0397847	0.039866	0.043088	0.0675963	0.0362902	0.0377464	0.0306843	0.0265117	0.0283108	0.0202711	0.0205488	0.0108021	0.014709	0.0112807	0.0127336	0.00873662	0.0121891	0.00786813	0.00939497	0.013651	0.0460589
gens	0.0185337	0.0138457	0.0125946	0.0121078	0.0112408	0.00832217	0.0058464	0.0032675	0.0025914	0.00328881	0.00205879	0.00497393	0.00473285	0.00366307	0.00370046	0.00501228	0.00570945	0.00999045	0.0131036	0.0242932	0.0165516	0.0327953	0.0493461	0.031743	0.0347522	0.0351189	0.0423665	0.0349848	0.0351346	0.0425814	0.0454141	0.042243	0.0472412	0.0374772	0.0307441	0.031185	0.0202227	0.0231947	0.0160447	0.0153202	0.0111686	0.013559	0.0131632	0.0178458	0.0220755	0.0181881	0.0269405	0.0437211
