 	e	l	y	e	e	m	í	l	í	y	é	é	l	y	e	e	m	á	w	a	n	g	ó	o	é	d	i	y	á	a	n	d	z	é	s	i	</S>
la	0.012314	0.0189673	0.0206731	0.0200496	0.00944308	0.00745918	0.00919588	0.00898941	0.0149255	0.0192051	0.0363466	0.0582493	0.0865414	0.0949735	0.0302062	0.0293321	0.016621	0.0260252	0.020658	0.0329486	0.0301906	0.0163057	0.010104	0.0158059	0.0121995	0.0127111	0.0194365	0.0260992	0.0345368	0.0265143	0.0342143	0.0370927	0.0328397	0.029333	0.0295612	0.0303769	0.0295546
manière	0.0125061	0.0125279	0.0260888	0.0346222	0.0261548	0.0163522	0.0154209	0.0150258	0.0161333	0.0258328	0.0404825	0.0538868	0.0901891	0.0669075	0.0517052	0.0428765	0.0714536	0.0593829	0.0334429	0.0189407	0.0458583	0.0159612	0.0194701	0.0315891	0.0149599	0.0257355	0.00839861	0.00824361	0.00665399	0.0151268	0.0128286	0.0215066	0.0145187	0.0135313	0.00877202	0.00509436	0.00181865
dont	0.150067	0.0465809	0.0171195	0.00718228	0.00477657	0.00393814	0.0050239	0.00752684	0.0062016	0.00806296	0.00840159	0.0157227	0.0214094	0.026228	0.0531285	0.0680251	0.0725087	0.0525981	0.0522744	0.0419302	0.0311159	0.042042	0.0228768	0.0257618	0.0361333	0.0291198	0.0216377	0.0325139	0.024722	0.0129254	0.011998	0.0117953	0.00470425	0.00482072	0.00534176	0.00553637	0.00824889
il	0.0221987	0.0340177	0.0244942	0.0265009	0.0131778	0.00875804	0.0115213	0.00815018	0.00645756	0.00583405	0.00834176	0.0215893	0.0160986	0.0119025	0.0264104	0.0255307	0.0596701	0.0744558	0.0464702	0.113587	0.187634	0.0555026	0.0395606	0.0294912	0.0203237	0.0168154	0.011701	0.00682893	0.00655795	0.00269807	0.00536526	0.00396944	0.00448588	0.00459762	0.00633123	0.00879308	0.0241777
exige	0.0460977	0.0321893	0.0193968	0.0244452	0.0179013	0.010981	0.0171742	0.0105398	0.00742443	0.00692555	0.00386671	0.0072031	0.00490677	0.00572349	0.0192236	0.0218302	0.0444244	0.040323	0.0502082	0.111592	0.11209	0.0915113	0.0878416	0.0277995	0.0445798	0.0360871	0.0247206	0.0097116	0.00751776	0.00535217	0.00514292	0.00651335	0.00664234	0.00510849	0.00618118	0.00663887	0.0141842
la	0.0341483	0.0601563	0.0640226	0.060205	0.0524679	0.0405599	0.0393169	0.0138807	0.0108903	0.0106753	0.00937575	0.021561	0.0161896	0.0167462	0.0200788	0.0316481	0.0246318	0.0255461	0.0186537	0.0258588	0.0248718	0.0295771	0.0225155	0.020992	0.0320127	0.0267557	0.0220531	0.0126468	0.00930287	0.00848556	0.00940202	0.00855152	0.0135225	0.0168235	0.0258192	0.048615	0.0714403
présence	0.048768	0.0415527	0.0373978	0.0340668	0.0223061	0.0141063	0.0122035	0.00449029	0.0039923	0.00697799	0.0088542	0.0156959	0.0161768	0.0178244	0.0178264	0.0295905	0.0256897	0.027693	0.0178001	0.0193068	0.0281374	0.0242565	0.0304883	0.0295461	0.0447249	0.0370505	0.0283498	0.0324026	0.0246968	0.0252312	0.0226434	0.0259527	0.0231686	0.0348315	0.0338191	0.0395167	0.0928643
de	0.097276	0.0576359	0.0378789	0.0384276	0.0328023	0.0262276	0.0347537	0.0154526	0.0131616	0.0103753	0.00676963	0.0127923	0.00977443	0.00995582	0.00938955	0.0229295	0.0167877	0.022068	0.0161083	0.0313346	0.029226	0.0266743	0.0294576	0.0236018	0.0427877	0.0295836	0.0147621	0.0319586	0.0156028	0.0182924	0.0136133	0.0175694	0.0212515	0.0245944	0.0242912	0.042738	0.0720939
sa	0.0259409	0.0347604	0.0448687	0.0350595	0.0320295	0.0350062	0.0399261	0.0272182	0.0239522	0.0241123	0.0190063	0.0176302	0.0180228	0.0167663	0.0149093	0.0122831	0.00881907	0.0120354	0.00320311	0.00337172	0.0057165	0.00353876	0.00613257	0.00782751	0.00873633	0.0105704	0.00704233	0.0120418	0.0154044	0.0155978	0.0189914	0.0134043	0.0246525	0.0345583	0.0488159	0.0797379	0.23831
mère	0.0402257	0.047808	0.0510704	0.0373405	0.0305003	0.0253001	0.0185947	0.0202094	0.0193192	0.0223811	0.016234	0.0135038	0.0142762	0.0142394	0.0168679	0.020909	0.0200264	0.0133321	0.00830797	0.00582684	0.00917993	0.00318991	0.00849668	0.0157134	0.00766628	0.00616302	0.0036228	0.00692016	0.00420539	0.0114745	0.0109906	0.0064182	0.0208681	0.0479666	0.0727737	0.0985344	0.209543
