 	n	g	ó	o	á	m	i	s	á	á	o	y	ú	r	á	m	w	á	n	a	w	ú	u	m	ó	m	b	é	n	y	á	á	</S>
la	0.241336	0.177347	0.0365037	0.0183181	0.00937226	0.00694111	0.00777018	0.00807979	0.0147454	0.0123344	0.0218539	0.0268941	0.02513	0.0202696	0.0251268	0.0149499	0.0143972	0.0114493	0.0129063	0.009786	0.00882898	0.0122014	0.0217992	0.0181467	0.0171115	0.0285084	0.0179811	0.0310188	0.0330082	0.0291974	0.0265198	0.0248399	0.0153273
maman	0.178074	0.211515	0.27052	0.0479198	0.139689	0.0695596	0.0250609	0.00755452	0.00640791	0.00907242	0.00348611	0.00181043	0.00200869	0.00067245	0.000671094	0.000687268	0.00124493	0.000918699	0.000510656	0.000772593	0.000635923	0.000920098	0.000989036	0.00176164	0.00594638	0.00330953	0.000928376	0.00217521	0.00158386	0.00118851	0.00115171	0.000986477	0.000266539
est	0.00974638	0.0288833	0.0275846	0.0664687	0.0200544	0.0330644	0.0162191	0.0143367	0.0194086	0.0376453	0.0557719	0.0355603	0.0397936	0.0412684	0.0427482	0.0326779	0.0465431	0.04617	0.0314617	0.0378649	0.0488616	0.0261552	0.0208715	0.027988	0.0139978	0.0281139	0.0134188	0.02728	0.0364665	0.0271336	0.0175587	0.0165105	0.0123724
dépassée	0.0259472	0.0192632	0.0306432	0.0141955	0.0321983	0.0364717	0.0161617	0.0179342	0.0153785	0.0240865	0.0200069	0.0218912	0.023696	0.0284069	0.0361299	0.0197545	0.0424058	0.0529786	0.073301	0.0534156	0.0262816	0.0368922	0.0354266	0.0253971	0.041203	0.0395562	0.032389	0.0442696	0.025174	0.0160633	0.0222881	0.0265602	0.0242329
par	0.0146015	0.00831193	0.00936778	0.00868246	0.00763034	0.0151099	0.0160602	0.0242894	0.0205368	0.0374037	0.0381108	0.036029	0.0355726	0.0485569	0.0450798	0.0949605	0.0677466	0.0571179	0.0608903	0.0388452	0.0278582	0.0213948	0.0233497	0.00859767	0.0121899	0.0154678	0.015165	0.0235962	0.0140728	0.0255949	0.0339807	0.032664	0.0611647
le	0.0177273	0.0111706	0.0147678	0.0100431	0.0177874	0.0191256	0.0149174	0.0183018	0.0210706	0.02489	0.0294473	0.0284058	0.0294542	0.0381559	0.0311587	0.0460376	0.0370848	0.0399221	0.0334367	0.0297502	0.0323408	0.0364979	0.0490305	0.0433111	0.041515	0.0283683	0.0282073	0.0398841	0.0335951	0.0432073	0.0363012	0.0336412	0.041445
mauvais	0.0201847	0.0171278	0.0216083	0.017128	0.0266189	0.0245196	0.02121	0.0230846	0.0347877	0.0320691	0.0294409	0.0304872	0.0346187	0.0429672	0.0339379	0.0472623	0.0244677	0.0105455	0.034103	0.0182712	0.0173645	0.0210689	0.0218633	0.01817	0.0180487	0.0155646	0.0233549	0.0183263	0.0227239	0.0298842	0.05214	0.0571723	0.139878
caractère	0.0181807	0.0167168	0.0179022	0.0164648	0.0200178	0.0192659	0.0183331	0.0196178	0.0252737	0.0288183	0.025841	0.0291276	0.0319166	0.0386791	0.0328674	0.0545272	0.0355366	0.01896	0.0408428	0.035463	0.0439425	0.0267462	0.0265483	0.00929013	0.0158231	0.015802	0.0269502	0.0142542	0.0148918	0.0281763	0.0570968	0.0584046	0.117721
de	0.0255771	0.0129777	0.0143248	0.010536	0.0141621	0.0139136	0.00993915	0.0157537	0.0133734	0.0241803	0.0278163	0.027892	0.0189772	0.016556	0.0184161	0.0215985	0.0244945	0.0274636	0.0254687	0.0333427	0.0445328	0.0464041	0.0326223	0.0299638	0.0327418	0.0210594	0.02763	0.0261585	0.0152995	0.0321454	0.0583175	0.0655509	0.17081
cet	0.0434717	0.033459	0.0252989	0.0172355	0.01892	0.0175371	0.0132539	0.0150548	0.0141088	0.0169217	0.0198061	0.016454	0.0189983	0.0237021	0.0275884	0.0402887	0.0377877	0.0233613	0.0374843	0.0321228	0.0342898	0.0264028	0.0205254	0.0172269	0.0213298	0.0211017	0.0256623	0.0326232	0.0185947	0.0320838	0.0555111	0.0711887	0.130605
enfant-là	0.034472	0.0287989	0.0260324	0.0194413	0.0132599	0.0131699	0.0121261	0.0117466	0.0118603	0.0136975	0.0166946	0.0143381	0.0193309	0.0222239	0.0323898	0.0357474	0.0521593	0.0459683	0.0406602	0.0526361	0.0525309	0.0331492	0.013842	0.0115137	0.0144405	0.0150849	0.0176561	0.0154274	0.0233365	0.0257943	0.0550048	0.0880524	0.117414
</S>	0.0636832	0.0456543	0.0496888	0.0209455	0.0548548	0.0401001	0.0234791	0.0218486	0.0159062	0.0124098	0.0178494	0.0129126	0.0128057	0.0171229	0.0236791	0.025771	0.0283408	0.0177895	0.0261041	0.0311408	0.0352848	0.0291788	0.0163975	0.0168611	0.0165744	0.0188725	0.0271439	0.0285411	0.019557	0.0264974	0.0420571	0.0547849	0.106163
