 	b	a	r	e	á	m	i	k	o	á	p	e	r	e	p	e	r	e	s	á	l	ε	k	ώ	ώ	l	i	</S>
les	0.198052	0.055711	0.0430249	0.00912555	0.0189911	0.0381597	0.0225505	0.0214191	0.0258451	0.0562165	0.063705	0.0728435	0.0333275	0.0224946	0.0145709	0.0180097	0.0136146	0.0157395	0.0187941	0.0280766	0.0197519	0.0314709	0.0291456	0.0306538	0.0332316	0.0288343	0.0206761	0.0159647
gens	0.061713	0.0897062	0.122632	0.114754	0.119086	0.129792	0.062892	0.0390458	0.021956	0.0336014	0.0556564	0.0352546	0.0115593	0.00814498	0.0044266	0.00748457	0.00417596	0.00807583	0.00906065	0.0116763	0.0075019	0.00917269	0.00461921	0.00530836	0.00628287	0.0069675	0.00502476	0.00442935
se	0.0228628	0.0262115	0.0278329	0.0446723	0.0328571	0.0446673	0.0407838	0.0532323	0.0474566	0.0654874	0.0554891	0.0564816	0.0708451	0.0618417	0.0600361	0.0387811	0.0326581	0.023805	0.0235273	0.0315392	0.024611	0.0387599	0.0188773	0.0185368	0.0121024	0.0111203	0.008552	0.00637161
sont	0.0128126	0.0148839	0.0196907	0.030991	0.0379912	0.041073	0.0403087	0.0302098	0.0242394	0.0293052	0.0197641	0.0251841	0.0331282	0.0306802	0.0346495	0.0296483	0.0443201	0.0631212	0.062581	0.06445	0.0523664	0.0848604	0.0323233	0.0451043	0.0233097	0.0222262	0.0229023	0.0278752
réunis	0.0118899	0.0219216	0.0242049	0.0290969	0.0386451	0.0404437	0.0523865	0.055343	0.054953	0.0469693	0.0459985	0.0300852	0.0281919	0.0285014	0.0347426	0.0338247	0.0377309	0.040222	0.0395401	0.031488	0.0292768	0.0249175	0.0208787	0.0303085	0.0337302	0.0364853	0.0354595	0.0627643
en	0.0157023	0.016735	0.0162157	0.0193366	0.0203304	0.0175995	0.0209664	0.0258544	0.0334312	0.0298912	0.0365572	0.0402105	0.0374843	0.0443883	0.0502645	0.0543007	0.0422525	0.0664389	0.0651536	0.0550088	0.0466158	0.0356518	0.0152472	0.0265442	0.0264836	0.0395077	0.0392999	0.0625278
masse	0.0214234	0.0221271	0.0197889	0.0241932	0.024867	0.0209844	0.0202827	0.0226944	0.0268877	0.0253461	0.0272425	0.0363459	0.0465515	0.0609331	0.0629995	0.0717748	0.057243	0.0636834	0.0538091	0.047557	0.0387824	0.0323927	0.0191239	0.0269195	0.0217893	0.0306189	0.0277936	0.045845
dans	0.0155681	0.0148401	0.0135376	0.0159986	0.015904	0.0150573	0.0150261	0.016724	0.0214596	0.0242552	0.0261743	0.034765	0.0327187	0.0430714	0.0506023	0.0439515	0.0676581	0.0660895	0.0617637	0.0488949	0.0365044	0.0321971	0.0229813	0.0346802	0.0435772	0.0481233	0.0468968	0.0909797
la	0.0312999	0.0181359	0.0149361	0.0145242	0.0142947	0.0184572	0.0185124	0.0172086	0.0117104	0.0152151	0.0143781	0.012972	0.0149457	0.0166436	0.0192219	0.0149299	0.0309562	0.029085	0.0453566	0.0422596	0.0727936	0.059507	0.0953785	0.0685429	0.0757022	0.0608419	0.0840983	0.0680926
salle	0.0354774	0.0192926	0.0164742	0.017342	0.0172362	0.0154864	0.00840464	0.00660482	0.00768973	0.00773064	0.00913815	0.00801443	0.00740643	0.011914	0.0126445	0.0187423	0.0289261	0.0485728	0.0704077	0.100156	0.0685713	0.0727141	0.0651698	0.0547599	0.0531808	0.0646212	0.0625786	0.0907432
de	0.0468146	0.0219636	0.0174084	0.0172183	0.0161767	0.0150845	0.0150864	0.0119785	0.00937403	0.00977739	0.00930466	0.0114662	0.0141479	0.0258879	0.0291763	0.0452122	0.063864	0.0755195	0.0514731	0.0464442	0.043565	0.0326229	0.0365287	0.0417459	0.0342791	0.0492458	0.0494033	0.159231
l'	0.0554756	0.0285479	0.0205543	0.0192743	0.0197386	0.0197865	0.0127545	0.00729783	0.0107735	0.0102371	0.0121036	0.00821445	0.00802007	0.0109885	0.0166526	0.0165401	0.0349399	0.0447324	0.0562335	0.0539496	0.0484848	0.0456988	0.0655883	0.0531534	0.0564071	0.0662569	0.0809358	0.11666
école	0.0423209	0.0201065	0.016796	0.0246682	0.0248949	0.0213456	0.0107603	0.00797715	0.0100615	0.00925742	0.0109126	0.00884994	0.00816076	0.00985452	0.0130478	0.0178916	0.0274786	0.0425392	0.0573868	0.0640494	0.0524705	0.0547471	0.0643157	0.0622277	0.0560174	0.0826844	0.0822363	0.0969409
</S>	0.0378917	0.0299147	0.0232922	0.0182234	0.0175277	0.0175707	0.0179659	0.0170024	0.0223034	0.0255998	0.0275382	0.0234859	0.0234918	0.0240934	0.0275642	0.0216311	0.0259092	0.0269858	0.0334663	0.0409772	0.0397021	0.0318961	0.0450147	0.0422322	0.0424155	0.0558142	0.0704805	0.17001
