 	m	ó	e	k	y	é	n	i	y	é	w	a	á	k	y	e	n	g	o	n	d	a	m	b	v	έ	</S>
sur	0.0108875	0.0179502	0.0116909	0.010821	0.00891465	0.0109199	0.0340053	0.0547694	0.0542911	0.0707677	0.0820851	0.0651816	0.0569201	0.0456337	0.047348	0.0414061	0.0402934	0.042788	0.0228418	0.0419	0.041999	0.0422269	0.0309497	0.0364544	0.0237889	0.0299954	0.02317
cette	0.174077	0.0847764	0.0554589	0.0297378	0.0227085	0.0310083	0.0153711	0.011922	0.0158822	0.0224482	0.0433874	0.0474244	0.0467211	0.0646151	0.0384636	0.0506118	0.0615297	0.0282242	0.0349067	0.0234649	0.0213039	0.0094741	0.01675	0.00892296	0.0165596	0.0133381	0.0109127
bande	0.0216497	0.0121847	0.0116558	0.00885609	0.00586038	0.0107657	0.0165026	0.045372	0.0624826	0.0681397	0.0401667	0.0297082	0.0265793	0.0668238	0.119551	0.0912648	0.0535488	0.0604705	0.0431211	0.0463252	0.0536828	0.0316051	0.0257184	0.0172839	0.0184192	0.00751516	0.00474649
de	0.0274625	0.0239393	0.0254856	0.0122537	0.0118166	0.0193648	0.0208502	0.0669923	0.114406	0.0963501	0.052827	0.0346054	0.0270743	0.068878	0.0692201	0.0535845	0.0590087	0.0430396	0.0231855	0.0245686	0.0169809	0.0175139	0.0146124	0.0112393	0.0132744	0.0153583	0.0361082
terrain	0.0212921	0.0271768	0.031844	0.0249351	0.0258837	0.0212892	0.0288701	0.0384902	0.0426452	0.0489235	0.0634508	0.0489486	0.0411633	0.0410843	0.0248118	0.0228669	0.0273592	0.0232831	0.0368968	0.0388587	0.0274591	0.041688	0.0464383	0.0330861	0.0385353	0.0441696	0.0885501
il	0.0134523	0.014854	0.0231816	0.0235552	0.0247782	0.031907	0.0470063	0.0451532	0.0404508	0.0354359	0.0310542	0.0246565	0.0222308	0.0210751	0.0194563	0.0230401	0.0313816	0.0294139	0.0317005	0.0315123	0.0482898	0.0528877	0.0544315	0.066386	0.0497396	0.0760666	0.0869032
a	0.0503412	0.0329065	0.027294	0.0185272	0.0103386	0.0134404	0.00728382	0.00736683	0.00882739	0.00977687	0.0180808	0.0234166	0.0255344	0.036598	0.0309215	0.0388755	0.046204	0.0484444	0.0522901	0.0511795	0.0409615	0.037374	0.0574534	0.0663924	0.0723716	0.079489	0.0883106
fait	0.0966605	0.0673434	0.0476795	0.0255313	0.0099625	0.0100605	0.00426219	0.00540484	0.00482742	0.00624323	0.00809557	0.0135544	0.0165186	0.020994	0.0209029	0.0280004	0.0368363	0.0514856	0.046147	0.0507369	0.0367367	0.0279588	0.0621467	0.0570072	0.0693773	0.0754517	0.100074
une	0.297044	0.144907	0.0782415	0.0244726	0.0115195	0.00850448	0.00528702	0.0069136	0.00647609	0.00555929	0.00493198	0.00931364	0.00869583	0.0108299	0.0138533	0.0168407	0.0175328	0.025525	0.0179995	0.0263258	0.0152436	0.0161987	0.026064	0.0240821	0.0399776	0.0456198	0.0920408
belle	0.0744425	0.0347485	0.0230081	0.0127627	0.00942409	0.0124947	0.00719885	0.00749355	0.00625744	0.00500767	0.00591602	0.00889436	0.0105906	0.0150253	0.0146928	0.0454596	0.0392262	0.0494776	0.0603017	0.0536071	0.0375153	0.0272178	0.0556705	0.044906	0.078319	0.0969969	0.163345
plantation	0.0897871	0.049389	0.0426464	0.0391443	0.0290338	0.0160857	0.00780845	0.00732423	0.00603507	0.00332905	0.00419209	0.00549478	0.00638372	0.00776759	0.00703185	0.022695	0.0250686	0.0327979	0.0624464	0.048053	0.0357143	0.0227175	0.0598229	0.044938	0.086639	0.100061	0.137594
</S>	0.0469916	0.0367108	0.0407404	0.0505898	0.0321697	0.0331987	0.0151867	0.0130353	0.0110333	0.0066802	0.00857921	0.00900327	0.0106151	0.0148648	0.00838918	0.0374495	0.0393138	0.0317549	0.0984585	0.0488998	0.045119	0.0264164	0.0640035	0.0406115	0.0622397	0.0610317	0.106914
