 	p	έ	w	a	m	á	a	m	ó	k	ώ	b	h	i	y	a	t	s	ω	w	ú	u	</S>
donne-	0.0385622	0.0539385	0.0209604	0.0250029	0.0347501	0.0137191	0.0200594	0.022165	0.0411372	0.0992364	0.0820081	0.0414844	0.03382	0.0382248	0.0583111	0.0523426	0.0557801	0.056721	0.0519224	0.0485074	0.0372808	0.0389162	0.0351496
lui	0.0983649	0.0585692	0.0612959	0.0977592	0.112066	0.146329	0.0994441	0.0485608	0.0610724	0.0457578	0.0317495	0.0130229	0.00429134	0.00441289	0.0181562	0.0180516	0.0200749	0.0131604	0.0139321	0.00541894	0.0086192	0.0100468	0.00984435
de	0.0965387	0.0677729	0.0370135	0.0264451	0.0355612	0.0280899	0.0608969	0.0499679	0.0652563	0.0653598	0.0659651	0.0676403	0.0186011	0.0226703	0.0441733	0.0334068	0.040174	0.0502133	0.0463181	0.0248314	0.0180109	0.0150247	0.0200687
l'	0.0246478	0.0207395	0.0201584	0.0235806	0.0211991	0.0397544	0.0347268	0.0475155	0.0508185	0.047587	0.0596252	0.0535553	0.0395869	0.0408986	0.0564535	0.0599568	0.0496658	0.0486125	0.0577752	0.0204943	0.0511749	0.0602309	0.0712423
eau	0.0369774	0.0296425	0.0344514	0.0311515	0.0374911	0.0523264	0.0773111	0.0683883	0.0712526	0.0685502	0.052547	0.02627	0.028977	0.0510052	0.051909	0.0462995	0.045068	0.047249	0.0425	0.0171302	0.0251722	0.019768	0.0385622
dans	0.0313254	0.0349702	0.0338975	0.0224366	0.0212558	0.0200198	0.0250725	0.0277902	0.0285681	0.0311774	0.0405185	0.0242426	0.0493213	0.0568129	0.0425445	0.0478211	0.0548096	0.0508945	0.0497511	0.0381123	0.0509748	0.0945015	0.123182
ce	0.0285513	0.0233052	0.0180186	0.0206352	0.0278957	0.0287946	0.0515063	0.0466107	0.0425437	0.0289273	0.0279112	0.0226595	0.0279654	0.0431155	0.0504178	0.0461889	0.0528197	0.0610964	0.0672597	0.0461832	0.0584468	0.066851	0.112296
gobelet	0.0300287	0.0247335	0.0238028	0.0227688	0.0268322	0.0271932	0.027517	0.0193328	0.0150381	0.014767	0.0167455	0.0187925	0.0244354	0.0358531	0.0385311	0.0516151	0.0721206	0.0749956	0.0871227	0.0445609	0.09084	0.103294	0.109079
rouge	0.0606882	0.0433862	0.0448791	0.0394984	0.0398291	0.037724	0.0381074	0.0282926	0.0303675	0.0261244	0.0365143	0.016849	0.0215059	0.0257555	0.0267824	0.0418548	0.029941	0.035123	0.0438345	0.0291643	0.0787683	0.0888551	0.136155
</S>	0.0613998	0.0447997	0.045575	0.0385405	0.0282512	0.0175546	0.0109617	0.00575267	0.00437155	0.00481451	0.00548658	0.011274	0.0131281	0.0102907	0.015169	0.025643	0.0376136	0.0481599	0.0784471	0.0664899	0.115254	0.14196	0.169063
