 	w	a	l	á	a	y	é	n	g	á	á	b	é	a	w	a	m	b	v	á	a	o	k	o	n	d	z	i	</S>
il	0.13843	0.15548	0.150325	0.177449	0.195442	0.0466817	0.0204343	0.006388	0.00779556	0.0114385	0.00452526	0.00280806	0.00274545	0.00207758	0.00545572	0.0134463	0.011792	0.00781816	0.00858891	0.00421388	0.00405567	0.00571416	0.00336386	0.00286754	0.0014655	0.00211688	0.00227931	0.00277009	0.002032
brigue	0.0156661	0.00892568	0.00721531	0.00660582	0.00638319	0.00595191	0.0140719	0.0118122	0.0120511	0.0181385	0.0307597	0.138976	0.0870181	0.122484	0.100221	0.0719769	0.0633923	0.0535634	0.0435162	0.0124666	0.021234	0.0216298	0.0370861	0.0159364	0.0175909	0.00999771	0.0148889	0.0154817	0.0149584
l'	0.0116764	0.0186834	0.0218256	0.0224154	0.0188199	0.0157157	0.0264375	0.0187059	0.023637	0.0224402	0.0195929	0.0302965	0.0313729	0.0385458	0.0297171	0.0233859	0.0478324	0.0338212	0.0374961	0.0488838	0.0382659	0.0285273	0.0329354	0.0518985	0.0341685	0.041708	0.0545465	0.0673011	0.109347
honneur	0.00368292	0.00542074	0.00430865	0.00457719	0.00460105	0.0068075	0.0048229	0.00712127	0.00620654	0.00808915	0.0101145	0.022936	0.0199596	0.0261258	0.026918	0.0399788	0.0409083	0.0258298	0.0237256	0.0293928	0.0391061	0.0516804	0.0528612	0.0568704	0.0876612	0.0695529	0.107735	0.0915543	0.121451
d'	0.0132403	0.0145093	0.0164868	0.00834479	0.00916885	0.00991096	0.0174745	0.0119299	0.0100559	0.00557207	0.00733096	0.0221485	0.0313505	0.030422	0.0336708	0.0352412	0.0353294	0.0169772	0.0127665	0.0230027	0.0328684	0.0394457	0.0237195	0.0309655	0.0497622	0.0519129	0.10034	0.107318	0.198734
être	0.0101392	0.0148495	0.0163326	0.0139283	0.0135892	0.0175865	0.0191576	0.0172816	0.0185344	0.0170709	0.0184465	0.0193313	0.0207314	0.0347204	0.0297327	0.0288178	0.0269785	0.0316197	0.0316686	0.0568337	0.0474931	0.0568271	0.0306411	0.0585967	0.0471846	0.0515399	0.0907266	0.0672162	0.0924244
invité	0.0192379	0.0186739	0.0160048	0.0164088	0.0159197	0.0157831	0.0175793	0.0165353	0.0164558	0.0157397	0.0136614	0.0142995	0.0164759	0.0248722	0.0294857	0.0263916	0.0269976	0.0255997	0.0256559	0.0280319	0.0448131	0.0546679	0.0625563	0.0503019	0.0677963	0.0680502	0.0762735	0.0763844	0.0993468
par	0.0221811	0.0249059	0.0202518	0.0192309	0.0206217	0.0240773	0.0258001	0.016218	0.0186288	0.0149255	0.0145318	0.022622	0.0165569	0.0128081	0.0127453	0.0122388	0.0110217	0.0106631	0.0104779	0.0132202	0.0154222	0.0401859	0.0524755	0.064828	0.0586721	0.0668597	0.0930431	0.0954412	0.169345
le	0.0204397	0.0194327	0.0206638	0.0186466	0.0234102	0.0217177	0.021136	0.0145584	0.0144144	0.010161	0.00649863	0.00781158	0.0111685	0.0110617	0.0148407	0.0168573	0.0163311	0.0136051	0.0116928	0.0145834	0.0243642	0.0557327	0.0494063	0.0491471	0.0834115	0.102915	0.11543	0.103917	0.106644
chef	0.0180873	0.0141977	0.0130199	0.0119373	0.0159675	0.0135211	0.0142169	0.00976385	0.00970149	0.0141329	0.0090783	0.0151859	0.0131831	0.0141481	0.0149066	0.0204688	0.0188818	0.00831881	0.0069741	0.00580234	0.0100653	0.0236633	0.0611728	0.0314464	0.0939117	0.104687	0.118297	0.122431	0.172833
</S>	0.00918277	0.0092681	0.0100755	0.00788049	0.00906715	0.0136712	0.0159049	0.0148442	0.0102222	0.0120206	0.0104466	0.0139839	0.0150265	0.0130946	0.0166484	0.020671	0.0216053	0.0139932	0.0146038	0.0184043	0.0194206	0.0306113	0.0228856	0.0146084	0.110718	0.108949	0.134571	0.126685	0.160936
