 	o	y	ú	r	u	á	d	z	e	l	á	a	k	u	r	ú	r	á	n	d	z	ú	n	g	u	ó	t	s	ε	n	g	ε	</S>
la	0.0072623	0.00905158	0.00752287	0.00822061	0.00425948	0.00553307	0.00557373	0.0113569	0.0391388	0.0279501	0.0714256	0.0566327	0.0262062	0.0423115	0.0366404	0.0267847	0.033599	0.0279892	0.0363546	0.0336731	0.0243943	0.0352727	0.0297323	0.0493371	0.0407604	0.0300236	0.0293134	0.0196523	0.0181675	0.0483875	0.0478937	0.0483129	0.0612659
femme	0.150906	0.30127	0.183472	0.135617	0.0232713	0.0338735	0.0226234	0.0196873	0.0191623	0.0099337	0.00949995	0.0120648	0.0124786	0.00783361	0.00585298	0.00255872	0.00288109	0.00124748	0.00454695	0.00263593	0.00444006	0.00414428	0.00431209	0.00421346	0.00229668	0.00517843	0.00560486	0.00437404	0.0018502	0.000759708	0.0010374	0.000218511	0.000152907
était	0.0216538	0.0120943	0.0181628	0.0150681	0.0317639	0.0766845	0.0934158	0.150575	0.0626052	0.0755596	0.0562819	0.0221394	0.0266167	0.0290745	0.0363715	0.0408268	0.0271946	0.0320368	0.0112478	0.0132344	0.00819928	0.00604579	0.0126516	0.0148425	0.0188535	0.0176649	0.0223607	0.0178376	0.00996398	0.00464887	0.00413973	0.00530641	0.00487724
en	0.0445542	0.0428395	0.0429559	0.0608583	0.022433	0.0146778	0.0148386	0.0167693	0.016257	0.0163536	0.0169702	0.013496	0.0141436	0.0169183	0.0198643	0.0146772	0.0205209	0.024523	0.0290267	0.0364925	0.0361444	0.0319222	0.0303643	0.023339	0.0239926	0.0452293	0.0362758	0.066789	0.0676457	0.0343013	0.0353944	0.0307466	0.0386854
train	0.0552412	0.0369509	0.0372557	0.0416744	0.016301	0.00671212	0.00557247	0.00433932	0.00547842	0.00506356	0.00609419	0.00736908	0.00726898	0.00890283	0.00852555	0.0100119	0.0148553	0.023314	0.032851	0.0293721	0.0511974	0.0500963	0.0545597	0.0377592	0.0527985	0.0445816	0.0490542	0.0482362	0.0475717	0.0438114	0.0443014	0.0474898	0.0653887
de	0.0415733	0.0355083	0.0372513	0.0235802	0.0155894	0.0168036	0.0301739	0.0937061	0.147206	0.111609	0.0845982	0.0399001	0.0259255	0.0165685	0.0134609	0.00589789	0.00723862	0.00613743	0.00784589	0.00577014	0.012331	0.0094891	0.00806564	0.00808952	0.00810646	0.010953	0.0147359	0.00973827	0.0105283	0.0125611	0.0130625	0.013063	0.102932
frotter	0.0257641	0.0171761	0.0191728	0.0223903	0.0387804	0.0641586	0.0575878	0.0891287	0.100403	0.0596709	0.0434423	0.0319363	0.0280792	0.0261793	0.0441752	0.0360153	0.0337213	0.0209465	0.0313437	0.0182165	0.0201837	0.021361	0.0164192	0.0128138	0.0101943	0.0123675	0.0130779	0.00909004	0.00986353	0.00981657	0.0109264	0.0134338	0.0321635
la	0.122073	0.084339	0.0756572	0.0461375	0.0588893	0.0557259	0.0447088	0.0190601	0.017134	0.0119235	0.0113839	0.0103909	0.00685236	0.0144259	0.0139331	0.0186361	0.0202657	0.0128896	0.0308697	0.0153315	0.0307529	0.025248	0.0225683	0.0262218	0.0197069	0.0272805	0.0224227	0.0301617	0.0188132	0.0115773	0.0130423	0.0186293	0.0429483
marmite	0.0217022	0.0237939	0.0267306	0.0271749	0.0178737	0.00969888	0.00674314	0.00729777	0.00694562	0.00778819	0.010701	0.00901447	0.00446141	0.00546351	0.00645824	0.0117262	0.0201261	0.0208551	0.0232728	0.0264353	0.0471913	0.0313899	0.028376	0.0150467	0.0227431	0.0331589	0.0289025	0.0430934	0.0492691	0.0554036	0.0583704	0.089175	0.203617
contre	0.0500187	0.0388309	0.0481039	0.0474773	0.0401475	0.0218693	0.0206434	0.0213436	0.0152666	0.021735	0.0194516	0.0142038	0.00819432	0.00747797	0.0110238	0.0113926	0.0157254	0.0230497	0.0225895	0.0162178	0.0352985	0.0235879	0.0237316	0.0186059	0.0246039	0.0308848	0.0312667	0.0270678	0.0336431	0.0361999	0.0330767	0.0482595	0.159011
le	0.0872759	0.0582304	0.0354276	0.0224895	0.0176304	0.0200973	0.0230088	0.0293068	0.0203992	0.0210408	0.0256226	0.0170418	0.0105959	0.0141476	0.0178816	0.0212617	0.0205322	0.0165284	0.0360617	0.0189769	0.0285665	0.019682	0.0172261	0.0175053	0.0139777	0.0334745	0.0245726	0.0210539	0.041201	0.0336595	0.0336039	0.0648489	0.117071
sol	0.0159762	0.0144241	0.0111499	0.00925897	0.00813725	0.00500626	0.00546339	0.00643535	0.00476997	0.00609946	0.00541116	0.00536254	0.00435842	0.00575133	0.00619986	0.00650574	0.0107857	0.0226212	0.0180114	0.0308197	0.0276812	0.0238498	0.032789	0.0221716	0.0306137	0.0558612	0.0359753	0.0555968	0.0954053	0.0660242	0.0674902	0.113022	0.170972
</S>	0.121659	0.0689082	0.0614605	0.0339847	0.0328148	0.0368888	0.035478	0.0392787	0.0167185	0.014642	0.0139351	0.00740924	0.00559582	0.00677548	0.0131365	0.0180127	0.0205987	0.0242602	0.0262227	0.0231437	0.0242898	0.0205229	0.0228166	0.0254161	0.0217003	0.0232794	0.0217153	0.0226106	0.0246457	0.0227745	0.0254485	0.0342791	0.089578
