 	o	k	ú	m	u	b	í	n	í	n	d	é	e	á	d	z	e	o	l	ó	m	i	y	a	n	g	a	l	a	</S>
c'	0.0102338	0.0152275	0.0163938	0.0151105	0.0272314	0.0302769	0.0321827	0.0246302	0.0471259	0.0583098	0.0780131	0.089193	0.0507689	0.0239252	0.0192395	0.0145545	0.014211	0.0138829	0.013527	0.0235205	0.0399357	0.0290204	0.0328216	0.0383398	0.0415762	0.0411725	0.0408707	0.04235	0.042573	0.0337822
est	0.0578779	0.0553285	0.0305194	0.0155486	0.0125259	0.010336	0.019243	0.0243208	0.0278878	0.0393186	0.0538464	0.0265327	0.0231774	0.0215616	0.0352885	0.0498962	0.0812029	0.0682723	0.0762192	0.0726618	0.0852896	0.0673461	0.013126	0.00613164	0.00621899	0.00389029	0.00409766	0.00403771	0.00401301	0.00428362
le	0.125097	0.0704353	0.0394437	0.0469905	0.029402	0.0240732	0.0160744	0.00872303	0.0084309	0.0127879	0.0391491	0.06868	0.121096	0.0716501	0.06447	0.0873054	0.0426216	0.0283963	0.016773	0.0126019	0.0069151	0.00307847	0.00223134	0.00167418	0.00315882	0.00483906	0.00678281	0.00317687	0.0064394	0.0275022
mari	0.017508	0.0176957	0.0162807	0.0119484	0.00835811	0.00467905	0.0036119	0.00303471	0.00462771	0.0123569	0.0302212	0.01985	0.0252487	0.0199257	0.0418088	0.0368146	0.045382	0.0650282	0.0822879	0.18022	0.119261	0.0821503	0.0279992	0.0168789	0.0184884	0.00712524	0.0131383	0.0101355	0.0149829	0.0429522
de	0.0411172	0.0348615	0.0333033	0.0236862	0.0257282	0.024188	0.0259796	0.0245364	0.0234335	0.0144038	0.0156377	0.0105152	0.013858	0.0159886	0.0459207	0.0292873	0.0727932	0.0659251	0.103857	0.0818108	0.0623705	0.0228407	0.0126656	0.0107165	0.0138364	0.0109115	0.0151426	0.0172896	0.0311855	0.0762092
ngala	0.0424415	0.0327522	0.0372072	0.0400003	0.0525905	0.0566772	0.0898251	0.0606503	0.0585799	0.0376512	0.0372043	0.0383413	0.0456926	0.0437226	0.0451928	0.0178591	0.0176735	0.0152718	0.0336925	0.0261928	0.0180839	0.00899568	0.0171262	0.015334	0.013014	0.0154533	0.0157381	0.0145471	0.017867	0.0346221
qui	0.0245307	0.0150201	0.0171414	0.0143031	0.0229016	0.0354874	0.0329113	0.0261555	0.021597	0.0149245	0.011769	0.00962474	0.0124853	0.0204387	0.0489234	0.0374631	0.0697198	0.0676199	0.10157	0.0764582	0.0509228	0.0351162	0.0307348	0.0185203	0.0213601	0.0201631	0.0182961	0.0292351	0.0285176	0.0660894
vous	0.0716939	0.0553109	0.0426774	0.0257638	0.0198791	0.0237017	0.0168093	0.017633	0.0161118	0.0174551	0.0193702	0.0186747	0.0260445	0.0267178	0.0450246	0.0256766	0.0405471	0.0366457	0.0352872	0.0265077	0.019323	0.0179598	0.0194021	0.0264135	0.0421452	0.0326687	0.0468589	0.0563764	0.0596319	0.0716885
a	0.0911071	0.0485443	0.0355007	0.0284623	0.023381	0.0230188	0.0122808	0.013231	0.0127807	0.0147165	0.0161435	0.0198311	0.0295133	0.0313723	0.0393105	0.0364631	0.0494802	0.0390588	0.0608891	0.047582	0.0483545	0.0383748	0.0324141	0.0312367	0.0376898	0.0296183	0.0267867	0.0257789	0.0258795	0.0311998
ouvert	0.153144	0.0748651	0.0360376	0.0188365	0.011312	0.0105413	0.0077257	0.00844097	0.00873964	0.00974105	0.0105497	0.0117609	0.0181108	0.0204697	0.023979	0.0347478	0.0400931	0.034507	0.0361205	0.0338396	0.0317277	0.0284893	0.0243314	0.0222041	0.0361352	0.0327308	0.04515	0.0438213	0.0627664	0.0690813
la	0.0649347	0.0342055	0.0237778	0.0263686	0.0228312	0.0229846	0.0219114	0.0212045	0.013702	0.0142191	0.0107821	0.0117358	0.021886	0.0194386	0.0277887	0.0453644	0.0637902	0.0571696	0.0610105	0.0500275	0.0441766	0.0353139	0.0292504	0.0217947	0.0301236	0.029041	0.0387693	0.0325808	0.042819	0.0609984
maison	0.11478	0.0586882	0.0314218	0.0131498	0.00635331	0.00446195	0.00443402	0.00653727	0.00554254	0.00933979	0.00757523	0.010468	0.0140333	0.01701	0.0164811	0.0312148	0.0291762	0.0243072	0.0243483	0.023705	0.0192375	0.0157409	0.00980167	0.0188205	0.062727	0.0149565	0.0619085	0.068623	0.102907	0.17225
</S>	0.0983733	0.0489704	0.0264465	0.0191498	0.0135974	0.0124442	0.00622638	0.00616503	0.00461997	0.00649271	0.00554185	0.00743766	0.0108484	0.0138022	0.0215249	0.0399611	0.0472868	0.0386043	0.0407662	0.0318595	0.0264193	0.0211031	0.0231935	0.0236172	0.0496694	0.0274536	0.0506157	0.051319	0.0889821	0.137508
