 	n	g	a	n	g	a	á	p	έ	ε	w	á	b	v	e	r	é	b	ó	ó	l	ó	ó	s	á	w	a	</S>
le	0.0368391	0.112538	0.0857115	0.0448505	0.0301102	0.0241232	0.0195834	0.0107057	0.0121348	0.0256287	0.0243463	0.0201738	0.0513982	0.0434581	0.0714599	0.04768	0.0370617	0.0320709	0.0311929	0.0373374	0.0271905	0.0280657	0.0231082	0.0325186	0.0220679	0.0201587	0.0297458	0.0187401
guérisseur	0.0955824	0.0828864	0.0530924	0.204966	0.165593	0.09718	0.0730653	0.0689703	0.0378959	0.0360547	0.0319247	0.0148563	0.00637278	0.00580828	0.0040447	0.00296546	0.00267825	0.00175674	0.00126918	0.00251833	0.00195118	0.00208002	0.00112704	0.00134078	0.000903176	0.00158061	0.000859128	0.000677226
lui	0.00873662	0.0117193	0.00804333	0.0271205	0.0236803	0.0342015	0.0484674	0.115863	0.0798249	0.0842163	0.0895441	0.0918733	0.0443293	0.0216364	0.0292599	0.0330796	0.0252472	0.0422114	0.0372834	0.0264299	0.0211049	0.017926	0.0181189	0.0140954	0.00951487	0.0123996	0.00841335	0.0156597
a	0.0143694	0.019672	0.0188525	0.0231823	0.0189444	0.0216544	0.0277886	0.0480189	0.0579647	0.0518466	0.0517878	0.061319	0.0645525	0.0684237	0.057754	0.0682366	0.0399005	0.0541448	0.0632748	0.0409628	0.024926	0.0185645	0.00955973	0.0137522	0.0102812	0.0103572	0.0124287	0.0274801
donné	0.0475526	0.0252962	0.0232421	0.0300624	0.0227284	0.028008	0.0370697	0.0416887	0.039099	0.0492883	0.037445	0.0548311	0.0497654	0.0299909	0.0371625	0.0455634	0.025876	0.0422779	0.0431961	0.0272378	0.0287181	0.0262453	0.0268159	0.0207717	0.0232225	0.0281767	0.0354278	0.0732406
un	0.0255387	0.0139941	0.0142256	0.0162075	0.0159516	0.0288956	0.0296223	0.0299808	0.0383085	0.0467095	0.0414142	0.0618333	0.0545815	0.0571747	0.0686623	0.0583698	0.0223662	0.0325421	0.0334526	0.0331767	0.0328374	0.0294137	0.0270152	0.0257644	0.0257489	0.0258376	0.0263325	0.0840426
médicament	0.0250644	0.0175312	0.0179867	0.0151106	0.0192045	0.0299533	0.0306772	0.0300018	0.0340301	0.0344743	0.0249688	0.0407208	0.0383215	0.0453566	0.0468505	0.0453607	0.0510843	0.0462895	0.0513883	0.0450969	0.0439827	0.0476627	0.0452696	0.0321431	0.0169799	0.011955	0.0233287	0.0892066
pour	0.0137466	0.0136728	0.0175644	0.0147446	0.01432	0.0151922	0.0199354	0.0249596	0.0240085	0.0149559	0.0162127	0.01583	0.0222391	0.0373413	0.0446276	0.076726	0.0576098	0.0633741	0.0829462	0.0782639	0.0535932	0.0391701	0.0290566	0.0482034	0.0245967	0.0241343	0.0268833	0.0860917
le	0.0378703	0.0220956	0.0190268	0.0330715	0.0352503	0.0424349	0.0327267	0.02056	0.0155067	0.019821	0.00987052	0.0130952	0.0177139	0.0201136	0.0260522	0.0383456	0.0480776	0.0542427	0.0389755	0.067437	0.0443684	0.0576853	0.0429102	0.0621398	0.0310035	0.0222369	0.0516769	0.0756914
faire	0.0537268	0.0480476	0.0467578	0.0462349	0.0300357	0.0221113	0.0229402	0.0247538	0.0294957	0.0281465	0.0196079	0.0219774	0.0309652	0.022726	0.0171017	0.0130648	0.0338729	0.0296812	0.0341394	0.0214528	0.0192909	0.036249	0.0337598	0.0531157	0.0277665	0.0256148	0.0530975	0.154266
vomir	0.0311045	0.0219999	0.0152771	0.0320001	0.0238959	0.0186194	0.0180523	0.0243133	0.019922	0.0160215	0.0106984	0.0125388	0.0158848	0.0221584	0.0175031	0.0265772	0.028005	0.0322037	0.0358871	0.0440425	0.0536626	0.0675859	0.0553713	0.0692691	0.0695112	0.0567872	0.0762346	0.0848729
</S>	0.048711	0.0384585	0.0280764	0.0517702	0.0628924	0.0631767	0.0340581	0.027323	0.019523	0.0211635	0.0129583	0.017349	0.0185537	0.0237826	0.0236608	0.0272644	0.037371	0.0272697	0.0253289	0.0432625	0.0349572	0.0438567	0.0353447	0.0466979	0.0312491	0.0273051	0.0616818	0.0669537
