 	w	a	á	m	i	p	i	á	i	k	a	f	é	m	ó	k	ó	ó	y	ε	ε	d	z	w	á	l	a	n	d	é	e	</S>
il	0.128289	0.229589	0.274336	0.156727	0.077732	0.0421618	0.0125196	0.00333974	0.00312675	0.00674168	0.00559574	0.00567795	0.00293203	0.00261178	0.00235553	0.00283687	0.00316145	0.00358707	0.00373394	0.00365686	0.00307474	0.00339601	0.00264357	0.00224335	0.00206498	0.00216118	0.00215453	0.00243719	0.00251149	0.0024702	0.00235226	0.00177798
a	0.0299051	0.0108177	0.0129543	0.0474252	0.0831472	0.0514129	0.14518	0.0876795	0.120052	0.0974484	0.059034	0.0296559	0.0251309	0.0154796	0.00978992	0.015284	0.00957173	0.0103459	0.00289418	0.00407321	0.00291651	0.00480259	0.0061919	0.019303	0.0110472	0.0104576	0.0194293	0.0092351	0.00931363	0.0127082	0.0117272	0.0155863
planté	0.0169894	0.0144048	0.0166795	0.012722	0.014777	0.0182326	0.0144998	0.0202628	0.0216966	0.03107	0.0413641	0.0366976	0.0428314	0.0435141	0.0541654	0.0795421	0.0482634	0.0831679	0.0547547	0.0493939	0.0259959	0.0280232	0.022018	0.0301183	0.0353553	0.0202541	0.0154852	0.01643	0.0197658	0.0171083	0.0293863	0.0250307
des	0.00994963	0.010597	0.0114469	0.0158771	0.0166364	0.0172621	0.0165964	0.0170803	0.0318211	0.0540763	0.0369525	0.0250031	0.0453469	0.0558359	0.059649	0.0588636	0.0598596	0.0471223	0.0454519	0.0123387	0.0315851	0.0223445	0.0279616	0.0546565	0.033522	0.0185549	0.0116119	0.0169218	0.0103163	0.0118058	0.0375882	0.0753647
caféiers	0.0045078	0.00415006	0.00470292	0.00451966	0.00593608	0.00668753	0.00955614	0.0100619	0.0142178	0.0140905	0.0247055	0.034887	0.0594044	0.0715696	0.115121	0.077277	0.0464543	0.0394328	0.0900983	0.0618998	0.0490152	0.0315102	0.021454	0.0186447	0.0140574	0.0146156	0.0127619	0.0248716	0.0228055	0.031744	0.0277086	0.0315308
le	0.00791859	0.00436177	0.00440315	0.0048256	0.00776185	0.00821992	0.0106915	0.0162172	0.0204619	0.027082	0.0286125	0.0436062	0.0449543	0.0422174	0.0485471	0.045067	0.0414594	0.0357209	0.0541468	0.050143	0.0563762	0.0544708	0.0359972	0.0261575	0.0251335	0.0309435	0.0325851	0.0440264	0.0273564	0.0403918	0.0341293	0.0460142
long	0.0211377	0.0180015	0.0156429	0.0212496	0.0208573	0.0259719	0.0255726	0.0257578	0.0249957	0.0221917	0.0348021	0.0517842	0.0696433	0.0588948	0.0835695	0.0495196	0.0341236	0.0222161	0.0112842	0.0179867	0.00577872	0.00599138	0.00608052	0.00788661	0.0119074	0.0122976	0.0185134	0.0451108	0.0372554	0.0554614	0.0641646	0.0743494
de	0.017403	0.0142301	0.0124326	0.0161844	0.0151298	0.0185566	0.0162461	0.0192002	0.0195504	0.0204409	0.0294963	0.0300336	0.0458133	0.0390941	0.0498784	0.0332487	0.0243172	0.0165531	0.0401188	0.0259684	0.0378006	0.0342549	0.0363371	0.0426392	0.0316016	0.0297812	0.0315981	0.0438403	0.0479748	0.0510603	0.0475554	0.0616602
l'	0.0159201	0.017048	0.0175083	0.0260446	0.028328	0.0279743	0.0225968	0.0138777	0.0144363	0.00740649	0.0104481	0.0153808	0.0118109	0.0138987	0.0204778	0.0221571	0.0292786	0.0233283	0.042198	0.044768	0.0368142	0.0360176	0.0323175	0.0270311	0.0314682	0.0397591	0.0435276	0.0601575	0.0628117	0.056135	0.0628687	0.0862049
allée	0.0117939	0.0176298	0.0214472	0.0203877	0.0199549	0.0217459	0.0202486	0.0132403	0.0136223	0.00694721	0.0100808	0.0140458	0.0144046	0.014196	0.0161974	0.0169356	0.017769	0.0147473	0.0186041	0.0235461	0.0241047	0.0304454	0.0252328	0.0207992	0.025336	0.0289276	0.0394085	0.0864221	0.091156	0.10102	0.0993545	0.100249
qui	0.00698768	0.00948743	0.0138144	0.0196698	0.0194296	0.0189477	0.018537	0.0176552	0.0203476	0.0173386	0.0226203	0.0251346	0.0290289	0.0316912	0.0338932	0.0367835	0.0433738	0.0357089	0.0436961	0.0340799	0.0302533	0.0351332	0.0365344	0.0304765	0.0338306	0.0278222	0.0348174	0.0440969	0.0475517	0.0423192	0.0620312	0.076908
mène	0.00782572	0.0104684	0.0123195	0.0142178	0.0143116	0.0142464	0.014377	0.0141211	0.0139308	0.0136433	0.0140296	0.018156	0.0167287	0.016318	0.0237427	0.0220355	0.0307428	0.0283376	0.0627349	0.0426128	0.0413002	0.0397464	0.0471797	0.0470655	0.0478761	0.0470477	0.0500308	0.054039	0.0542203	0.0557683	0.0555422	0.0552836
à	0.00470235	0.00543248	0.00578747	0.0115971	0.0118294	0.0117462	0.0118173	0.0118366	0.0121952	0.0120875	0.0133404	0.0137413	0.0155129	0.0167011	0.0169705	0.0222809	0.0233213	0.0258053	0.0579974	0.0430391	0.057435	0.063719	0.057529	0.0646598	0.065941	0.0432037	0.0421777	0.0469814	0.0438601	0.041725	0.0656156	0.0594112
la	0.0111781	0.0107156	0.0115332	0.0130201	0.0130126	0.0130052	0.0130525	0.0124294	0.0122607	0.00929953	0.00987569	0.0131682	0.010049	0.0098382	0.0145325	0.0143347	0.0165767	0.0195879	0.0428643	0.036961	0.0486972	0.058778	0.0505448	0.0588078	0.0591591	0.0555851	0.050014	0.0573686	0.0546417	0.0603872	0.0742518	0.0644695
maison	0.0062377	0.00584094	0.00945368	0.0181242	0.0186213	0.0160859	0.0194117	0.017423	0.0170149	0.00901292	0.0094826	0.0196129	0.012676	0.012056	0.0163081	0.0142982	0.0162727	0.0150134	0.0152507	0.0226508	0.0225008	0.035188	0.0300983	0.0343304	0.0377692	0.0456523	0.0581366	0.0823229	0.0863499	0.0823143	0.0973675	0.0971222
</S>	0.00432158	0.00282024	0.00283099	0.00844405	0.00834617	0.00679121	0.0117721	0.0106734	0.0159579	0.00985772	0.00743502	0.0128498	0.0114755	0.0109546	0.0118997	0.0143998	0.0143524	0.0179015	0.0366538	0.0296086	0.0417337	0.0456039	0.0454973	0.0458053	0.0603601	0.049872	0.0456148	0.0669989	0.0634704	0.068266	0.106956	0.110475
