 	n	d	é	n	g	é	y	é	é	d	z	e	n	g	á	l	a	ε	s	ε	l	a	a	p	ó	a	n	d	é	n	g	é	y	é	é	d	i	n	g	á	l	a	n	y	i	n	g	a	p	á	b	h	a	</S>
autant	0.0141304	0.0250575	0.0237413	0.0232694	0.0216323	0.0391557	0.0403439	0.0399477	0.0497763	0.0588515	0.0390382	0.0475124	0.0586628	0.047202	0.0479699	0.0378769	0.0356878	0.0253198	0.0135885	0.0168303	0.00416691	0.00432302	0.00323427	0.0041337	0.00174035	0.00511531	0.00569125	0.00593157	0.0044407	0.00430313	0.00247064	0.00514408	0.00370632	0.00358801	0.00415772	0.00568917	0.00674956	0.00855315	0.00371499	0.01009	0.00619242	0.0127808	0.0115977	0.00880108	0.00626047	0.0127712	0.0115696	0.0228328	0.0155069	0.0206484	0.0189116	0.0190566	0.017525	0.0130067
hier	0.104215	0.0773659	0.0552453	0.0389282	0.0477927	0.0657087	0.0549762	0.0634021	0.0643607	0.0410788	0.0301419	0.026528	0.0260111	0.0199964	0.0175711	0.0162927	0.0204199	0.0178111	0.0135707	0.0110264	0.00915043	0.0127611	0.00578809	0.0112398	0.00509167	0.0110471	0.00569671	0.00722014	0.00311998	0.00517584	0.00531723	0.00550507	0.00407026	0.00256348	0.00238307	0.00336614	0.00324476	0.00324846	0.00243052	0.00255189	0.00206943	0.00348969	0.0027022	0.0025095	0.00167028	0.00272684	0.00405947	0.00884174	0.00965615	0.0105141	0.00755425	0.00770322	0.0061187	0.00696976
j'	0.0762682	0.069383	0.0432086	0.0307298	0.028006	0.0214682	0.0204496	0.0212634	0.0222257	0.0227186	0.0276117	0.0260663	0.038871	0.030822	0.0376377	0.0192556	0.0186035	0.0240344	0.012133	0.0116924	0.00820535	0.0042735	0.00547224	0.00634661	0.00570508	0.0121269	0.0110037	0.0106952	0.0071961	0.0128659	0.0104573	0.0103875	0.0130314	0.00821009	0.00955967	0.00955113	0.0112117	0.0137899	0.0178234	0.0138828	0.0119448	0.00773289	0.0130883	0.0122695	0.0100014	0.0153985	0.0100384	0.0266709	0.0162104	0.0151106	0.0139765	0.015268	0.0157672	0.0122786
étais	0.0670878	0.053263	0.0643962	0.0639307	0.0687832	0.0755963	0.0616345	0.051539	0.0223381	0.0120442	0.0104852	0.0125003	0.0118525	0.00977741	0.00937803	0.0102947	0.0116441	0.011854	0.0145015	0.012712	0.0140009	0.0123333	0.0104396	0.0115132	0.00949572	0.0135559	0.010387	0.0149809	0.0084921	0.009954	0.0123603	0.0116973	0.011051	0.00933625	0.00919921	0.00832537	0.0112437	0.0104421	0.00978849	0.00831691	0.0123983	0.00791914	0.0104816	0.00879049	0.00623739	0.00537821	0.00631883	0.00540403	0.00651547	0.00735849	0.00653969	0.00726223	0.0102644	0.0266057
heureux	0.0258205	0.0377491	0.0414966	0.027418	0.0115115	0.00947684	0.00487085	0.0047989	0.00491079	0.0113226	0.0262472	0.0206608	0.0194078	0.0234707	0.0177239	0.00715764	0.0126462	0.0173306	0.0206166	0.0144105	0.00561464	0.00455491	0.00446343	0.00473052	0.00456799	0.0067174	0.00600128	0.00899024	0.00438056	0.00652738	0.00316131	0.00884688	0.00923192	0.00698813	0.0113668	0.0173297	0.0214125	0.0278362	0.0190584	0.0543519	0.0441045	0.0505531	0.0646083	0.04228	0.0189934	0.0148954	0.0249019	0.026735	0.0125221	0.0145929	0.0146509	0.0214754	0.0202359	0.0342714
autant	0.00829672	0.010398	0.0113963	0.0137519	0.0177297	0.0142542	0.0238026	0.0251293	0.0185337	0.011497	0.00889864	0.00879071	0.00757389	0.00531514	0.00508553	0.00612781	0.00746537	0.00947558	0.00902892	0.00925156	0.0128286	0.0114667	0.0129761	0.0277751	0.0197816	0.0325998	0.0244745	0.0426274	0.0246307	0.0292376	0.0282955	0.0279851	0.0320287	0.0319549	0.0304635	0.0261639	0.0309807	0.0285985	0.0272956	0.0225366	0.0216039	0.017873	0.0144544	0.0103154	0.00670581	0.0150881	0.0134336	0.00662084	0.0111973	0.0101573	0.0119442	0.0137836	0.0299412	0.0603777
je	0.0266317	0.017865	0.0122824	0.0125472	0.0121749	0.0111594	0.0113523	0.0103313	0.00958052	0.00634252	0.00591941	0.0060857	0.00598665	0.00638456	0.00617921	0.00634141	0.00820761	0.0111581	0.0117689	0.0130188	0.012641	0.0138755	0.0129594	0.0219406	0.0200016	0.0246407	0.0213331	0.0262259	0.0124859	0.0176717	0.011288	0.0227207	0.0246757	0.0157816	0.0263429	0.0351025	0.0372461	0.0377827	0.0266293	0.0458128	0.0416441	0.0433881	0.0278677	0.0169794	0.00896971	0.0166748	0.0159535	0.0124788	0.0168451	0.0186726	0.0165349	0.0214186	0.0264851	0.0376118
suis	0.016306	0.0135318	0.0124048	0.0132678	0.0147203	0.0154376	0.0117329	0.0085709	0.00708642	0.00809852	0.00804449	0.00715242	0.00676599	0.0058504	0.00930506	0.00879522	0.00787295	0.00873194	0.0132168	0.0156121	0.0189665	0.0189329	0.0196653	0.0185195	0.023158	0.0249552	0.022532	0.0262785	0.0174418	0.0252987	0.0148836	0.0284991	0.0248484	0.0342171	0.032976	0.0371078	0.0439039	0.0424465	0.0389371	0.0267	0.032482	0.0161938	0.0120612	0.0120227	0.0115726	0.0119535	0.0169327	0.0103959	0.015402	0.0151923	0.0127945	0.0160837	0.0267913	0.0373497
triste	0.177033	0.0853393	0.042941	0.046588	0.0454463	0.0374629	0.0183327	0.0166771	0.0125986	0.011244	0.0139202	0.010295	0.0116053	0.011935	0.0238175	0.0213358	0.0253029	0.023296	0.0266649	0.0208611	0.00887073	0.0101237	0.00604643	0.00518127	0.00751889	0.00538586	0.00431209	0.00471931	0.00556576	0.00356599	0.00485034	0.00515332	0.00563234	0.0056527	0.00578074	0.00791255	0.00736942	0.00831202	0.00777835	0.0131574	0.00755215	0.0114447	0.00524236	0.00764517	0.00559247	0.0135017	0.0112095	0.0112611	0.0143934	0.0160186	0.0117934	0.0221086	0.0132719	0.0333796
aujourd'	0.0195276	0.013386	0.0121125	0.0116929	0.0111071	0.0101336	0.00647909	0.00506275	0.00468247	0.00478101	0.00584427	0.00524815	0.0043251	0.003677	0.00328808	0.00356213	0.0042429	0.00488608	0.00587738	0.00680536	0.00982789	0.0114922	0.0129343	0.013368	0.0175338	0.0168143	0.0185477	0.0203002	0.0219917	0.0240003	0.0129683	0.0310471	0.0252607	0.0294783	0.0366436	0.0375062	0.0358643	0.036148	0.0267699	0.042473	0.0428402	0.0425058	0.0335065	0.0208721	0.0114379	0.0165266	0.00913528	0.0160657	0.0260648	0.0227369	0.0290851	0.0288486	0.0332173	0.0394658
