 	e	f	ú	r	ú	ú	r	ú	y	é	é	f	ú	r	ú	ú	w	a	n	g	á	a	s	w	é	é	d	i	e	b	é	</S>
la	0.0188851	0.0169106	0.0224437	0.0107594	0.0141337	0.0161366	0.0182566	0.0146432	0.0157972	0.0192604	0.0324152	0.054343	0.0895347	0.0796283	0.0621268	0.0819488	0.0376593	0.0504674	0.0303765	0.0261624	0.0273903	0.0232409	0.0294312	0.0371722	0.0262303	0.0148318	0.0296933	0.01496	0.0137915	0.0223823	0.0277712	0.0212162
manière	0.0177517	0.0258848	0.0177771	0.0141289	0.0142686	0.0131707	0.0161629	0.0267756	0.0600703	0.089013	0.116631	0.114204	0.148499	0.0401089	0.00902603	0.029645	0.0145415	0.031144	0.0162923	0.0281345	0.00685876	0.0117686	0.00712817	0.0229719	0.0107212	0.0100628	0.0178799	0.025623	0.0253396	0.00906685	0.00336015	0.0059891
dont	0.227826	0.0745266	0.0158325	0.00490451	0.00982145	0.0115081	0.0192789	0.0140166	0.0172938	0.0287367	0.0296878	0.0548308	0.0248199	0.0519522	0.0748208	0.0520529	0.0264074	0.039893	0.0420777	0.0267191	0.0213358	0.0132393	0.0124977	0.0223441	0.0142093	0.0109367	0.00755539	0.0144253	0.00915927	0.00769987	0.00767786	0.0119133
il	0.0377278	0.0373717	0.0331562	0.0168638	0.0177605	0.0202874	0.0191284	0.0164331	0.0227505	0.0192397	0.0239845	0.0715243	0.145359	0.105834	0.0808517	0.0962037	0.039423	0.070817	0.0269249	0.0169934	0.0120577	0.00366975	0.00448233	0.00625425	0.00238724	0.00174066	0.00246362	0.00236912	0.0033545	0.00536832	0.0113184	0.0258987
a	0.134008	0.0749323	0.0240227	0.0403957	0.0349447	0.0345753	0.0395335	0.0272627	0.0257608	0.0187723	0.0180016	0.0208424	0.0191547	0.0259144	0.0365177	0.0498862	0.062416	0.0611916	0.0190001	0.0264309	0.0193187	0.0165636	0.0134797	0.0165946	0.0135656	0.00802707	0.00706455	0.0144771	0.0108198	0.0138615	0.0231779	0.0494862
emballé	0.0497695	0.0471884	0.0419788	0.0972632	0.0707919	0.0595695	0.0571834	0.0392945	0.0207364	0.0211368	0.0159345	0.0124941	0.0108941	0.0133027	0.0210132	0.0228242	0.039436	0.0298974	0.012356	0.018967	0.00945181	0.0131543	0.0135916	0.00573115	0.0139113	0.00728879	0.00580132	0.0101891	0.0151181	0.0221175	0.0491739	0.132439
mes	0.0290368	0.017298	0.0140618	0.0138963	0.0224277	0.0237332	0.0163735	0.0207208	0.0181331	0.017891	0.0100002	0.00628205	0.00457701	0.00659146	0.00650529	0.0167431	0.0208023	0.0373282	0.0224127	0.0410962	0.0198879	0.0386382	0.0411058	0.0165186	0.0426709	0.0300041	0.0439418	0.0171127	0.0469357	0.0648308	0.0900114	0.182431
poissons	0.0369505	0.0514698	0.0570728	0.0955783	0.0871102	0.0539557	0.0277592	0.0247477	0.0202853	0.0234824	0.0198603	0.0115398	0.00971737	0.00845153	0.00764995	0.00557594	0.00749833	0.00480009	0.00421944	0.00857384	0.00533465	0.00901981	0.0134429	0.00319075	0.0106151	0.00607871	0.0122615	0.0174148	0.046557	0.0476216	0.102251	0.159914
n'	0.0242874	0.0317858	0.0376149	0.0671454	0.0575436	0.0393474	0.0227177	0.0228778	0.0184036	0.0175205	0.0175397	0.0163159	0.015702	0.0133699	0.0136143	0.0222822	0.0145298	0.0192194	0.0154594	0.0195609	0.015677	0.0190677	0.023741	0.00832223	0.0193231	0.0128871	0.0178573	0.0222072	0.0477257	0.0629402	0.101002	0.142412
était	0.0986564	0.0781024	0.044147	0.0501954	0.042688	0.0354952	0.0218699	0.0241507	0.015725	0.0104208	0.0115776	0.00745793	0.00496528	0.00718783	0.00847591	0.00972151	0.0182174	0.0203867	0.0247816	0.0222428	0.0198346	0.0145694	0.0217426	0.00802626	0.015886	0.0120567	0.0136612	0.0193263	0.0518552	0.072553	0.0945436	0.0994797
pas	0.0458525	0.0398843	0.0264106	0.024366	0.0166669	0.0113616	0.0135628	0.0088728	0.0104407	0.00898017	0.00975787	0.0133737	0.00928587	0.0139118	0.0187556	0.023637	0.0179738	0.0172873	0.0139622	0.0239688	0.01859	0.0242162	0.0355005	0.0344423	0.0405042	0.0293508	0.0491942	0.0442734	0.0616018	0.0880544	0.0847559	0.121204
conforme	0.0893922	0.0582701	0.0346054	0.0431292	0.0341959	0.0287274	0.0202645	0.0182183	0.0166948	0.0115397	0.0119557	0.0134148	0.0063987	0.0114621	0.00830376	0.0155795	0.0096734	0.016838	0.0149171	0.0310104	0.0216442	0.0279375	0.0260745	0.0113241	0.0190607	0.0220037	0.0320394	0.0362355	0.0558703	0.0743101	0.0755588	0.10335
</S>	0.10398	0.0700648	0.0389924	0.0551579	0.0500515	0.0337597	0.0147519	0.0134969	0.0149801	0.0135328	0.0104901	0.00449324	0.0025526	0.00402232	0.00478083	0.00655865	0.0106206	0.00895277	0.00708267	0.0124606	0.00816629	0.0128927	0.027165	0.00750413	0.014906	0.0114372	0.0174603	0.0304448	0.051623	0.0708449	0.100637	0.166136
