 	e	k	á	m	b	í	s	í	l	í	y	é	é	k	á	m	b	í	s	í	b	á	a	m	ú	b	h	u	s	á	n	d	é	e	é	p	έ	ε	n	g	á	l	e	t	ω	t	ω	ω	</S>
la	0.00933078	0.0129894	0.0149024	0.0100742	0.00771746	0.00669256	0.00821475	0.0110569	0.0102262	0.0133753	0.0295139	0.0438915	0.0444833	0.0560374	0.0606226	0.0451815	0.0299236	0.0280568	0.0187663	0.0221067	0.0317031	0.0327077	0.0497294	0.0281942	0.0176786	0.011663	0.0133616	0.00807877	0.0139406	0.0119677	0.0156877	0.0143782	0.0159564	0.0116106	0.0113442	0.0118276	0.010521	0.0133154	0.0122821	0.0188232	0.0147148	0.0206607	0.0157681	0.0163572	0.0131046	0.0214311	0.0205247	0.0210675	0.0184367
manière	0.00913056	0.0142362	0.0352914	0.0226431	0.016488	0.0140841	0.0284004	0.0182771	0.0210606	0.0178847	0.0323156	0.0570161	0.0723948	0.0440177	0.0616795	0.0806849	0.036922	0.0526054	0.0445905	0.0359732	0.0326756	0.0299521	0.0774312	0.0179146	0.0253036	0.0105194	0.00375154	0.00304274	0.00196216	0.00328795	0.00354444	0.00149971	0.00216506	0.00147868	0.000972926	0.00189833	0.0045436	0.00555457	0.00552471	0.00484198	0.00397768	0.00675742	0.0115984	0.00728647	0.00659861	0.00377989	0.00427008	0.0014303	0.000740411
dont	0.079992	0.0326009	0.0200745	0.00883127	0.0108648	0.00839432	0.0105683	0.00866141	0.00516695	0.00414741	0.00610584	0.00753981	0.00883814	0.0122813	0.0162232	0.0288636	0.0306033	0.0268557	0.0616616	0.0297983	0.0449763	0.0576239	0.0799481	0.0587738	0.036174	0.0270789	0.0216004	0.0181149	0.00939749	0.0104986	0.0123108	0.0148533	0.0141048	0.0177595	0.0154202	0.0155895	0.0166643	0.0163887	0.0209353	0.0116968	0.00734921	0.0105286	0.0111772	0.00806561	0.00805766	0.00474778	0.00428139	0.00282757	0.00498282
il	0.0498749	0.0485265	0.0347784	0.0404509	0.032155	0.0229416	0.0161504	0.0152222	0.00642207	0.00785459	0.00851168	0.00975248	0.014423	0.011861	0.0206603	0.00880762	0.00932992	0.0128921	0.016374	0.0145018	0.015217	0.0469242	0.101366	0.100398	0.0734614	0.0282506	0.0328072	0.017639	0.0178785	0.0104003	0.0194902	0.0185533	0.0108448	0.00986327	0.00703474	0.00813288	0.00882872	0.00651788	0.00474389	0.00708102	0.00316836	0.00290223	0.00310147	0.00282708	0.00211356	0.00242276	0.00414198	0.00466011	0.0277386
ont	0.0398755	0.0311529	0.0286199	0.0312869	0.0281002	0.0250456	0.017646	0.0181697	0.0110467	0.0104693	0.00394756	0.00369611	0.00411805	0.00664353	0.0121707	0.0143486	0.0186666	0.0150714	0.0355361	0.0196236	0.0251924	0.057928	0.0750193	0.0700927	0.0490386	0.0395081	0.0447285	0.0303247	0.0224259	0.0208422	0.045115	0.0226067	0.0147071	0.0104964	0.0151453	0.0105556	0.0079695	0.00473981	0.00469135	0.00471523	0.00256265	0.00419929	0.0038439	0.00273693	0.00319464	0.00324512	0.00581424	0.00502531	0.0183005
surpris	0.0220803	0.0234815	0.0316752	0.0381038	0.0373784	0.0301503	0.0188616	0.0197528	0.0131915	0.00963662	0.0115626	0.0102266	0.00849126	0.0103755	0.0110834	0.0210485	0.0220337	0.0134292	0.040294	0.0141933	0.0194867	0.0260661	0.0526592	0.0348261	0.0426015	0.0307335	0.0269881	0.0306458	0.0205406	0.0226534	0.0407275	0.0216828	0.0276995	0.0142717	0.0250936	0.0215071	0.0172052	0.0114957	0.0118771	0.00803345	0.00404943	0.00500284	0.00417528	0.0037	0.0044023	0.00493997	0.0106226	0.00673002	0.042533
le	0.0279125	0.0185647	0.0107512	0.00734398	0.00927675	0.00895841	0.0124333	0.0129438	0.0125725	0.00770419	0.00583651	0.00628345	0.00754116	0.00632944	0.00747895	0.00562778	0.00637715	0.00817032	0.0149383	0.0141907	0.0114923	0.0169409	0.0175983	0.0280685	0.0247448	0.0255209	0.0365426	0.0318833	0.0333913	0.0356788	0.0397566	0.0253232	0.0292232	0.0282149	0.0318016	0.0351805	0.0328213	0.0279362	0.0245826	0.0243882	0.0258182	0.0302128	0.0198466	0.0234803	0.0254321	0.0240194	0.0222257	0.0247077	0.0319321
voleur	0.0343461	0.0250746	0.0240724	0.0217512	0.0138352	0.0102652	0.00888216	0.00958722	0.00921755	0.00961596	0.00935017	0.0104236	0.00971898	0.0109973	0.0106054	0.0151237	0.0165293	0.00971744	0.0157039	0.0119748	0.00947882	0.0124981	0.0175771	0.019041	0.0186707	0.0175971	0.0149591	0.0160879	0.015571	0.0224622	0.0168897	0.013823	0.0231172	0.0238825	0.022453	0.0173458	0.0171164	0.0208716	0.0381727	0.0210881	0.0201249	0.0300003	0.0256286	0.0200201	0.0255079	0.0388696	0.0437091	0.0311258	0.0995185
dans	0.0217249	0.0221011	0.0222588	0.0197414	0.0176223	0.0219111	0.019311	0.020655	0.0136664	0.0102161	0.00599025	0.00515443	0.00574621	0.00586985	0.00507064	0.00523202	0.00529996	0.0035449	0.0078719	0.00395628	0.00482697	0.00687039	0.0089394	0.0106694	0.0113724	0.00914972	0.0119139	0.0118305	0.0142159	0.0195217	0.029722	0.0261538	0.021468	0.0340416	0.034134	0.0370212	0.0542273	0.0346964	0.023929	0.0184066	0.0236168	0.0121661	0.0129049	0.0278483	0.0318602	0.0322089	0.0327805	0.033478	0.127082
la	0.0534146	0.0428693	0.0291576	0.0236894	0.0185836	0.0153816	0.0133006	0.0104785	0.0103986	0.0126556	0.0116386	0.0082796	0.00565005	0.00635668	0.00498109	0.00612347	0.00726365	0.00881158	0.0146113	0.00753118	0.00842818	0.0108451	0.0167901	0.0132499	0.0130334	0.0106742	0.0102676	0.011592	0.0153232	0.0138846	0.0142463	0.0119434	0.0115671	0.0164682	0.0151512	0.0186405	0.024858	0.0215881	0.0172127	0.0205083	0.0280401	0.0218587	0.0191134	0.0267476	0.0311911	0.0355877	0.0514518	0.0565096	0.122051
