 	w	á	á	o	d	i	m	í	a	w	é	a	k	ú	l	ú	p	á	n	g	e	l	e	t	a	a	w	á	á	l	e	k	a	n	í	o	t	é	m	a	b	e	a	b	á	b	á	n	a	</S>
si	0.103546	0.139666	0.146636	0.0433822	0.029604	0.0275467	0.0203933	0.0107465	0.012695	0.0147141	0.0134289	0.0127809	0.0144775	0.0203137	0.0279054	0.0196825	0.0171726	0.0253202	0.0202996	0.0116564	0.0080133	0.00382108	0.00593199	0.00742881	0.00764021	0.00544804	0.00835703	0.00322087	0.00390289	0.00260815	0.00251513	0.00304067	0.00569126	0.00414827	0.00620489	0.00440206	0.00742292	0.00928811	0.0130082	0.0168356	0.0157673	0.0180879	0.0121393	0.0137039	0.0154511	0.0171292	0.0124605	0.0176115	0.00861563	0.00813714
un	0.127125	0.0773164	0.0592726	0.0378053	0.0181313	0.0172037	0.0358072	0.0155012	0.0176606	0.0216196	0.0382823	0.02886	0.0279302	0.0320228	0.0459398	0.0483856	0.0422106	0.0446224	0.0520189	0.0256568	0.0267764	0.00941397	0.00740736	0.00647351	0.00933597	0.0040026	0.00438006	0.00467767	0.00482571	0.0048247	0.00370832	0.00366172	0.00152457	0.0019416	0.00261122	0.0016172	0.00108632	0.00109134	0.00218817	0.00188047	0.00233278	0.00449418	0.00449865	0.0045948	0.00727648	0.00699527	0.00979328	0.0185273	0.0102224	0.014464
cadet	0.0352861	0.0215385	0.0195112	0.0158569	0.0131104	0.010963	0.0119042	0.00993523	0.0127084	0.0178639	0.0106828	0.0241736	0.0160782	0.020731	0.0251969	0.0141714	0.0168184	0.0156901	0.0233707	0.0224157	0.0266855	0.014779	0.0521764	0.0865391	0.040742	0.0277374	0.0167632	0.0177476	0.00493368	0.00515838	0.0093362	0.014393	0.0165715	0.0127983	0.0119769	0.0150525	0.0154915	0.0116411	0.0324623	0.0277437	0.0374111	0.0273725	0.0325632	0.029491	0.0118334	0.010155	0.0107253	0.0122586	0.00590361	0.00355049
meurt	0.0116808	0.0126732	0.00910799	0.020725	0.0201966	0.0281544	0.0205065	0.0135434	0.0200103	0.0234589	0.0184434	0.0247916	0.0197279	0.0112545	0.0242011	0.0180268	0.0212596	0.0205318	0.0196082	0.0217472	0.0282236	0.0247914	0.0246956	0.0333502	0.0294393	0.0398085	0.0148802	0.0256726	0.00881585	0.0082507	0.00957576	0.0123103	0.0129947	0.0122877	0.0111503	0.0145477	0.0134916	0.0119885	0.025024	0.0479693	0.0444539	0.0177611	0.0157639	0.0155198	0.0186385	0.0180345	0.0185375	0.0136518	0.0129644	0.0357577
et	0.00856984	0.0126325	0.0136307	0.0114079	0.0141624	0.0133301	0.0217468	0.0239461	0.0256017	0.0278118	0.0304212	0.0302402	0.0272132	0.0361499	0.0344686	0.0242545	0.0260119	0.0328309	0.0259565	0.0333207	0.0342263	0.0433579	0.0282555	0.029439	0.0267471	0.0242834	0.0151168	0.011521	0.00504312	0.00824569	0.00856997	0.0135583	0.0097165	0.00788371	0.0144097	0.0162292	0.0227628	0.0235265	0.0413246	0.0339349	0.018554	0.00503377	0.0101118	0.00525153	0.0081922	0.00745425	0.0134979	0.0154565	0.00725992	0.0173287
laisse	0.00703786	0.0104366	0.00937495	0.0102334	0.0127874	0.0123603	0.0156195	0.0187017	0.0183899	0.0184339	0.0139768	0.0175932	0.0085763	0.00993317	0.0120221	0.00652845	0.0071861	0.00847773	0.00780778	0.0111267	0.0141497	0.0214066	0.03492	0.0645115	0.055217	0.0400239	0.0307769	0.0146135	0.0128941	0.00771189	0.0112197	0.0123496	0.0219315	0.0174144	0.0216523	0.0235593	0.0278782	0.0215666	0.0292328	0.0216767	0.0162962	0.0247115	0.023657	0.023058	0.0148612	0.0189817	0.0176867	0.0158608	0.0237977	0.0797789
des	0.00958323	0.0108271	0.00693241	0.0126794	0.0117558	0.0110765	0.012727	0.0142148	0.0146531	0.0139406	0.0156094	0.0174788	0.00838467	0.0116321	0.0138065	0.00797468	0.00880131	0.00981526	0.00869062	0.0101388	0.0146547	0.0175843	0.0275575	0.0424988	0.0446839	0.046238	0.0310799	0.0222693	0.0183244	0.0116502	0.0152441	0.0198099	0.0325458	0.0210185	0.0307115	0.028185	0.0463764	0.0449983	0.0295914	0.016007	0.0099184	0.0121331	0.0118904	0.0111358	0.00685216	0.0118954	0.0141169	0.0168582	0.025315	0.0881336
parcelles	0.0131613	0.0166401	0.00976348	0.0163318	0.0150592	0.0135301	0.0199456	0.0150775	0.0138305	0.0108806	0.00814787	0.00931915	0.00856263	0.00824257	0.010406	0.008406	0.00868959	0.0075204	0.00797723	0.00884111	0.0109688	0.0120988	0.0139131	0.0218945	0.023597	0.0288268	0.0195652	0.0220337	0.0360752	0.0275279	0.0303017	0.0366024	0.0371289	0.033056	0.0455887	0.0251315	0.0357436	0.0403544	0.0235674	0.00542199	0.00502922	0.00718042	0.0132988	0.0113851	0.00909967	0.0144027	0.028235	0.0437478	0.0311386	0.0767521
il	0.0250451	0.0371272	0.0127453	0.0123342	0.0153409	0.0127347	0.0137769	0.0145149	0.0116	0.01082	0.00795173	0.00710791	0.00714912	0.00415258	0.0103109	0.00812858	0.0082316	0.00817851	0.00837975	0.0121728	0.0123044	0.0142081	0.014442	0.0259805	0.0179834	0.0176711	0.0191188	0.0143578	0.0130191	0.00998475	0.0128423	0.014131	0.0277923	0.017575	0.0395753	0.0225109	0.0320471	0.0323751	0.0351289	0.0275553	0.0240051	0.0378111	0.041862	0.0267415	0.0309248	0.0331636	0.0275702	0.0363443	0.0258913	0.0472806
ne	0.0214354	0.0144764	0.0106027	0.0119524	0.0132104	0.00839103	0.00846697	0.00755657	0.0051323	0.00513601	0.00412252	0.00486311	0.00537691	0.00475351	0.00771838	0.00744262	0.00761001	0.00738346	0.0069768	0.00874703	0.0100701	0.0126495	0.0131252	0.01734	0.0125145	0.0168577	0.0302767	0.0187744	0.0233924	0.0273433	0.0280458	0.0240266	0.0429671	0.0284953	0.0390148	0.0332695	0.030853	0.0296239	0.0329817	0.0241019	0.0191624	0.0214829	0.0389833	0.0285564	0.0342834	0.0329626	0.0410154	0.0396496	0.0372853	0.0395409
