 	á	p	í	m	b	i	w	á	e	n	g	í	r	i	i	y	ó	t	á	s	í	b	o	ó	</S>
on	0.270204	0.238031	0.150551	0.0462565	0.0213529	0.0138952	0.0100041	0.0142028	0.0261752	0.0117944	0.0145037	0.0181414	0.0266629	0.0223154	0.0205292	0.023278	0.0124099	0.0140703	0.0103183	0.012055	0.0073771	0.00427038	0.00360292	0.00367037	0.00432826
lui	0.0460713	0.0522935	0.06936	0.0714906	0.0702365	0.0647964	0.0525573	0.0434871	0.07608	0.0611552	0.0501522	0.0547676	0.0593035	0.0356532	0.0249837	0.0220512	0.0175958	0.0209721	0.0133935	0.024512	0.0279454	0.0117971	0.0100302	0.00963225	0.0096824
a	0.034155	0.0324737	0.0379232	0.0277909	0.0367549	0.051365	0.0387687	0.0271525	0.0227817	0.0357403	0.0438586	0.0494282	0.0672259	0.0648565	0.062652	0.0618789	0.0778001	0.0421357	0.0383895	0.0330186	0.0235695	0.0199345	0.0248435	0.0274717	0.018031
donné	0.0187528	0.0209213	0.019749	0.0209736	0.015784	0.0155967	0.0139821	0.0111233	0.0155542	0.0306857	0.0358586	0.0416238	0.0704022	0.053545	0.0395073	0.0714364	0.0845502	0.0597971	0.0643866	0.0567149	0.0382174	0.0414669	0.0444115	0.0523981	0.0625614
un	0.010861	0.00865536	0.00829881	0.00908812	0.00990784	0.0100045	0.00841249	0.0164134	0.0139531	0.0166055	0.023262	0.0455392	0.0423364	0.0374073	0.0221177	0.0200413	0.0424201	0.0380342	0.0680027	0.0631878	0.0880373	0.0772844	0.102711	0.112528	0.10489
coup	0.011297	0.0106828	0.0117452	0.0146588	0.0149154	0.0158898	0.0128617	0.0150284	0.0200465	0.0187462	0.0254876	0.0334944	0.0305459	0.0288632	0.0215773	0.0396725	0.0351919	0.0439336	0.0368552	0.0634026	0.073966	0.0769295	0.101475	0.108353	0.13438
de	0.0101389	0.00945137	0.00999962	0.0123339	0.0145967	0.016563	0.0150294	0.0163965	0.0170066	0.0182156	0.0216728	0.0271688	0.0409124	0.0460175	0.0399961	0.0510943	0.0564903	0.0596186	0.0538875	0.0809126	0.0971826	0.0856482	0.0703097	0.0522162	0.0771408
crosse	0.0191817	0.024018	0.0256718	0.024559	0.023556	0.0219898	0.0150803	0.0170057	0.0163279	0.0160534	0.0167041	0.0177857	0.0189695	0.0247616	0.0239418	0.0224012	0.0300515	0.0567332	0.056217	0.0859104	0.0853634	0.0807211	0.0803562	0.0710705	0.125569
à	0.0128173	0.0148096	0.0146077	0.0120912	0.0114594	0.0109866	0.0105026	0.0104597	0.0108679	0.0108663	0.011332	0.0128753	0.0187642	0.0186084	0.021473	0.0171973	0.0275711	0.0408365	0.0547643	0.112408	0.109469	0.0876554	0.0927695	0.0787896	0.176018
la	0.0352152	0.0326824	0.0330523	0.032866	0.0249544	0.014555	0.01004	0.0106385	0.00858347	0.0094278	0.0123656	0.0136948	0.0161545	0.0163659	0.0169246	0.0168789	0.0181738	0.0333467	0.0431841	0.0636435	0.0789252	0.0952475	0.109895	0.122039	0.131146
tête	0.0216496	0.0180566	0.019285	0.0174609	0.0155662	0.00988975	0.00853032	0.0089162	0.0100724	0.0143525	0.0177858	0.02157	0.0367495	0.0397332	0.040368	0.0406188	0.0411041	0.0587196	0.0526643	0.0670526	0.0629157	0.0707907	0.0890267	0.106084	0.111037
</S>	0.0220421	0.0304803	0.0234643	0.0185521	0.0161219	0.0158946	0.0152136	0.0139903	0.0161631	0.0141861	0.0155101	0.0219129	0.0288001	0.0314253	0.0757506	0.040041	0.0634684	0.0811068	0.0781587	0.0881417	0.0647246	0.044167	0.044897	0.0423342	0.0934532
