 	w	a	a	d	i	b	í	n	í	í	s	á	n	d	é	e	t	s	í	n	a	m	á	l	ω	i	</S>
il	0.0498925	0.362094	0.252495	0.157153	0.0458928	0.0167971	0.0217089	0.0238283	0.0385525	0.0119424	0.0048684	0.00185142	0.00106754	0.00100446	0.000950511	0.000864888	0.000920763	0.000882618	0.000906764	0.00093023	0.00085973	0.000845155	0.000833115	0.000820833	0.000796848	0.000739986	0.000501343
est	0.0172457	0.0176243	0.0278949	0.0382845	0.043688	0.0563703	0.124666	0.127356	0.140026	0.0834589	0.0580604	0.0396025	0.01997	0.0196586	0.0244514	0.0215709	0.0195581	0.0203217	0.0112687	0.0161022	0.0187159	0.00812832	0.00612378	0.00922839	0.00821289	0.00857713	0.0138351
couché	0.0225677	0.0226114	0.0232369	0.0256559	0.0264525	0.0383822	0.0416624	0.0364913	0.0421255	0.0508956	0.063062	0.0580653	0.0451718	0.0878897	0.0420863	0.0428884	0.0342577	0.0266821	0.0234862	0.0286356	0.026802	0.0264776	0.0342463	0.036694	0.0316939	0.026002	0.0357779
dans	0.00949433	0.0116924	0.0134467	0.0156268	0.0176055	0.0126174	0.0113173	0.00752363	0.00796999	0.0071361	0.0105643	0.0117741	0.0157697	0.0250804	0.0419108	0.0829918	0.0728791	0.0594991	0.0790589	0.0565348	0.0604427	0.0644398	0.0710478	0.0504885	0.0762121	0.062925	0.0439508
la	0.00230855	0.00334272	0.00332452	0.00488993	0.00429494	0.00667864	0.00613777	0.00543627	0.00381482	0.00291284	0.00352592	0.00498081	0.0130907	0.0246858	0.0418773	0.0543771	0.0505847	0.0607462	0.0975998	0.0899601	0.0892528	0.0900147	0.0874683	0.0631928	0.0752937	0.0693187	0.0408897
maison	0.0039108	0.0042847	0.00536049	0.0050169	0.00400075	0.00548541	0.00414314	0.00345443	0.0037787	0.00253255	0.00500423	0.0136996	0.0270277	0.0392056	0.0525094	0.0649529	0.0720951	0.083804	0.109673	0.0971485	0.0905948	0.0780325	0.061983	0.0488993	0.0416874	0.035777	0.0359383
sous	0.00653831	0.00575258	0.00697207	0.00694724	0.00658383	0.00979513	0.0102864	0.0102049	0.0108603	0.00958781	0.0119636	0.0184594	0.0253428	0.0269567	0.0404469	0.0514656	0.0394738	0.0524655	0.0749693	0.0862271	0.0903554	0.0880429	0.0710506	0.0658107	0.053854	0.0542586	0.0653286
l'	0.022129	0.0268685	0.0285956	0.0400584	0.0343518	0.0590938	0.0580496	0.0643877	0.0463849	0.0261508	0.0246897	0.0222484	0.0156348	0.0153131	0.0175867	0.0256156	0.0281647	0.0363435	0.0501719	0.0419614	0.0409433	0.0377696	0.047246	0.0415923	0.0440054	0.0387877	0.0658557
effet	0.0196819	0.0185186	0.011334	0.0164223	0.0213955	0.0208161	0.0134044	0.0118082	0.0145013	0.013785	0.0163842	0.022155	0.0354602	0.0268623	0.0352698	0.0248229	0.0205686	0.0215797	0.0270431	0.0356901	0.0329676	0.0442916	0.068064	0.0786437	0.112506	0.104948	0.131076
du	0.0179565	0.0122785	0.0107582	0.0145568	0.023819	0.0145409	0.020374	0.0179056	0.0223658	0.0227468	0.0358341	0.0402094	0.0298348	0.0118365	0.0122174	0.0144022	0.0144347	0.0198214	0.0175061	0.0196063	0.0288225	0.0399804	0.048912	0.0607149	0.128374	0.128075	0.172117
vin	0.0178611	0.0182005	0.0105843	0.01848	0.0259131	0.019018	0.0120312	0.00989244	0.0113521	0.00884841	0.0117596	0.0232544	0.0444281	0.03285	0.0431326	0.0247247	0.0213807	0.0221296	0.0264376	0.0308155	0.0292136	0.0415098	0.061572	0.0799095	0.112505	0.112293	0.129903
</S>	0.0260682	0.022056	0.0202457	0.0237805	0.0328784	0.023417	0.0327265	0.0268781	0.0397127	0.0432336	0.0593972	0.0690234	0.0303639	0.00904242	0.0105271	0.010367	0.0107916	0.0117751	0.0181331	0.0146117	0.0256129	0.0247148	0.0271432	0.0339516	0.0604497	0.0598439	0.233255
