 	b	á	a	b	á	a	k	a	n	á	p	f	ú	u	l	ú	y	á	l	ώ	s	ω	m	í	b	o	l	o	</S>
ils	0.0714005	0.0913785	0.154228	0.146531	0.0730245	0.0644071	0.0400705	0.0354772	0.0214528	0.0350794	0.0318679	0.0231297	0.0284765	0.0168067	0.0192838	0.0181192	0.0142821	0.0137526	0.0235052	0.0137096	0.0154103	0.00956411	0.00518594	0.00543974	0.0069025	0.00520861	0.00587377	0.0048803	0.00555138
font	0.00729138	0.00826986	0.0128699	0.0130583	0.00853932	0.025462	0.0334801	0.0443037	0.0743054	0.088907	0.0905525	0.0889385	0.103699	0.0797538	0.0843408	0.0777636	0.0488572	0.0212208	0.0205157	0.0142624	0.0145871	0.00684087	0.00696495	0.00515282	0.00715099	0.00406947	0.00353949	0.00291753	0.00238571
une	0.0464585	0.0396299	0.0367424	0.0434923	0.0247956	0.0431338	0.0419761	0.0534068	0.0546559	0.0714946	0.0499109	0.038641	0.0397852	0.0353592	0.0350263	0.0340649	0.0325262	0.0251641	0.0226842	0.0176462	0.0253737	0.0216654	0.0277157	0.0232304	0.0253825	0.0198813	0.0201412	0.0321246	0.0178912
botte	0.0234057	0.032745	0.0301867	0.0277327	0.0246192	0.0395356	0.0385796	0.0406148	0.0302007	0.0352465	0.0271877	0.035817	0.0433029	0.0389098	0.0325198	0.0387811	0.0352964	0.0393649	0.0357835	0.0393292	0.0393314	0.034343	0.0287573	0.0319418	0.0335742	0.0421291	0.0324251	0.0306496	0.0376897
avec	0.0181994	0.0111406	0.0101317	0.00990489	0.013479	0.0193119	0.0384045	0.0462116	0.0498893	0.0507449	0.0485673	0.0424793	0.0368652	0.0406866	0.0382553	0.0353989	0.0307678	0.0285954	0.0238761	0.035729	0.0396182	0.031928	0.0240827	0.0256994	0.0261609	0.0294104	0.0395469	0.0640054	0.0909092
la	0.0225291	0.0205996	0.0192648	0.0255612	0.0167453	0.0200849	0.023915	0.0228318	0.0321844	0.0274622	0.0251236	0.028565	0.0313165	0.0394205	0.0365155	0.0328519	0.0297671	0.0304483	0.0295719	0.0311322	0.0501413	0.0481591	0.0544593	0.052788	0.0556575	0.0355405	0.0466682	0.0617763	0.0489189
paille	0.0113022	0.00986311	0.00955679	0.00966359	0.00939283	0.0103774	0.0133422	0.0154007	0.0297184	0.0271606	0.0304291	0.0459826	0.0659068	0.0765157	0.0659171	0.0508576	0.0373529	0.0274757	0.0305627	0.0415375	0.0340876	0.0415516	0.0396868	0.0415661	0.0374869	0.0378318	0.03857	0.044356	0.0665476
de	0.0118728	0.0143708	0.01208	0.0133847	0.00962734	0.0138683	0.0190183	0.017044	0.025088	0.0234498	0.0332756	0.0565138	0.0679773	0.0799945	0.0524974	0.0520803	0.0327536	0.0303417	0.022333	0.0274957	0.0204755	0.03115	0.0349097	0.0414749	0.033772	0.0453449	0.0330712	0.058646	0.0860888
riz	0.0223256	0.0220595	0.0175773	0.0192134	0.0195306	0.0220865	0.0218667	0.0201326	0.0210761	0.0259414	0.0211636	0.0202884	0.021695	0.0212153	0.0187567	0.0199442	0.0159163	0.0190572	0.0214991	0.0290248	0.0288088	0.0442389	0.0534031	0.067088	0.0736031	0.0819597	0.0686658	0.0819452	0.0799171
</S>	0.0318917	0.0167492	0.0129351	0.013133	0.0184104	0.0324701	0.0213401	0.0229784	0.0221438	0.0262386	0.0264775	0.0140057	0.0149463	0.0160295	0.0135389	0.0142308	0.0147813	0.0181598	0.0177674	0.032417	0.0216302	0.025698	0.0520043	0.0491691	0.0554774	0.0838734	0.0856376	0.102369	0.123497
