 	e	k	w	a	n	y	í	l	í	y	é	é	k	w	a	n	y	í	w	a	n	g	á	n	d	z	ώ	n	d	z	i	é	d	z	e	e	s	i	s	i	i	</S>
la	0.010774	0.0100525	0.01591	0.026808	0.026361	0.0229321	0.0217706	0.0224565	0.0243519	0.039203	0.0465423	0.0499098	0.0445364	0.0342979	0.0153917	0.0117264	0.0450173	0.0119736	0.0106152	0.0147929	0.0270541	0.0175978	0.0070139	0.00664803	0.00735095	0.00780157	0.00941928	0.00874717	0.00902041	0.0114943	0.0154978	0.0286686	0.0462333	0.0520949	0.0385562	0.0362874	0.0311217	0.0269463	0.0316013	0.0324713	0.0245935	0.018357
manière	0.0249126	0.0847513	0.107531	0.141763	0.0902268	0.0535716	0.0282746	0.0177997	0.0136452	0.0123177	0.00526447	0.0114264	0.0082633	0.00612621	0.00847908	0.0141722	0.0618976	0.0477051	0.0361871	0.0502761	0.0471267	0.0168271	0.0138378	0.014144	0.0153474	0.00733519	0.00979337	0.00721056	0.00654025	0.00520568	0.00346911	0.00219331	0.00103288	0.0028633	0.000845386	0.00086261	0.00508952	0.00873369	0.00208311	0.00202634	0.00169213	0.00114892
dont	0.141779	0.100373	0.032529	0.0416992	0.0214383	0.0557939	0.0100922	0.00771952	0.00431132	0.00591893	0.00695759	0.0135538	0.0155536	0.0340315	0.028897	0.0360501	0.0309713	0.0457358	0.0361891	0.0256723	0.0163189	0.0243078	0.01658	0.0116772	0.0148369	0.0124413	0.0308357	0.0154448	0.0254522	0.0124114	0.0203558	0.0105292	0.00657682	0.0101441	0.00553675	0.00438617	0.00720201	0.00841148	0.00632682	0.00689499	0.013598	0.0244657
elle	0.0192199	0.0198606	0.0137952	0.024388	0.0188141	0.0215625	0.0168134	0.0099245	0.00800308	0.0109561	0.0120668	0.00942715	0.00755516	0.0076974	0.0089229	0.0325792	0.140279	0.0481145	0.0193641	0.052949	0.0695994	0.0341412	0.0226589	0.0158816	0.0153534	0.0130147	0.0188962	0.0252935	0.020469	0.0145012	0.0189972	0.020456	0.0101359	0.00994583	0.0120256	0.0217409	0.0135384	0.0134627	0.0166204	0.0194419	0.0269215	0.0646121
m'	0.0251649	0.0169775	0.0209392	0.0206012	0.01339	0.0153189	0.00997478	0.00759854	0.00668767	0.0127933	0.0136168	0.0171325	0.0170567	0.0128467	0.016379	0.0237844	0.050614	0.0623719	0.0332964	0.0763657	0.0513745	0.054229	0.0537674	0.02837	0.0315977	0.0297496	0.0253704	0.0221462	0.0298142	0.0199688	0.0266206	0.0132727	0.00685987	0.00824491	0.00991523	0.0161429	0.0130112	0.0139387	0.0134858	0.018254	0.0146226	0.0263337
a	0.0318417	0.0324558	0.0388116	0.0463222	0.0317293	0.0401945	0.0374265	0.0310035	0.0214529	0.0269448	0.0167527	0.0172661	0.0192612	0.00631588	0.00642654	0.00777249	0.0188727	0.0342194	0.00982694	0.0424755	0.0316528	0.0620405	0.0325239	0.0208643	0.0251122	0.020509	0.0323225	0.0231899	0.0263605	0.0109673	0.0167152	0.00762905	0.00474634	0.00705469	0.00663255	0.0095227	0.00906353	0.0146843	0.0131231	0.0195864	0.0301456	0.0581815
griffé	0.0497193	0.0327636	0.0436559	0.047941	0.0140212	0.0180737	0.0164932	0.0236031	0.020153	0.0133154	0.0113724	0.0110242	0.0140076	0.00830431	0.00672692	0.0107601	0.0128737	0.0135568	0.00936344	0.0210366	0.0145752	0.0269155	0.0238331	0.0268673	0.0319178	0.0186847	0.0319957	0.0242231	0.0357021	0.0234482	0.0214179	0.0152072	0.00763678	0.0179132	0.0155286	0.0291182	0.0191298	0.0425457	0.0233722	0.0332556	0.0355923	0.0823545
était	0.104148	0.0609213	0.0751275	0.0762548	0.0244796	0.0322696	0.0385173	0.0537661	0.0417822	0.017297	0.0136062	0.0101287	0.0107483	0.00739468	0.00412599	0.00467326	0.00601953	0.0125515	0.00562481	0.0155254	0.0135234	0.0262033	0.0110547	0.011516	0.0136561	0.00853893	0.0149362	0.0134134	0.0104556	0.00646769	0.00525155	0.00350422	0.00164409	0.00324437	0.00397827	0.00576955	0.00892054	0.0259366	0.0165139	0.024441	0.0291133	0.126956
brusque	0.0253678	0.038324	0.0365352	0.0328786	0.0337999	0.0197823	0.0219423	0.0170976	0.0155957	0.0125048	0.00938492	0.00992549	0.0153635	0.00827357	0.00948901	0.014762	0.0195827	0.0201847	0.0161211	0.0279618	0.0187201	0.0285112	0.0312455	0.0282929	0.0233022	0.0245988	0.0340789	0.0186855	0.0140285	0.0106737	0.0155752	0.00995847	0.00811694	0.0132459	0.0131408	0.0117876	0.0219688	0.0318215	0.0319905	0.0360424	0.0504191	0.118918
</S>	0.026211	0.0413673	0.0215697	0.0239602	0.0172381	0.0135871	0.0150181	0.0165131	0.017888	0.0136272	0.0124892	0.011447	0.0130861	0.0168396	0.00991642	0.0116981	0.0143877	0.0210259	0.00924541	0.0331776	0.0160248	0.0295498	0.0374262	0.0388991	0.0252176	0.0321704	0.0517553	0.0434026	0.0256401	0.0154654	0.0165741	0.00858262	0.00702031	0.00822178	0.0116987	0.0106246	0.0121548	0.0196704	0.031762	0.033139	0.0372459	0.127462
