 	s	á	b	í	n	í	á	b	a	á	o	k	ώ	b	h	i	o	b	o	s	ó	n	d	a	</S>
de	0.0174141	0.0610322	0.0578974	0.0225297	0.0529479	0.061735	0.0482112	0.0428682	0.0495967	0.0352652	0.0349989	0.028794	0.0508658	0.0482641	0.0551558	0.0449985	0.0209401	0.0206105	0.0214944	0.0314283	0.0417479	0.0428163	0.0366671	0.0474916	0.0242293
vous	0.0997775	0.0665806	0.0817604	0.0240514	0.0177906	0.0144118	0.019043	0.033205	0.0249834	0.0194089	0.0213665	0.00571782	0.00490315	0.00478321	0.00780855	0.0196964	0.0852416	0.151239	0.0946001	0.0489305	0.035429	0.0471041	0.0308142	0.017238	0.0241151
deux	0.069686	0.0490417	0.0479457	0.0291905	0.0324353	0.0314427	0.0514571	0.0434637	0.0446703	0.0471369	0.0348505	0.0482053	0.0177866	0.0227116	0.0336277	0.0547055	0.0535946	0.0683264	0.0362206	0.0272229	0.0385541	0.031118	0.0326036	0.0262786	0.0277241
qui	0.0659695	0.0372964	0.0341959	0.025786	0.00906893	0.014012	0.00969816	0.0102209	0.0102813	0.0173206	0.0263556	0.0335372	0.041033	0.0344148	0.0351127	0.0553744	0.131418	0.115572	0.0675132	0.0419924	0.0548251	0.0427997	0.0307671	0.022004	0.0334311
se	0.0207239	0.0174211	0.0150498	0.018157	0.0290699	0.0285378	0.0359217	0.0434411	0.0408499	0.042827	0.0411332	0.0504904	0.0518316	0.0583128	0.042011	0.0391442	0.0640986	0.0689226	0.0458376	0.0424444	0.0388922	0.0353334	0.0333238	0.037254	0.058971
fatigue	0.0597178	0.0633242	0.0684948	0.0546984	0.0327951	0.0384469	0.0275122	0.0392893	0.0449144	0.054504	0.0469773	0.0292041	0.0514802	0.0352809	0.0216907	0.0185447	0.0434893	0.027873	0.0199739	0.0299468	0.0291094	0.0215957	0.0265515	0.0378414	0.076744
avant	0.0832865	0.0488308	0.0546395	0.0621129	0.057338	0.0555924	0.0562498	0.0647849	0.0718657	0.0773408	0.0697117	0.0641465	0.0273933	0.0167413	0.0145708	0.0114556	0.0198031	0.0175183	0.0204777	0.0149961	0.0155223	0.00986331	0.00914149	0.017592	0.0390251
l'	0.0259396	0.0172551	0.0155763	0.029046	0.0247101	0.0330058	0.0237476	0.0297215	0.0352439	0.0552579	0.0438376	0.0213505	0.0438862	0.0454527	0.0373986	0.026612	0.0350849	0.0413125	0.026938	0.0497932	0.0488539	0.0328329	0.0466865	0.0711843	0.139273
autre	0.158523	0.0854261	0.0756268	0.0306381	0.0198206	0.0156852	0.00803983	0.0109483	0.0100978	0.0156203	0.027009	0.0243544	0.0333657	0.0291034	0.0270537	0.0257385	0.0384057	0.0362287	0.0438549	0.029755	0.042759	0.0497774	0.0638092	0.0431504	0.0552091
</S>	0.214412	0.0628914	0.059193	0.0314676	0.0298287	0.025395	0.0173597	0.0180641	0.0173243	0.0209641	0.038261	0.0390084	0.020124	0.00989415	0.00814673	0.0111842	0.0297048	0.0272868	0.0421932	0.0307283	0.0405068	0.0385004	0.0408774	0.0556126	0.0710709
