 	n	g	á	í	m	o	d	z	w	á	o	m	ω	ω	s	ώ	o	k	ω	n	í	</S>
je	0.247783	0.27862	0.144291	0.100285	0.0199222	0.0104911	0.015208	0.0284793	0.0260844	0.0210885	0.0133053	0.0142281	0.0141847	0.0130462	0.0113721	0.00720285	0.00375733	0.00397628	0.00436321	0.00515202	0.00823348	0.00892597
m'	0.0839381	0.105155	0.115855	0.141034	0.0762137	0.0158223	0.0202031	0.0376007	0.0697839	0.0678018	0.104821	0.0388542	0.0224052	0.0119245	0.0161392	0.00697017	0.0131048	0.0111919	0.0132707	0.00713314	0.00922373	0.0115544
en	0.0319988	0.0310204	0.0253714	0.0500483	0.0466011	0.0498862	0.0711479	0.056053	0.0318627	0.035155	0.0510813	0.0830599	0.0752874	0.0689287	0.0619422	0.0284398	0.0270229	0.0264893	0.0421889	0.0351941	0.0347627	0.0364582
vais	0.020371	0.0168437	0.016795	0.0350061	0.0678816	0.111448	0.0926723	0.0391119	0.0521274	0.0386747	0.043459	0.0637029	0.0913327	0.0551175	0.0577426	0.0273312	0.0238746	0.0212932	0.0340213	0.0260788	0.0281903	0.036924
rester	0.00893565	0.00443985	0.00492154	0.00718757	0.0247556	0.0501208	0.0341735	0.0313693	0.0186611	0.0187265	0.0193961	0.0195274	0.0135235	0.028743	0.0348367	0.0813783	0.108352	0.0760816	0.0881021	0.132468	0.0886954	0.105604
avec	0.0158078	0.0128374	0.0117564	0.0131312	0.0185935	0.0295932	0.0361005	0.0251683	0.0224698	0.0293054	0.051088	0.0500746	0.0463357	0.0582016	0.060457	0.0720267	0.0749916	0.0684177	0.0687592	0.0769414	0.0700255	0.0879177
le	0.0697182	0.0354437	0.0158742	0.0174349	0.0329686	0.0422998	0.0267866	0.0205714	0.0215757	0.0208651	0.034986	0.0292356	0.0244332	0.0380566	0.0393766	0.056613	0.0689556	0.0632554	0.070087	0.0832544	0.076403	0.111805
malade	0.0146569	0.0176846	0.0233395	0.030262	0.0351029	0.0218068	0.0307637	0.0179181	0.0223556	0.0298368	0.0379112	0.0428972	0.0447033	0.0453743	0.0338009	0.0395643	0.054099	0.0528952	0.0612022	0.092905	0.0647157	0.186205
pour	0.0436536	0.0289295	0.0274705	0.0295375	0.0339889	0.0339803	0.0329686	0.0267676	0.0222784	0.0164848	0.0185822	0.0247364	0.0320081	0.0509449	0.0443332	0.0236412	0.0503314	0.0611509	0.0781302	0.100341	0.10171	0.118031
le	0.0730472	0.0373441	0.0299062	0.0436189	0.0716204	0.0533096	0.0521213	0.0210454	0.014253	0.011946	0.0268608	0.0362819	0.0443623	0.0365611	0.0326021	0.0273507	0.0352289	0.0479829	0.0546078	0.0627557	0.0783928	0.108801
détendre	0.0288221	0.0394064	0.0333951	0.0390166	0.0450996	0.0363383	0.0436474	0.0251123	0.0174819	0.0155711	0.023436	0.0412296	0.0588888	0.0534227	0.0412886	0.0183278	0.023494	0.0352818	0.0718192	0.075062	0.097468	0.136391
</S>	0.0480007	0.0202747	0.0165359	0.0356021	0.129248	0.105006	0.0562909	0.0396486	0.019284	0.0294694	0.043849	0.0516649	0.0639077	0.0519545	0.0311464	0.0140726	0.0226204	0.0266598	0.0333327	0.038377	0.0438577	0.0791971
