 	í	d	í	ω	d	z	á	i	b	h	ώ	ω	l	á	n	g	á	k	a	á	í	d	i	l	á	n	ω	</S>
ce	0.0277308	0.023754	0.00874786	0.0209148	0.0359981	0.0348717	0.0581412	0.0578345	0.0313193	0.0162613	0.0221258	0.0351401	0.0251099	0.0226396	0.0330228	0.0317962	0.0191228	0.0298788	0.051918	0.0654957	0.0687367	0.075289	0.0488588	0.0559983	0.0356368	0.0430084	0.0121967	0.00845184
n'	0.269628	0.148578	0.143751	0.11369	0.0736367	0.035512	0.0273418	0.0100869	0.0119501	0.0141816	0.0373504	0.0304361	0.00859309	0.00653865	0.00814661	0.0139517	0.00879736	0.00468275	0.00166197	0.00141212	0.00313428	0.00232415	0.00367373	0.00471405	0.00995794	0.00275628	0.00204071	0.00147082
est	0.0598686	0.0711306	0.0783335	0.0791359	0.057709	0.0413933	0.0339295	0.0144763	0.0157962	0.013118	0.0326783	0.0385334	0.0459517	0.0899303	0.0620201	0.0983954	0.0459103	0.0213055	0.0127811	0.00985464	0.00692631	0.00911098	0.0139193	0.0179956	0.0124697	0.00924068	0.00424054	0.00384532
pas	0.0554053	0.0645975	0.0374837	0.0243072	0.0250093	0.0290007	0.0224723	0.0207939	0.0213472	0.0538044	0.0883285	0.0350463	0.0380031	0.0476247	0.0345527	0.0466994	0.0251202	0.0510793	0.0329641	0.0255677	0.0202068	0.018087	0.0286593	0.0287323	0.0379733	0.0176651	0.0408444	0.0286242
mon	0.0118326	0.00686563	0.00675112	0.00686681	0.00965307	0.0210189	0.0148828	0.0135691	0.015936	0.0116516	0.00977764	0.0130255	0.0173311	0.0289574	0.0280792	0.0232343	0.0205392	0.0472684	0.0259955	0.0469046	0.0336414	0.0338644	0.0908676	0.113622	0.120719	0.0437118	0.114351	0.0690826
affaire	0.061802	0.0375995	0.0532753	0.038877	0.0301657	0.0429866	0.0304961	0.0226861	0.0295851	0.0303411	0.0291851	0.0415756	0.0895518	0.0941845	0.033165	0.0488299	0.0135671	0.0122359	0.00765061	0.0076489	0.00702469	0.00807598	0.0219821	0.0280506	0.0289957	0.0308986	0.0439319	0.0756316
c'	0.0386815	0.025842	0.0786003	0.0840792	0.0826149	0.121457	0.0728397	0.0304995	0.0303261	0.0216812	0.0255193	0.0259343	0.0295754	0.0096844	0.00540891	0.00785798	0.00462652	0.010512	0.0130036	0.0160332	0.00997644	0.0100393	0.0278113	0.0353109	0.0312303	0.0225588	0.0640031	0.0642928
est	0.0776921	0.0746146	0.0800495	0.0712013	0.0648105	0.0636674	0.0530956	0.0520109	0.0476246	0.0354456	0.0219493	0.0262569	0.0229047	0.0249234	0.0192823	0.0211315	0.0112421	0.00504679	0.0034222	0.00528035	0.0100738	0.0101122	0.0119579	0.0176303	0.017476	0.0228941	0.0342199	0.0939841
ton	0.0936338	0.0852309	0.113791	0.0969887	0.0991076	0.11001	0.0501804	0.0196256	0.0183068	0.0145742	0.0180165	0.0229979	0.0148832	0.0156328	0.0140359	0.0120779	0.00664404	0.00224758	0.00110544	0.00138367	0.0046344	0.00504463	0.00757862	0.0162312	0.0200604	0.0284519	0.0357948	0.0717302
affaire	0.096976	0.0918072	0.167395	0.128112	0.0851686	0.0730053	0.0318793	0.0196249	0.0192567	0.0162315	0.0140385	0.0139729	0.0153321	0.00976548	0.00831663	0.00475521	0.00340133	0.00228994	0.00192123	0.00212458	0.00269244	0.0027475	0.0127987	0.0195799	0.0159764	0.0130262	0.0437475	0.0840571
</S>	0.205829	0.156289	0.131349	0.0733063	0.0546514	0.0549651	0.0383867	0.0202391	0.016354	0.00822491	0.00772339	0.010729	0.0136713	0.0129588	0.0100283	0.00435828	0.00329711	0.00105616	0.00111393	0.000703262	0.000898229	0.00100275	0.00391136	0.0116886	0.0181396	0.0127814	0.045438	0.0809068
