 	n	g	á	l	a	b	h	ó	l	á	l	a	l	e	k	ú	s	á	b	i	r	á	</S>
j'	0.17989	0.166336	0.130526	0.0832467	0.085381	0.0768125	0.0389334	0.0313083	0.025186	0.0131566	0.00694055	0.00901467	0.00433855	0.00544289	0.021011	0.0358794	0.0230539	0.0200525	0.012897	0.00885581	0.00685923	0.00809761	0.00678021
ai	0.0957007	0.0341187	0.0173523	0.0216978	0.0276034	0.0476051	0.0402833	0.068176	0.0894511	0.0756334	0.0599411	0.0850782	0.0579292	0.0407817	0.0259883	0.0204189	0.0210744	0.0128477	0.00835125	0.00808816	0.0247791	0.0400314	0.0770686
échappé	0.0191485	0.0535045	0.073729	0.066451	0.132509	0.0247439	0.0313908	0.0199008	0.0271178	0.0215323	0.0204655	0.0329779	0.0362739	0.057389	0.0681444	0.0814792	0.0283864	0.0275685	0.0334217	0.0415557	0.0434934	0.033725	0.0250919
à	0.0214892	0.0301374	0.0352178	0.0346744	0.0396115	0.0603979	0.0484792	0.0526864	0.0522374	0.04401	0.0336103	0.0458626	0.0441377	0.0207431	0.049528	0.0393594	0.0426056	0.0328288	0.0396935	0.0430408	0.0532217	0.0617111	0.074716
la	0.0190794	0.016707	0.0179594	0.0211485	0.0224067	0.0255264	0.0258753	0.0252295	0.0265527	0.0257299	0.0254487	0.0318926	0.0399351	0.0290133	0.0454354	0.0553235	0.0755216	0.0496314	0.068726	0.0790779	0.089002	0.0876984	0.0970794
mort	0.00852491	0.00756222	0.0076045	0.00755749	0.00860533	0.00806537	0.013442	0.00973949	0.0124179	0.0255158	0.0296271	0.0506032	0.0619256	0.0639722	0.109179	0.098307	0.0625133	0.0512883	0.0581153	0.0486137	0.0482791	0.0620923	0.146448
pendant	0.0164508	0.0130661	0.0083157	0.0160311	0.0203015	0.0116013	0.0252027	0.0274217	0.0247898	0.0685678	0.0554788	0.117762	0.122336	0.0732604	0.040837	0.020116	0.024042	0.0151176	0.0290685	0.0447689	0.0522493	0.0806256	0.0925898
la	0.0319014	0.0239681	0.0235716	0.0224605	0.0230594	0.0209272	0.0310729	0.0451936	0.0414971	0.045481	0.0444618	0.0445886	0.0499243	0.0461183	0.0326398	0.0339905	0.0458941	0.0508283	0.0412914	0.0456058	0.0746206	0.0712284	0.109675
guerre	0.0303715	0.0296273	0.0304257	0.0304941	0.0301373	0.0225701	0.0233478	0.013048	0.0159644	0.0127118	0.0129495	0.0155332	0.0164671	0.0106579	0.0192483	0.0300966	0.0476291	0.0701218	0.0904495	0.101674	0.112235	0.111361	0.122879
</S>	0.0190414	0.0153475	0.0169705	0.0213069	0.0241636	0.0207394	0.0318805	0.0282082	0.0332777	0.0297097	0.029617	0.028484	0.0286455	0.0246963	0.0255492	0.0217434	0.0304611	0.0265263	0.0482692	0.0768039	0.114289	0.10538	0.19889
