 	i	t	á	á	l	á	m	w	á	s	í	y	a	n	g	á	í	b	é	i	n	g	á	m	b	ώ	n	g	ω	n	d	z	í	í	m	í	t	ώ	ω	l	á	m	w	á	n	a	y	a	b	á	a	</S>
le	0.00781372	0.00930143	0.0137854	0.012944	0.0173146	0.0142427	0.0217178	0.0196166	0.0360281	0.0293043	0.0448832	0.0414443	0.0437923	0.0440681	0.0408394	0.0262893	0.0204627	0.0169262	0.0192364	0.0174567	0.0218079	0.0209607	0.0125873	0.0118333	0.0128833	0.0161411	0.00772359	0.00869198	0.00319367	0.0106028	0.0088635	0.00589649	0.0118232	0.0103582	0.0102001	0.00943543	0.00918792	0.0141963	0.0106101	0.0126012	0.00969164	0.00871923	0.0103798	0.0212581	0.0272705	0.0262768	0.0313735	0.0374147	0.0287514	0.0296973	0.02564	0.0164619
côté	0.168033	0.209908	0.213459	0.176729	0.0834337	0.0169985	0.00912126	0.00268113	0.00405362	0.00232439	0.00433639	0.00165598	0.00444844	0.00240439	0.00380664	0.00791764	0.00607432	0.00185426	0.00137768	0.00168051	0.000957621	0.000718554	0.000657698	0.000792718	0.000634348	0.000797583	0.000842803	0.00263722	0.000772965	0.000785604	0.00158678	0.00517814	0.00486837	0.00310442	0.0026767	0.00545054	0.0131964	0.00995126	0.00144849	0.00041652	0.00354754	0.00084751	0.000656233	0.000451427	0.00110087	0.00148793	0.00549542	0.00288211	0.000818363	0.00131406	0.000930707	0.000695327
paternel	0.0303183	0.0192532	0.0213765	0.0305358	0.0311453	0.0226066	0.0103765	0.0175912	0.0187989	0.01125	0.0253007	0.0243437	0.0287171	0.0395695	0.0441532	0.0181519	0.020729	0.0148906	0.0142011	0.0243724	0.00862684	0.00243489	0.00408884	0.00433914	0.00434451	0.00793845	0.0100504	0.00639166	0.00642854	0.0133448	0.0281279	0.0301941	0.0339939	0.0208179	0.025899	0.036719	0.0263509	0.0262747	0.0351334	0.0372399	0.0168191	0.02018	0.0170627	0.0207995	0.0212189	0.0111058	0.0174256	0.0121806	0.007509	0.00930032	0.00652676	0.00345145
de	0.0303167	0.0263265	0.0329189	0.0198052	0.0221056	0.00767195	0.0228776	0.00730485	0.0132907	0.032384	0.0142484	0.0227144	0.0245182	0.0257358	0.017774	0.0190261	0.0217107	0.021819	0.0307831	0.0415146	0.0199162	0.0115679	0.0152974	0.0209194	0.0140135	0.0158853	0.0122338	0.0165428	0.0134303	0.0144975	0.031534	0.027842	0.0328351	0.0197335	0.0149286	0.0164286	0.0131099	0.0167958	0.0127035	0.0105079	0.00895645	0.00727773	0.0182694	0.0166794	0.0200764	0.014027	0.0131437	0.0220386	0.0107421	0.0146664	0.0154312	0.0331222
ma	0.0101062	0.0199494	0.031978	0.0280267	0.0256636	0.0199014	0.0107204	0.013499	0.0132323	0.00615881	0.00930873	0.0134407	0.0182537	0.013974	0.0122208	0.013591	0.0225575	0.0315105	0.0288913	0.0241741	0.0267466	0.0310175	0.0351627	0.0381864	0.0268912	0.0339666	0.0348361	0.0215245	0.022568	0.0157859	0.0425243	0.0607137	0.0345882	0.0363984	0.0284619	0.0246643	0.0132538	0.0116324	0.014733	0.0178576	0.00904168	0.00695827	0.00300355	0.00369403	0.00310131	0.00237837	0.0024635	0.00255187	0.00227818	0.00258996	0.00483195	0.018436
femme	0.0229974	0.0191696	0.0209075	0.0235003	0.0167032	0.0142212	0.00668186	0.00183515	0.00883467	0.00352184	0.0072796	0.0105988	0.014791	0.0165691	0.00998383	0.0236539	0.0264253	0.025739	0.021485	0.0146646	0.0227059	0.012679	0.0137349	0.0226374	0.0119877	0.0208353	0.0217162	0.0161752	0.0146193	0.0172995	0.0419781	0.0677446	0.0562386	0.0539871	0.0402791	0.0329374	0.015744	0.0091243	0.00933527	0.0142298	0.028772	0.0110411	0.00687188	0.0071158	0.00724294	0.00623374	0.00972079	0.01177	0.013527	0.0139209	0.0155128	0.0427193
m'	0.0501776	0.0235106	0.0175923	0.0200466	0.011233	0.00794292	0.00348423	0.00170008	0.00304842	0.00279127	0.00407304	0.00538178	0.00817731	0.00962982	0.00591014	0.00926712	0.013613	0.0205317	0.0187398	0.0123385	0.0151461	0.0196142	0.0261952	0.0224122	0.0190454	0.0355403	0.048011	0.0330783	0.0268213	0.0635089	0.0460168	0.0792156	0.087858	0.049536	0.025421	0.0280165	0.0296291	0.00988148	0.00593376	0.00284818	0.00668749	0.00310867	0.00223431	0.00161991	0.00213378	0.00197074	0.00233828	0.00483468	0.00315754	0.0041124	0.0121934	0.0326903
a	0.0419238	0.0361288	0.0596041	0.0498135	0.0292146	0.0148899	0.00760904	0.00818757	0.00985244	0.00447083	0.00816448	0.0100366	0.0108977	0.0168855	0.00981702	0.0095432	0.0189679	0.0280761	0.015698	0.0161194	0.0125337	0.0120986	0.0304189	0.0162013	0.0201815	0.0377562	0.0411705	0.0273823	0.0449114	0.023407	0.0260113	0.0104723	0.013271	0.00606536	0.00614937	0.00736465	0.00572965	0.00253135	0.00217297	0.000689319	0.00317084	0.00113913	0.00229431	0.0016804	0.00626079	0.0029751	0.00761999	0.0302545	0.00872774	0.0225701	0.0451908	0.115697
exigé	0.0534523	0.0406839	0.0416862	0.0276795	0.0208994	0.0131007	0.0121442	0.00646555	0.00676729	0.00711579	0.00489121	0.0104726	0.00577649	0.0172708	0.00417966	0.00355052	0.00487512	0.0062408	0.00540517	0.00585462	0.0065328	0.0156501	0.0157527	0.0172655	0.0257703	0.030963	0.0274512	0.0582997	0.0759638	0.0423028	0.0704797	0.0251308	0.0521133	0.0121551	0.0184412	0.0188249	0.014014	0.00742506	0.00760155	0.00118111	0.00276433	0.00436087	0.00468408	0.0037144	0.00527047	0.00418682	0.00571629	0.0153576	0.0089559	0.0176912	0.0277193	0.0577483
beaucoup	0.0443985	0.0303911	0.032848	0.0232974	0.0153378	0.00979487	0.00783468	0.00647767	0.00454492	0.00541839	0.00445186	0.0088017	0.00585359	0.0118276	0.00517108	0.00469159	0.00716647	0.0078942	0.00968382	0.00976851	0.00969997	0.0135627	0.0190987	0.0167696	0.0205863	0.0222419	0.0210767	0.0322615	0.0468006	0.0370294	0.0418124	0.029551	0.0505805	0.0340528	0.0547891	0.0413035	0.0284493	0.0190453	0.0269111	0.013263	0.0107094	0.01275	0.00894321	0.011299	0.0106113	0.0094033	0.00736032	0.0145432	0.0125605	0.0169415	0.0198002	0.0305388
d'	0.0904345	0.0492863	0.0467879	0.0224689	0.0108656	0.00693468	0.00363627	0.00547671	0.00253117	0.00461454	0.00697914	0.00693293	0.00899228	0.0162239	0.009277	0.011974	0.0184424	0.0307673	0.0281064	0.0289479	0.0219627	0.0328029	0.0468754	0.0359008	0.0334794	0.0366963	0.0284658	0.0344081	0.0216916	0.0307167	0.0201134	0.0324346	0.025048	0.0210173	0.0119495	0.0150737	0.0206009	0.00886283	0.00689115	0.00167302	0.00374784	0.00316357	0.00222731	0.00277912	0.0081661	0.00641541	0.00618928	0.0130341	0.00910538	0.00984091	0.0139766	0.0250105
argent	0.141952	0.0546288	0.0488024	0.0304509	0.0182137	0.008666	0.00499268	0.00559765	0.0024614	0.00242033	0.00616319	0.00913687	0.00728215	0.0194682	0.0138021	0.0106997	0.036353	0.0311414	0.0244735	0.0275628	0.0247746	0.0289107	0.0278027	0.0230363	0.0235318	0.0262047	0.0138167	0.0185547	0.0209282	0.0147992	0.0119177	0.0128847	0.0146404	0.0101977	0.0095571	0.00753875	0.00712091	0.00570543	0.00665424	0.00385149	0.00942882	0.00644961	0.00381468	0.00573986	0.0146064	0.00743436	0.00867719	0.0161732	0.0104675	0.0135265	0.0228481	0.0641365
