 	w	á	á	n	ω	o	d	z	é	a	l	á	á	l	e	o	y	í	í	n	ω	o	t	é	m	a	m	ó	o	f	u	r	a	</S>
si	0.114134	0.128987	0.0992601	0.13002	0.0766468	0.0457455	0.0210305	0.0229225	0.0144487	0.0158575	0.0155267	0.0157723	0.0180864	0.0185688	0.0177086	0.0152341	0.0109494	0.0153866	0.0113462	0.0192141	0.0112987	0.0145215	0.0117962	0.010273	0.0102051	0.00773945	0.00973218	0.0105833	0.0132909	0.0147171	0.0180313	0.0148762	0.0161384	0.00995052
tu	0.154683	0.0577392	0.0402455	0.0598293	0.0508	0.0563809	0.0617753	0.0755326	0.0737574	0.0473947	0.0312388	0.0221016	0.0156088	0.0133662	0.0243717	0.0179276	0.0113436	0.00486555	0.0217451	0.0824568	0.00541916	0.0229491	0.00911418	0.00648883	0.00553873	0.00638084	0.00212877	0.00301342	0.00220699	0.00263475	0.00195739	0.00164977	0.00150802	0.0058468
prends	0.015534	0.0103914	0.0115329	0.0154154	0.0127487	0.013464	0.0237165	0.0195999	0.024319	0.0176009	0.0238628	0.0357733	0.0384305	0.0430232	0.0862556	0.119264	0.071871	0.0529504	0.120186	0.044629	0.0260696	0.0264326	0.0226266	0.00944225	0.012733	0.0137355	0.0126535	0.011045	0.0106917	0.00860752	0.00912804	0.00987346	0.0111888	0.0152038
trop	0.0154317	0.012584	0.00935503	0.0120786	0.0178707	0.0168755	0.0157473	0.0167788	0.0136608	0.0177974	0.0166835	0.023407	0.0243917	0.0268695	0.0298082	0.0402083	0.0492677	0.0447987	0.0587183	0.0737631	0.0895192	0.0609796	0.0410475	0.0505205	0.0483992	0.0374437	0.0335906	0.0230387	0.0144232	0.0141893	0.0080316	0.00940315	0.0132201	0.0200977
de	0.00846776	0.00401557	0.00354793	0.00674918	0.022123	0.0205795	0.0153726	0.00854213	0.0144561	0.0235833	0.0269474	0.0419474	0.025578	0.0218539	0.0192112	0.0390896	0.0951198	0.0618083	0.0456054	0.033047	0.0426552	0.0292584	0.0316169	0.0276831	0.0307568	0.0470653	0.0399075	0.0312151	0.0329469	0.0266986	0.0258954	0.0236484	0.0287788	0.0442284
citron	0.0188951	0.0173541	0.014227	0.0163025	0.00976634	0.0175369	0.0219646	0.020297	0.0359978	0.0385917	0.0455492	0.0277178	0.0179922	0.0156763	0.0209347	0.0329658	0.0335495	0.0230256	0.0351429	0.0394503	0.0272895	0.0275492	0.0261292	0.0214635	0.02116	0.0277344	0.0249072	0.0278268	0.0338667	0.0259431	0.0284253	0.0388013	0.0398413	0.126125
tu	0.00740024	0.0073252	0.00720068	0.0128039	0.012615	0.0189644	0.0214826	0.0205147	0.0265908	0.0254786	0.0436761	0.0282218	0.0170333	0.0173849	0.0181831	0.0221732	0.0192408	0.0116849	0.0194843	0.0322805	0.0205477	0.0281637	0.0239349	0.0238761	0.0209508	0.0348069	0.0353402	0.0543859	0.0533736	0.0522279	0.0570499	0.0535926	0.0490402	0.102971
auras	0.00786715	0.00873852	0.0125855	0.0220076	0.0110227	0.0153887	0.022112	0.0159414	0.0186005	0.0188248	0.0152576	0.0137184	0.0117511	0.0183908	0.0195194	0.0329246	0.0336339	0.0274186	0.0265007	0.0492873	0.0365744	0.0547854	0.0396955	0.0297288	0.0260345	0.0328629	0.0338542	0.0440212	0.0314046	0.0282223	0.0375761	0.0470263	0.0516953	0.105027
les	0.0145706	0.0137302	0.0274006	0.0346619	0.0157683	0.0168029	0.022596	0.0181524	0.0113021	0.0113613	0.00803584	0.0083195	0.00992263	0.0192195	0.0166907	0.026953	0.0318783	0.024234	0.0339886	0.0820457	0.0468771	0.0935208	0.0559345	0.0603476	0.037236	0.029372	0.0309173	0.0274186	0.0186963	0.0192941	0.0278465	0.0254825	0.0252832	0.0541399
maux	0.00809129	0.00665531	0.00607177	0.00781001	0.0090942	0.0126769	0.0148946	0.0109047	0.0109206	0.0075983	0.00997157	0.0157308	0.0110187	0.0197716	0.0233573	0.0304662	0.0435947	0.0391473	0.0421553	0.0897289	0.0585933	0.087292	0.0509252	0.0656055	0.036065	0.0300544	0.0270208	0.0319427	0.0265167	0.0276639	0.0282305	0.0321064	0.035512	0.0428113
d'	0.0174998	0.0130052	0.00906391	0.015272	0.014995	0.017042	0.0187827	0.0151926	0.0113463	0.00636331	0.00988185	0.0134211	0.0121505	0.0202632	0.0258356	0.0368957	0.0500857	0.0399022	0.0448743	0.0278032	0.0457845	0.0359762	0.0416708	0.0484967	0.0472958	0.042152	0.0418563	0.0461507	0.0348053	0.0288341	0.03798	0.0432899	0.0346273	0.0514043
estomac	0.0307335	0.020061	0.0193256	0.0222196	0.024311	0.0233833	0.028366	0.0163949	0.010073	0.00772376	0.00645532	0.00750492	0.00655196	0.00974644	0.0138014	0.0210365	0.0489022	0.0362112	0.0301336	0.0562503	0.0674873	0.0695105	0.0321464	0.0421406	0.0182216	0.0165097	0.0146364	0.0205179	0.0169692	0.0189337	0.0305897	0.0404557	0.0519086	0.120787
</S>	0.0291613	0.0235247	0.023386	0.0248323	0.0253692	0.022802	0.0264604	0.0176899	0.0125501	0.0142644	0.011096	0.0109055	0.00795942	0.00993428	0.0148076	0.02574	0.0411087	0.0384008	0.0196802	0.0252708	0.0418869	0.0385071	0.020136	0.027431	0.0119191	0.0177957	0.0182131	0.0343099	0.0295905	0.0348608	0.0422525	0.0554817	0.0721837	0.130488
