 	o	t	a	a	w	á	á	o	p	i	í	n	g	ω	l	ω	m	é	s	a	n	d	z	á	p	e	n	á	w	a	a	t	έ	n	ω	</S>
garde-	0.00682272	0.0126207	0.0272276	0.0354339	0.0356266	0.0492441	0.0702715	0.0304612	0.0248911	0.0463616	0.0539336	0.021815	0.0760186	0.0198248	0.022858	0.0489343	0.0251123	0.0188726	0.0253689	0.0293214	0.0226439	0.0307724	0.0196281	0.0205141	0.0236051	0.0240224	0.0201506	0.0210858	0.0149738	0.0205551	0.016885	0.0182429	0.019209	0.0202508	0.0153331	0.0111071
toi	0.0676576	0.0756192	0.0760541	0.0882577	0.0918643	0.0385263	0.0325854	0.0506076	0.0914548	0.0559986	0.0599997	0.054518	0.0678792	0.0262032	0.0197721	0.0133365	0.0110682	0.0107812	0.00852927	0.0109174	0.00639422	0.0101884	0.00433339	0.00231901	0.00240634	0.00483152	0.00218832	0.00163069	0.000837297	0.00285868	0.00130014	0.000990418	0.00157705	0.00148525	0.00152583	0.00350304
d'	0.0132227	0.023608	0.0222415	0.0184695	0.00981409	0.0181353	0.0209564	0.0377867	0.0290294	0.0206568	0.0313101	0.0264887	0.0216308	0.0150265	0.0265474	0.0262869	0.0288721	0.0170461	0.0442547	0.0769247	0.100579	0.0544417	0.0598865	0.0545155	0.0618094	0.0284184	0.0250847	0.0151218	0.00768843	0.010918	0.011213	0.00965691	0.00902897	0.0112346	0.00855853	0.00353605
attraper	0.0152251	0.0200528	0.0120633	0.0110308	0.0129746	0.0083604	0.0113133	0.0284349	0.0209575	0.0271414	0.025016	0.0354602	0.026269	0.0322984	0.0358888	0.0418069	0.0435415	0.050869	0.0532015	0.0378883	0.035614	0.0558558	0.0428362	0.0502372	0.0534736	0.0377829	0.0330097	0.0297399	0.0174429	0.0107195	0.00554374	0.00705923	0.0172486	0.0112955	0.0208212	0.0215262
le	0.0286424	0.0257518	0.0260967	0.025518	0.0191678	0.0153205	0.0123066	0.0207697	0.0200866	0.0214125	0.0204171	0.023738	0.0167974	0.0177072	0.0150223	0.0181255	0.0156638	0.0174876	0.0235149	0.0595457	0.0621383	0.0349112	0.0580003	0.0604367	0.0694074	0.0508619	0.0648395	0.0333681	0.0124278	0.0117096	0.00660434	0.00812753	0.0112596	0.0155923	0.0197454	0.0374781
silure	0.0533881	0.0336748	0.0348986	0.0266646	0.0141402	0.0148992	0.0154224	0.0136739	0.01877	0.0243295	0.0302979	0.0290234	0.0343187	0.0252682	0.00771567	0.0100652	0.0159893	0.0123389	0.0223231	0.0290826	0.0484087	0.0386652	0.0555311	0.0515884	0.049517	0.0598642	0.0372021	0.0133398	0.007931	0.0130994	0.0142286	0.0198844	0.0208904	0.0246927	0.0252029	0.0536696
par	0.0611193	0.0439762	0.0546784	0.0315046	0.023801	0.022917	0.0246673	0.0174062	0.0234432	0.0131998	0.0222445	0.023245	0.044959	0.0244204	0.00839904	0.010991	0.0153664	0.00786105	0.015578	0.0102733	0.0331054	0.0168852	0.0429656	0.0450961	0.0318288	0.0510821	0.0267363	0.0133804	0.00913477	0.00861627	0.00766621	0.0194382	0.0253137	0.0313912	0.0339109	0.103398
la	0.0465306	0.0359063	0.0432646	0.0344471	0.0236318	0.017417	0.013108	0.0138475	0.0139737	0.019711	0.0230493	0.0243059	0.0312598	0.0333119	0.0140614	0.0222667	0.0176726	0.0180021	0.00996091	0.0060435	0.0116543	0.00948154	0.0283277	0.0350675	0.0177304	0.0278441	0.0267581	0.0240573	0.0210874	0.016142	0.00733673	0.0127147	0.024949	0.057964	0.061535	0.155579
queue	0.0689969	0.0541894	0.0694919	0.041247	0.0263667	0.0091564	0.00681496	0.0111771	0.0104086	0.0122748	0.0156013	0.0219558	0.0309491	0.0313509	0.017655	0.0271183	0.0192479	0.0243356	0.0123084	0.00594566	0.00659233	0.00343414	0.0133174	0.0145354	0.0140331	0.0236964	0.0322138	0.0258689	0.015638	0.0145678	0.00551337	0.0104679	0.0217402	0.0460324	0.0545187	0.181238
de	0.293299	0.0785544	0.0615913	0.0466821	0.0535532	0.0199368	0.0174654	0.00980433	0.0179196	0.00455744	0.0131085	0.00902903	0.0141029	0.0106513	0.0109828	0.0168654	0.0187299	0.016207	0.0135229	0.00919089	0.00723634	0.00789408	0.00782668	0.0104201	0.00726182	0.00810335	0.0164993	0.0202187	0.0156138	0.00891953	0.0135554	0.0117528	0.0283618	0.00886536	0.0257162	0.0660002
peur	0.116134	0.0324186	0.0267665	0.0189034	0.021814	0.00591669	0.00545819	0.00732114	0.00789447	0.0056472	0.00671376	0.011382	0.00672551	0.00874218	0.0144718	0.0145427	0.0170761	0.0172386	0.0203707	0.0433357	0.0440643	0.0370305	0.0444464	0.0460137	0.0470188	0.0510583	0.0430873	0.0361443	0.0250164	0.0225282	0.0161774	0.0195034	0.0337332	0.0236583	0.0295182	0.0721285
qu'	0.0441108	0.0261063	0.030683	0.0230468	0.0246821	0.0146002	0.00863699	0.0120257	0.00911914	0.00533603	0.00595758	0.00723435	0.00674212	0.00912854	0.00938026	0.0122279	0.011903	0.0146655	0.0130975	0.0189184	0.0411646	0.0241977	0.0479489	0.0391314	0.0608857	0.0387196	0.0439314	0.0371465	0.0428149	0.0329235	0.0219154	0.0279824	0.0587063	0.0359521	0.0489617	0.0900155
il	0.0373868	0.0244997	0.024503	0.0230156	0.0262008	0.0242938	0.0139894	0.0160784	0.0171883	0.0114275	0.0175158	0.0142676	0.0180188	0.0116475	0.00947454	0.0138083	0.014645	0.0197162	0.018733	0.0241156	0.0262181	0.0249885	0.0255629	0.0267148	0.0270217	0.0277896	0.0333875	0.0391062	0.0636498	0.0455973	0.0299426	0.0352094	0.055635	0.0445034	0.055372	0.0587754
ne	0.114702	0.0454923	0.0392105	0.0234322	0.0243327	0.00791799	0.00700882	0.00781278	0.00891207	0.00814919	0.00802748	0.0121481	0.00808437	0.00910028	0.0111942	0.0122746	0.0152148	0.0139813	0.0178378	0.0287551	0.0262344	0.0266552	0.0303352	0.0352768	0.0415247	0.0395407	0.0358893	0.041857	0.0335101	0.0220628	0.0136444	0.0208311	0.052801	0.0224819	0.0427317	0.0910349
te	0.145879	0.0626626	0.0393251	0.0278797	0.0362071	0.00848746	0.00707989	0.00727934	0.00886402	0.00353246	0.00757807	0.00612603	0.00701507	0.00574398	0.00595632	0.00801721	0.0102324	0.00823059	0.010662	0.0163041	0.0224084	0.0293419	0.031019	0.0392155	0.032324	0.0299366	0.0385242	0.0392741	0.0318101	0.0169703	0.0143732	0.0217469	0.0430543	0.0208386	0.0402104	0.11589
pique	0.139738	0.0326965	0.0256714	0.0220674	0.0205307	0.00653398	0.00606935	0.00454717	0.00854778	0.00838155	0.0118149	0.0156155	0.0165082	0.0244123	0.0290071	0.0223092	0.0344755	0.034182	0.0245406	0.0349328	0.0218639	0.0391118	0.0350249	0.0409268	0.0325761	0.0410385	0.034325	0.0396359	0.0275717	0.0170408	0.0132297	0.0175722	0.026048	0.014887	0.0273376	0.0492283
</S>	0.0674783	0.0311737	0.0248151	0.0156989	0.0136056	0.011537	0.00817532	0.00985362	0.00731854	0.00321592	0.00681115	0.00500752	0.00716827	0.00495664	0.00669249	0.0102653	0.00965448	0.0258049	0.0281902	0.0586995	0.0941819	0.0445731	0.0398487	0.0415971	0.0403906	0.0207069	0.0432288	0.0479376	0.0464731	0.0225606	0.0110682	0.0149436	0.0488554	0.0225734	0.0337607	0.0711775
