 	k	á	k	a	l	a	l	í	i	k	ω	r	ó	s	ώ	o	l	á	m	b	i	a	t	u	n	g	u	</S>
le	0.0245778	0.119614	0.0862449	0.0517688	0.0296209	0.0149197	0.0183294	0.0112274	0.0333221	0.0303941	0.0291637	0.0815486	0.0580518	0.0459634	0.0666857	0.0488292	0.0282713	0.0246886	0.0172065	0.0175718	0.0167939	0.00993946	0.0138155	0.0207784	0.0216768	0.0262174	0.0320106	0.0207686
gaz	0.0842902	0.0542883	0.0679963	0.0736226	0.107491	0.100991	0.114717	0.185047	0.0733108	0.0417273	0.0231319	0.0110087	0.00498202	0.00311443	0.00361958	0.00349167	0.00588107	0.00399074	0.00554501	0.00649393	0.00533227	0.00434378	0.00340732	0.00285438	0.00244156	0.00173057	0.00324725	0.00190263
qui	0.0771281	0.0488882	0.0490003	0.0773731	0.0807907	0.0601632	0.0578187	0.0489226	0.0493919	0.0431551	0.0423939	0.0258791	0.016238	0.0165023	0.0154287	0.0192111	0.0227233	0.0211478	0.030583	0.0338619	0.0301568	0.0188585	0.0197894	0.0204539	0.0158211	0.0194315	0.019441	0.0194469
s'	0.118698	0.0536931	0.112802	0.0596308	0.0309798	0.0229021	0.0223289	0.0083116	0.0218569	0.016095	0.0275546	0.0178772	0.0252041	0.0342024	0.0309439	0.022056	0.019786	0.0191664	0.0151439	0.0123096	0.014545	0.0209435	0.01826	0.0198393	0.0246212	0.0343981	0.0381775	0.137672
exhale	0.148478	0.0911103	0.0996263	0.0896524	0.0731537	0.0634759	0.0532635	0.0412336	0.049987	0.0365983	0.0211125	0.0147326	0.0103493	0.0128278	0.0116223	0.00707581	0.0124107	0.00781123	0.00817165	0.00683708	0.00643842	0.00523137	0.00415323	0.00445911	0.0051421	0.0116856	0.0183378	0.0850219
de	0.0791003	0.0384862	0.057982	0.0443523	0.035251	0.0288193	0.0301654	0.0221585	0.0310636	0.0250068	0.0155988	0.0118827	0.0168331	0.0233018	0.0174574	0.0123293	0.0157786	0.0138507	0.0181196	0.0249292	0.0215034	0.0303889	0.0423877	0.0294857	0.0343062	0.0746047	0.0541595	0.150697
l'	0.0624638	0.0556114	0.058689	0.0530852	0.0514913	0.0473212	0.039939	0.017989	0.0349861	0.0401049	0.0251757	0.0188238	0.0162106	0.0226988	0.0206801	0.0167241	0.0283857	0.0223023	0.0236708	0.020216	0.0150272	0.0178907	0.0228506	0.0201483	0.0279574	0.0413582	0.0468819	0.131317
huile	0.043508	0.0207137	0.0173268	0.0152491	0.0105577	0.00602722	0.00556383	0.00487935	0.0108496	0.0133026	0.0170913	0.0231858	0.0129936	0.0142711	0.0143175	0.0169438	0.0225799	0.0214838	0.0283868	0.0464193	0.0497572	0.0462558	0.0622803	0.0678387	0.0591225	0.0756765	0.082883	0.190535
de	0.120804	0.0481274	0.0414081	0.0423552	0.0308603	0.0286226	0.0274055	0.0213799	0.0257793	0.0289754	0.0241048	0.0198316	0.0178196	0.0194181	0.015161	0.0174813	0.0201842	0.0177102	0.0152224	0.017038	0.0185722	0.0291972	0.0368171	0.0308024	0.0438315	0.0471985	0.0304506	0.163442
palme	0.0582037	0.0369286	0.0372296	0.0388306	0.036307	0.0310764	0.0304181	0.0166057	0.0265027	0.0210293	0.0103454	0.00936913	0.00852317	0.0127783	0.016335	0.0173906	0.0302518	0.0312628	0.0300217	0.0296791	0.0260182	0.0365782	0.0381517	0.0420493	0.0587309	0.0648929	0.0821568	0.122333
chauffée	0.0383451	0.0183438	0.0239258	0.0237921	0.027733	0.0304791	0.0314899	0.0181908	0.0305002	0.0220581	0.0136519	0.00954284	0.00844472	0.0136585	0.0170509	0.0196821	0.0313345	0.0398346	0.0544501	0.0606021	0.0485308	0.071959	0.0583025	0.0462063	0.053676	0.0597225	0.0438061	0.0846867
fait	0.0504546	0.0396054	0.0524285	0.0467221	0.0513654	0.0438919	0.029207	0.0200857	0.0268678	0.0284918	0.0232043	0.0258478	0.0267853	0.0343156	0.0326082	0.0263392	0.0296843	0.0236645	0.0150792	0.0135393	0.00951599	0.0211402	0.0230631	0.0190236	0.0383059	0.0461091	0.0699048	0.13275
tousser	0.0639369	0.0566245	0.0383749	0.0501804	0.0385946	0.0280467	0.0165568	0.00585722	0.00793774	0.00818059	0.0067184	0.00797335	0.00811282	0.011052	0.0133908	0.0147767	0.0209291	0.0230404	0.0221303	0.0250333	0.0253907	0.0557777	0.0670321	0.0574562	0.0734871	0.073512	0.0779639	0.101933
le	0.052332	0.0418632	0.0491507	0.0444951	0.0439693	0.0408478	0.0297015	0.0128839	0.0210154	0.0181721	0.0187926	0.0183677	0.0170571	0.0184512	0.0192903	0.0184515	0.0180268	0.0172595	0.0139648	0.0143261	0.0134941	0.0414177	0.0453315	0.0364449	0.0716781	0.0627039	0.061785	0.138726
cuisinier	0.0205316	0.0150806	0.0207673	0.0169864	0.0155881	0.00944246	0.00864643	0.00682044	0.0128122	0.0130447	0.0136321	0.0135472	0.00942632	0.010506	0.0123764	0.0101815	0.0103961	0.0119274	0.0131599	0.0187788	0.0250719	0.0562497	0.0731334	0.0589786	0.0910758	0.113036	0.133597	0.185206
</S>	0.0401974	0.0322784	0.0463486	0.0377001	0.0434989	0.0442418	0.0428053	0.0315089	0.0462256	0.0384345	0.0335124	0.0417816	0.0243905	0.0275565	0.0297098	0.0231945	0.0221332	0.0168102	0.0125657	0.0110499	0.00805032	0.0170215	0.0201701	0.0111488	0.0269431	0.0466307	0.0546237	0.169468
