 	m	b	e	m	b	e	i	k	o	o	l	á	t	s	ω	n	g	ω	á	d	z	á	l	a	b	ω	n	d	z	o	l	ω	</S>
mbembe	0.011667	0.0180366	0.0180242	0.0170354	0.0178381	0.019001	0.0293785	0.0405002	0.0405748	0.0451504	0.0474418	0.0431824	0.0675212	0.0424329	0.0536336	0.035184	0.0299289	0.0149076	0.0167572	0.0241941	0.0338901	0.0314809	0.0219309	0.0265447	0.025005	0.0292497	0.0327538	0.0275577	0.0327763	0.0221779	0.0276627	0.0294305	0.0271502
ikoo	0.0391657	0.106214	0.137813	0.110249	0.120977	0.0984386	0.0555942	0.0221989	0.0145961	0.0155871	0.0164324	0.0323759	0.04188	0.0365567	0.0170774	0.013104	0.0106246	0.0076788	0.0116881	0.00809638	0.00713513	0.00671283	0.00651798	0.00796496	0.00561526	0.00950188	0.0118493	0.00717301	0.00819937	0.00694749	0.00368346	0.00114706	0.00120424
de	0.0794555	0.0872642	0.0655649	0.0552671	0.0472236	0.039659	0.0326328	0.0205797	0.0180469	0.0224663	0.0323169	0.034495	0.0184168	0.0378088	0.0280385	0.0532768	0.0321793	0.0252781	0.0210693	0.022765	0.019705	0.018328	0.0168106	0.0202688	0.0140486	0.015781	0.0171439	0.0124708	0.0178963	0.0225415	0.0176022	0.0171905	0.0164082
tsongo	0.0157246	0.0167548	0.0274035	0.0529402	0.0562783	0.0694156	0.0490976	0.0341223	0.0276816	0.0453874	0.0517662	0.0862452	0.0478536	0.0564453	0.0672309	0.0667767	0.0447962	0.0267235	0.0161143	0.0163291	0.0115942	0.00998059	0.00873935	0.00631492	0.00474802	0.00483479	0.00560089	0.00405787	0.00759767	0.0110698	0.0108802	0.00904705	0.0304477
avait	0.0482421	0.0381562	0.0428428	0.0421559	0.045092	0.0495191	0.0447699	0.0340631	0.0309973	0.0352219	0.029639	0.0337736	0.0259943	0.0221491	0.0195046	0.0226806	0.0226624	0.0161826	0.0195425	0.0231095	0.0182402	0.0178657	0.0186917	0.0156504	0.0161707	0.0129131	0.0120729	0.0140562	0.0189031	0.0292073	0.0335901	0.0443517	0.101988
le	0.0488277	0.0387433	0.0385751	0.041982	0.0512706	0.0596877	0.0612534	0.044819	0.0257777	0.0253504	0.0163319	0.0144994	0.0105442	0.0117225	0.0159853	0.0303209	0.0328789	0.0133249	0.0157498	0.0178151	0.0148035	0.0165404	0.0178986	0.0209598	0.0199031	0.019401	0.0195045	0.0194906	0.0298953	0.0386203	0.041452	0.0353196	0.0907515
pouvoir	0.0270379	0.0154417	0.0112179	0.0100677	0.0123704	0.0117205	0.0187824	0.0140066	0.0130972	0.0114724	0.00507739	0.004387	0.00283927	0.00218651	0.00280056	0.00533289	0.0103195	0.011567	0.0145028	0.0250538	0.0367555	0.0393153	0.0421677	0.0631373	0.080992	0.081042	0.0797575	0.0861107	0.0646006	0.059165	0.0485404	0.0327421	0.0563924
mystique	0.0260967	0.0257208	0.0229196	0.0210885	0.020846	0.0193834	0.0195894	0.0158872	0.00936779	0.00950786	0.0102288	0.00952212	0.00805073	0.0102851	0.0158327	0.0238162	0.0294909	0.0467396	0.0418893	0.0442805	0.0391843	0.0392816	0.0412928	0.0422869	0.0398363	0.0439971	0.0477799	0.0405998	0.04269	0.0384	0.0429324	0.0440236	0.067152
de	0.0675223	0.0447532	0.0377957	0.0403191	0.0381951	0.0370039	0.0297273	0.0202301	0.0163069	0.0144254	0.013201	0.0134536	0.00964127	0.0106084	0.0115317	0.0135914	0.0137114	0.0274932	0.0230436	0.0415856	0.0337947	0.0295092	0.0397329	0.029986	0.0373884	0.0303417	0.0289608	0.0236823	0.0304666	0.0238084	0.0242892	0.0344208	0.109479
neutraliser	0.116684	0.0574761	0.0364021	0.0220236	0.0139239	0.00783056	0.00497532	0.0041689	0.00322499	0.00561443	0.00774039	0.00779924	0.00657208	0.006885	0.00814029	0.0106957	0.0128203	0.0211416	0.0236275	0.027269	0.031615	0.0306208	0.0294993	0.0459354	0.0428197	0.053102	0.0546932	0.0435005	0.0442453	0.0451287	0.0385863	0.0449688	0.0902704
un	0.156755	0.0956272	0.0720922	0.052772	0.0327112	0.0246884	0.0129062	0.00872588	0.00807623	0.00948656	0.011664	0.0105948	0.00696742	0.00842122	0.007829	0.012783	0.0110781	0.0167362	0.0133545	0.0178126	0.0178582	0.0175265	0.0191882	0.0243627	0.0234366	0.0278629	0.0299074	0.0285937	0.0331007	0.0283376	0.0317992	0.0487703	0.0781741
fétiche	0.118959	0.0669136	0.0494185	0.0406559	0.0328354	0.0287977	0.0258042	0.0236743	0.0197602	0.0230604	0.0233548	0.0239304	0.0218641	0.0263784	0.0345395	0.0303807	0.0269468	0.0291837	0.0253558	0.0223177	0.0261125	0.0256614	0.0192363	0.0209776	0.0192117	0.0210476	0.019106	0.016323	0.0181382	0.0238295	0.0237847	0.0284105	0.0440297
</S>	0.221619	0.0833101	0.0444207	0.0282902	0.0224752	0.0195872	0.0100823	0.00563761	0.00415257	0.00503352	0.00535514	0.00555163	0.00469299	0.00633097	0.0120762	0.0212518	0.0202897	0.0289623	0.0124559	0.0152608	0.0178692	0.015189	0.0138912	0.020641	0.0217929	0.0242421	0.0236893	0.0265106	0.029871	0.0375091	0.0400268	0.0681319	0.0837995
