 	d	i	n	g	a	l	í	m	b	ώ	n	d	ώ	í	s	ω	m	i	n	i	ó	n	g	a	n	y	a	l	a	p	ó	a	</S>
un	0.0856054	0.0288486	0.0205855	0.034895	0.0464896	0.0146904	0.0490798	0.0352428	0.0551946	0.0410476	0.038615	0.0390372	0.0372607	0.0139301	0.0160533	0.0106711	0.00865455	0.0124291	0.0144653	0.0175643	0.0203884	0.0190257	0.0265881	0.020247	0.0247894	0.0243226	0.0316735	0.0288323	0.0412201	0.0514376	0.0278542	0.0321304	0.0311307
match	0.0358886	0.0178471	0.0603609	0.130671	0.273245	0.11015	0.1081	0.0607944	0.0369051	0.00973843	0.0103139	0.0168231	0.00657362	0.0137025	0.00649608	0.00657165	0.00784247	0.00554857	0.00364557	0.00520326	0.00488702	0.00912952	0.005189	0.0142388	0.00828993	0.012439	0.0045638	0.00547068	0.00268584	0.00240114	0.00209643	0.00111292	0.00107523
de	0.0399413	0.0255874	0.0278491	0.0252945	0.0266208	0.0259018	0.0252143	0.0437375	0.0515436	0.0487408	0.0345549	0.0464455	0.0632701	0.0356416	0.0163365	0.0143249	0.012068	0.0252797	0.0203214	0.0253479	0.0259731	0.0346541	0.040891	0.0558722	0.033083	0.0500662	0.0252868	0.0270628	0.0213993	0.0190998	0.0132039	0.0111346	0.00825161
foot-ball	0.00959611	0.0305321	0.0537113	0.0397187	0.0270116	0.0217548	0.0195514	0.0174579	0.015747	0.00966954	0.0121158	0.0278416	0.0335364	0.0316175	0.0261698	0.0210118	0.0235543	0.0243848	0.0179727	0.0268963	0.02465	0.0280735	0.0455768	0.0663568	0.0464721	0.059671	0.0478439	0.0354176	0.0285084	0.0308446	0.0207363	0.0411037	0.0348939
a	0.0284376	0.0498005	0.0424746	0.0241143	0.0202429	0.0228043	0.0213139	0.0249264	0.0224649	0.0229999	0.0258352	0.0268174	0.0327046	0.0433536	0.0486058	0.0404778	0.063191	0.0499285	0.0299003	0.0337324	0.0262184	0.0169166	0.018856	0.0202253	0.0144223	0.0153867	0.0124009	0.0125034	0.0116144	0.0249352	0.0266716	0.0319817	0.0937415
eu	0.0322391	0.0252078	0.0226393	0.0197278	0.0177391	0.0174932	0.0133581	0.0164331	0.0185405	0.0185555	0.0154773	0.0136862	0.0180439	0.0190731	0.0342494	0.036053	0.0348889	0.0396271	0.0433638	0.0518015	0.0379726	0.0296853	0.0268586	0.0426384	0.0266139	0.0337509	0.0314538	0.0352923	0.0347449	0.0418621	0.04141	0.0393011	0.0702184
lieu	0.0241681	0.0189607	0.0162899	0.0149751	0.0139883	0.0151901	0.0123501	0.0203836	0.0212161	0.0126248	0.0162468	0.0124985	0.012643	0.0132117	0.0217335	0.0229015	0.0226025	0.0292618	0.0378172	0.039526	0.04177	0.0442406	0.035884	0.0520892	0.0413493	0.0488784	0.0441598	0.0478795	0.0471745	0.0483529	0.0438814	0.0413015	0.0644498
hier	0.0194205	0.016271	0.0155329	0.0155817	0.0167513	0.0186282	0.0151011	0.0185713	0.0174214	0.0146128	0.0140345	0.0161232	0.0177772	0.0184676	0.0215683	0.0220572	0.0229061	0.0255794	0.0383436	0.0360813	0.0283736	0.0323645	0.0296237	0.0341033	0.0387752	0.0351467	0.0463112	0.0517052	0.0524547	0.0403378	0.0611804	0.0591546	0.0896384
à	0.0387549	0.0330159	0.0307237	0.0286387	0.0254138	0.0221853	0.0111558	0.007445	0.00669328	0.00437644	0.00491511	0.0101865	0.0135662	0.0168839	0.0187856	0.0203166	0.0185116	0.0168025	0.0180395	0.016284	0.0190799	0.0291456	0.0240329	0.0221626	0.0295764	0.034797	0.0387038	0.0443078	0.0535224	0.0536703	0.0739801	0.0901298	0.124197
nganya	0.0468558	0.0394906	0.0333705	0.026492	0.0179912	0.00831227	0.00377245	0.00285964	0.00268523	0.00223558	0.00240443	0.00443594	0.00607146	0.0115102	0.0176063	0.0189583	0.0287909	0.0286843	0.0290501	0.0235161	0.0217931	0.0278833	0.0209883	0.015008	0.0197446	0.0204348	0.022863	0.0383601	0.0684305	0.0694086	0.100675	0.0964925	0.122825
</S>	0.04523	0.0402043	0.0353044	0.0296568	0.0225232	0.0173586	0.00900556	0.00508453	0.00428393	0.0026405	0.00283087	0.00436051	0.00589674	0.00985538	0.0177469	0.0108462	0.0171191	0.0133274	0.0143915	0.0151473	0.0280252	0.0349137	0.0406014	0.0303373	0.041542	0.035887	0.0388829	0.0394591	0.0509122	0.0551468	0.0806033	0.0779076	0.122968
