 	m	w	á	n	a	o	y	ú	r	u	y	é	é	s	ε	r	í	n	ω	n	g	á	a	d	í	e	y	ε	l	ε	m	w	ε	</S>
la	0.00461919	0.0169607	0.00881344	0.00662004	0.0101895	0.0106239	0.00967042	0.0121068	0.0316295	0.0232365	0.0267569	0.0280385	0.0290334	0.0246305	0.0476752	0.0793521	0.062865	0.0421032	0.053519	0.0444427	0.0420763	0.035298	0.0427338	0.043022	0.0374863	0.0353313	0.0302738	0.0256477	0.0238625	0.0148778	0.018305	0.0314639	0.024195	0.0225403
fille	0.104542	0.0836235	0.0305392	0.188681	0.041817	0.168037	0.0848652	0.056291	0.0264074	0.0122155	0.00546886	0.00549799	0.00974645	0.00212934	0.0037976	0.00326571	0.00193649	0.00158214	0.00230057	0.00121349	0.00309062	0.00439543	0.0152099	0.0213291	0.0221264	0.0121646	0.0105903	0.0147304	0.00983934	0.0282464	0.0145438	0.00623725	0.00237764	0.0011619
que	0.0270843	0.0457502	0.0396591	0.0315293	0.0278343	0.02036	0.0193657	0.0120719	0.0109773	0.0201902	0.0213583	0.0195671	0.0149702	0.0278841	0.0170786	0.0196295	0.0465874	0.0400457	0.0309274	0.029617	0.0232012	0.0466675	0.0475214	0.0708487	0.0748465	0.0570361	0.0543689	0.0335992	0.0212738	0.0113456	0.0120512	0.00878128	0.0102931	0.00567783
tu	0.0363923	0.0358175	0.0294937	0.0265188	0.0182519	0.0199952	0.0222358	0.0185077	0.0198043	0.02098	0.0214083	0.0137721	0.0609932	0.0184797	0.0306389	0.0508726	0.0477626	0.0318656	0.0189091	0.0176767	0.0162003	0.018019	0.0156554	0.0190132	0.0257032	0.0248373	0.0281794	0.0286637	0.032157	0.0334676	0.0428528	0.0373181	0.0582851	0.059272
m'	0.072211	0.0453483	0.0387481	0.0346425	0.0256182	0.0229503	0.0259771	0.0282283	0.0257306	0.047642	0.0445632	0.0481163	0.0422668	0.0311554	0.024191	0.0253891	0.0280527	0.0210855	0.0405502	0.0227711	0.0230561	0.0214554	0.0207382	0.0178193	0.0215678	0.0158717	0.0163883	0.0146486	0.0114437	0.00916411	0.0111635	0.0141823	0.0271147	0.0801487
as	0.0441183	0.0357623	0.0316637	0.0354371	0.0256361	0.0261218	0.0298772	0.0332995	0.0352231	0.0295942	0.0406578	0.0597433	0.0468579	0.0304234	0.0239323	0.0173692	0.0167554	0.0172566	0.0218433	0.0130425	0.0172401	0.0195088	0.0292337	0.0294816	0.0408477	0.0275208	0.0257808	0.0292852	0.0246012	0.0240975	0.0187673	0.0193537	0.020763	0.0589037
proposée	0.106788	0.0513766	0.0356934	0.0319201	0.0341386	0.0399189	0.0361751	0.0291894	0.0285802	0.030134	0.0288217	0.0661001	0.0379464	0.0233248	0.0173746	0.0129674	0.0129286	0.0113883	0.0143655	0.00660941	0.00758331	0.00606934	0.00871418	0.0200056	0.0361388	0.0288408	0.0171378	0.019357	0.0181254	0.0254158	0.0235119	0.0218326	0.0278297	0.0836967
est	0.0426684	0.026448	0.018196	0.0223596	0.0145451	0.0122349	0.0109335	0.0234108	0.0274605	0.0391019	0.0331059	0.0540605	0.0492082	0.0370781	0.0355998	0.0318748	0.0355554	0.0325269	0.0386697	0.0258689	0.0279577	0.0287178	0.0160704	0.0193549	0.0214635	0.0169729	0.0216408	0.0288268	0.0275056	0.0282805	0.0292887	0.023612	0.031293	0.0681085
encore	0.0541696	0.0369247	0.0347945	0.0190407	0.0256198	0.0251062	0.0245993	0.0163586	0.0169221	0.0152089	0.0191245	0.0213455	0.0265722	0.014705	0.01578	0.0134131	0.0141578	0.0149235	0.023249	0.0128287	0.0172167	0.00919957	0.0134303	0.0172918	0.018041	0.0110179	0.0177853	0.0293444	0.0437311	0.0649906	0.0737207	0.0630031	0.0806971	0.0956866
mineure	0.0346213	0.035111	0.03191	0.0271818	0.0254434	0.015391	0.0218082	0.0148281	0.0118878	0.0185554	0.014738	0.0220239	0.0293946	0.0248774	0.0201887	0.0177612	0.0195858	0.026111	0.0448863	0.0506984	0.0443824	0.0246458	0.0343144	0.0339736	0.045316	0.0343006	0.0308847	0.0273205	0.030063	0.0348446	0.0285253	0.0264269	0.0372721	0.0607268
</S>	0.0718982	0.067912	0.0649904	0.0587456	0.0454491	0.0309913	0.0315044	0.0214901	0.0159589	0.0175897	0.0155044	0.0137292	0.0148738	0.00819279	0.00837276	0.00846925	0.00798155	0.00938803	0.0143031	0.0143737	0.0206048	0.0163476	0.0117932	0.02515	0.0288682	0.0220676	0.022572	0.027016	0.0291998	0.0391692	0.054657	0.0420057	0.0491073	0.0697233
