 	á	b	o	m	i	m	b	ω	m	ω	ó	k	ó	ó	y	e	e	d	z	w	á	l	o	k	y	ε	s	í	</S>
on	0.26064	0.0931525	0.0204982	0.0147241	0.013975	0.0237099	0.026393	0.0236682	0.024921	0.0303506	0.0195037	0.0230572	0.0163015	0.0186245	0.016347	0.025462	0.0261183	0.033662	0.0346571	0.0448244	0.0401088	0.0268543	0.0248372	0.0231205	0.0162811	0.0189147	0.0180482	0.0212257	0.0200199
a	0.122182	0.0951078	0.0825975	0.0397184	0.0543342	0.0677895	0.0467769	0.0544494	0.0668168	0.0645016	0.0385073	0.033891	0.0144844	0.0276877	0.0285925	0.0262692	0.030619	0.0193047	0.0162438	0.0145857	0.00753406	0.00507039	0.00485153	0.00593331	0.00314417	0.00563794	0.00489384	0.00758142	0.0108935
tué	0.0181	0.0241623	0.0462821	0.0398499	0.0491546	0.0462994	0.0456866	0.0486688	0.0606072	0.0538683	0.0500297	0.0656845	0.0740641	0.119844	0.0486934	0.0486017	0.0287847	0.0245611	0.0161265	0.0148723	0.00934581	0.00716366	0.00891975	0.00630798	0.0067943	0.00809139	0.00799691	0.0105281	0.0109106
le	0.0208021	0.023772	0.0231012	0.0193027	0.0241844	0.026375	0.0236408	0.0275975	0.0405981	0.0531525	0.0281559	0.0195813	0.0188965	0.0175978	0.0259382	0.0216179	0.0619297	0.0507965	0.0471726	0.0460276	0.0443169	0.0249088	0.0282656	0.0346656	0.0393396	0.040654	0.048519	0.0434457	0.0756445
python	0.0134977	0.0165282	0.0401525	0.0341404	0.0378697	0.0326946	0.0302353	0.0326526	0.0383801	0.0285478	0.0197783	0.0236526	0.0344254	0.0505883	0.0539696	0.0542101	0.0313229	0.0201157	0.0289241	0.0279657	0.0241993	0.0145811	0.0409952	0.0314358	0.0332456	0.0536095	0.0387348	0.0487328	0.0648141
sur	0.0129775	0.00880614	0.0125739	0.0138539	0.0124843	0.0139489	0.0160365	0.0175711	0.0186617	0.0234083	0.033192	0.0477373	0.066483	0.0501802	0.0542813	0.0292918	0.0474022	0.0394369	0.0324901	0.0217903	0.0250817	0.0349209	0.0610799	0.039833	0.0586189	0.0559931	0.0488572	0.0481713	0.0548367
le	0.0266825	0.0212455	0.0257306	0.0302763	0.0323463	0.0400442	0.0338701	0.0321346	0.0286179	0.0373182	0.0343113	0.0349493	0.0434998	0.032092	0.0209966	0.0199267	0.0137593	0.00777099	0.0114488	0.0220561	0.0285284	0.0310682	0.0385179	0.0322898	0.0497394	0.0464779	0.0516249	0.0585361	0.11414
chemin	0.0197264	0.0199904	0.0201276	0.0233651	0.0262189	0.0289061	0.0270755	0.0246822	0.0234703	0.0249286	0.0258332	0.0345353	0.0386521	0.0265852	0.0237711	0.0212188	0.0296747	0.0206263	0.0337922	0.0400867	0.0354117	0.0328756	0.0376466	0.0472208	0.0466484	0.0544759	0.0550972	0.0614629	0.0958941
qui	0.0221097	0.0221202	0.0202839	0.0209013	0.0214442	0.0205375	0.0200566	0.0198785	0.0188128	0.0197372	0.0227482	0.0391105	0.0406293	0.0346173	0.0295206	0.0224072	0.0254653	0.01983	0.0300844	0.0377304	0.0291017	0.0277803	0.0416968	0.0482314	0.0483187	0.0669675	0.0659549	0.069196	0.0947277
mène	0.0293006	0.0273765	0.0265633	0.0248949	0.0261375	0.0200016	0.0144242	0.00899707	0.00731771	0.0066071	0.00802428	0.0108662	0.0136365	0.0152986	0.0190723	0.0214701	0.024697	0.0137901	0.0217514	0.0352298	0.046695	0.0533781	0.0563673	0.0554791	0.0748354	0.0732734	0.0833263	0.0838768	0.097312
au	0.0421005	0.0335259	0.0295646	0.0278245	0.0305445	0.0228499	0.0194771	0.0150437	0.0138377	0.0158257	0.0188245	0.0257592	0.0278381	0.0283618	0.0274796	0.0318573	0.04302	0.0297622	0.0314461	0.0326411	0.0332935	0.0393547	0.0361889	0.0430362	0.0502505	0.0463837	0.054082	0.0554204	0.0944062
ruisseau	0.033422	0.0299484	0.0257505	0.0201388	0.0242771	0.0140665	0.0131119	0.0121266	0.0108234	0.00746028	0.00958141	0.0144138	0.0150677	0.022245	0.0277715	0.02726	0.0279054	0.0240661	0.0335779	0.0301435	0.0412945	0.0508336	0.0343312	0.0445965	0.0534222	0.055762	0.0725777	0.0927003	0.131324
</S>	0.0503441	0.0367446	0.0325623	0.0269817	0.0306681	0.0141489	0.0108831	0.0114883	0.00977795	0.0089403	0.0139603	0.0257311	0.0253876	0.0396157	0.0379128	0.0558424	0.0398874	0.0318263	0.0338217	0.031262	0.0200151	0.0204048	0.0218683	0.0228248	0.0415021	0.0412195	0.0599759	0.0736355	0.130767
