 	o	m	e	i	a	s	í	n	i	m	έ	ε	a	d	í	e	b	a	a	m	i	</S>
le	0.00977816	0.0142154	0.0109816	0.0124132	0.0144758	0.0282413	0.0200233	0.0304537	0.0417866	0.0454062	0.0655288	0.124309	0.0631175	0.0712465	0.0451528	0.0468184	0.0471884	0.0733703	0.0833982	0.0523351	0.0449412	0.0548186
testeur	0.0243242	0.0409006	0.0606499	0.113283	0.0419483	0.0469675	0.0598669	0.0481117	0.0396243	0.0883676	0.0375081	0.073112	0.0392074	0.0429616	0.0506133	0.0420122	0.0290864	0.0409864	0.0210053	0.0421706	0.00361414	0.0136786
de	0.123538	0.0467462	0.0290969	0.0345771	0.0406832	0.0236658	0.0418944	0.0367715	0.0282307	0.0446529	0.0477582	0.060543	0.0930361	0.0684018	0.0735016	0.0552769	0.0292255	0.0273449	0.0219615	0.028279	0.0276112	0.0172039
cette	0.0236152	0.0178295	0.0304066	0.0340281	0.0311	0.0274617	0.0293403	0.0408745	0.0641452	0.0295735	0.030042	0.0322215	0.0268402	0.0231723	0.027465	0.0283872	0.0456902	0.0993761	0.121242	0.0708696	0.0724791	0.0938401
machine	0.0471018	0.0334985	0.0370117	0.0419142	0.0548881	0.0422941	0.0315867	0.028992	0.0309052	0.0245274	0.0267374	0.0229563	0.0357728	0.0326736	0.0473182	0.0626055	0.0782615	0.071585	0.0514371	0.063066	0.0536335	0.0812336
est	0.146874	0.106243	0.101614	0.0672726	0.0502347	0.0299141	0.0192386	0.0172089	0.0152854	0.0131999	0.0161535	0.030512	0.0371514	0.0326691	0.0356862	0.0458601	0.038838	0.0488544	0.0226157	0.0461279	0.033069	0.0453779
un	0.240291	0.124362	0.13112	0.0799959	0.0399454	0.0200329	0.0104595	0.0138869	0.0136243	0.0146308	0.017205	0.0312535	0.0234075	0.0115023	0.0124204	0.0247882	0.0193406	0.0356621	0.00627352	0.0381314	0.0204207	0.0712468
homme	0.199442	0.227048	0.17588	0.114241	0.0392482	0.0122106	0.0108983	0.0177777	0.0133363	0.0187643	0.0177391	0.0183376	0.00499458	0.00309196	0.003106	0.00652493	0.00532254	0.0074873	0.00216405	0.0104258	0.00932783	0.082633
blanc	0.254019	0.122349	0.0719009	0.0251146	0.0130272	0.00982303	0.010403	0.0105332	0.00971607	0.00753419	0.00852812	0.00859739	0.00990455	0.00692798	0.00692455	0.0161337	0.0185646	0.0319978	0.00950386	0.0545564	0.108768	0.185172
</S>	0.256631	0.137588	0.0890879	0.0448016	0.0135827	0.00783563	0.0062401	0.00667207	0.00679733	0.00601397	0.00589534	0.00768773	0.00645615	0.00444522	0.00458187	0.0113963	0.0160899	0.025777	0.0100224	0.0485784	0.0680852	0.215734
