 	b	á	a	t	ó	n	g	á	i	k	ω	n	y	i	m	ó	m	b	á	á	</S>
on	0.196114	0.332419	0.128359	0.0443733	0.029188	0.0284246	0.0330553	0.0299415	0.0299551	0.0242546	0.0134686	0.0126639	0.014159	0.0133971	0.0110447	0.0115703	0.00903478	0.0119271	0.0103952	0.00786936	0.00838622
fabrique	0.0249548	0.0188918	0.0303046	0.0272767	0.0334019	0.0690513	0.0718347	0.0997059	0.121449	0.127775	0.162614	0.103003	0.0330392	0.00912577	0.0170956	0.014947	0.00701009	0.00732797	0.00577974	0.00690811	0.00850402
les	0.0303597	0.0247916	0.0316673	0.0278623	0.0174172	0.0305769	0.0599666	0.0950817	0.0704666	0.0863367	0.0863163	0.074211	0.0750471	0.070544	0.068917	0.0343582	0.0260476	0.0217512	0.0224377	0.0263365	0.019507
nasses	0.0227585	0.0216749	0.0379243	0.0649	0.0448651	0.0409318	0.0409319	0.0427646	0.0575157	0.0495321	0.0530148	0.0464795	0.0510693	0.0532581	0.0298757	0.0492022	0.0339635	0.0317135	0.0550643	0.071888	0.100672
à	0.0218091	0.0105046	0.011512	0.016629	0.0191142	0.020842	0.0190425	0.019375	0.0183698	0.018867	0.0180965	0.0173186	0.0233339	0.04305	0.0279996	0.114112	0.103682	0.125466	0.152469	0.11068	0.0877272
l'	0.0427204	0.0269663	0.0244168	0.0414984	0.0480387	0.0490845	0.0418447	0.0385252	0.0371362	0.0349495	0.0227928	0.0284733	0.0454979	0.0465588	0.0423337	0.0581121	0.0550273	0.0650059	0.0725097	0.0664366	0.112071
aide	0.0388379	0.0331086	0.0269972	0.0355936	0.029371	0.0285451	0.024169	0.0199479	0.0232892	0.0259844	0.0414755	0.0586583	0.102057	0.0506204	0.0491932	0.0636893	0.0532693	0.0669649	0.0633201	0.0733588	0.0915491
de	0.0195481	0.0235358	0.019654	0.0241789	0.0240398	0.0277132	0.0258925	0.0226613	0.0239282	0.0370395	0.0399727	0.0367947	0.036622	0.0540166	0.0441559	0.0697274	0.0621176	0.0818326	0.0826251	0.100343	0.143601
l'	0.0376072	0.0334206	0.0325048	0.0343464	0.0391002	0.037204	0.0302727	0.0201231	0.0205774	0.0139453	0.0144478	0.0136756	0.0206359	0.0370628	0.0446954	0.0617623	0.0799845	0.0855065	0.107633	0.108823	0.126672
écorce	0.0597149	0.0513455	0.0478855	0.0397326	0.0256015	0.0208229	0.0187879	0.0176304	0.0184267	0.0139697	0.0148128	0.0117018	0.0179924	0.0279272	0.0293541	0.0384707	0.0485397	0.0546141	0.113884	0.11007	0.218716
du	0.0516238	0.0373881	0.0367184	0.0361012	0.0354238	0.0356893	0.04272	0.0517903	0.042174	0.0527354	0.0501123	0.0318706	0.0191156	0.027082	0.017767	0.0443392	0.0376113	0.0346598	0.0742606	0.0905346	0.150283
bambou	0.185298	0.087859	0.0629177	0.0479513	0.0236426	0.0213277	0.0208929	0.0233988	0.0310978	0.0326477	0.0458198	0.0250703	0.016555	0.00930104	0.0104388	0.0189505	0.0229489	0.0250874	0.0528046	0.054583	0.181407
</S>	0.0975832	0.0397073	0.0331929	0.0337871	0.0311777	0.0340929	0.035297	0.039172	0.0435026	0.0455092	0.0476293	0.0316001	0.021295	0.0193024	0.0243505	0.041006	0.037575	0.0430726	0.071785	0.0632981	0.166064
