 	m	á	p	a	m	á	a	b	ó	m	b	í	n	ω	á	s	á	a	a	t	s	i	i	n	a	</S>
le	0.0160075	0.0232904	0.0183531	0.0135022	0.0128759	0.0161478	0.0141737	0.0153684	0.0191703	0.0239975	0.0551088	0.0625765	0.0535066	0.0528006	0.0547856	0.0563933	0.0462901	0.0431291	0.0497131	0.0462812	0.0570933	0.0672252	0.047314	0.0525683	0.0476356	0.034692
pain	0.016718	0.0560037	0.104927	0.12374	0.227697	0.0940333	0.0641143	0.0368362	0.0547791	0.0456465	0.0331681	0.0225956	0.0191237	0.0113628	0.0142257	0.00632517	0.00727647	0.00624758	0.00683952	0.00572973	0.00990302	0.0133926	0.0122945	0.003804	0.00218041	0.00103592
que	0.0545734	0.0365822	0.0256597	0.0242175	0.0240445	0.0285221	0.0174153	0.0150894	0.0212309	0.0263214	0.028941	0.0378742	0.0393627	0.0243727	0.0429028	0.0358288	0.0702562	0.0996092	0.0730863	0.105505	0.0671371	0.0283418	0.0243113	0.0217777	0.0181294	0.00890769
tu	0.0510715	0.0424078	0.039693	0.0396536	0.0250818	0.0176967	0.0136856	0.0128386	0.0112143	0.0127316	0.0201128	0.0160482	0.0219089	0.0201252	0.0139025	0.0161097	0.0157026	0.0195824	0.0168296	0.0222413	0.0265542	0.0301716	0.0680149	0.0943075	0.102562	0.229752
as	0.0699538	0.0771624	0.0801083	0.0616068	0.0697098	0.0701697	0.0475321	0.0275489	0.0140143	0.0168285	0.0150305	0.0111328	0.0123037	0.0120018	0.019261	0.0174729	0.0313876	0.0349237	0.0357201	0.0331864	0.0289826	0.0228499	0.0275241	0.0343504	0.0329513	0.0962869
gardé	0.0421442	0.0445834	0.0422258	0.0416351	0.0494896	0.0535184	0.0554931	0.0379637	0.0169025	0.0125436	0.00981426	0.00935233	0.00911666	0.00815814	0.0121886	0.0140847	0.0317788	0.0614051	0.0500489	0.0702948	0.0573704	0.0518585	0.0536855	0.05359	0.0533412	0.0574127
est	0.0459305	0.0469471	0.039312	0.0409615	0.0390324	0.0340168	0.0323641	0.0262983	0.0222834	0.0235593	0.0207576	0.0208686	0.0228046	0.0219035	0.0237933	0.021702	0.0381497	0.035672	0.0347755	0.0384794	0.0391449	0.0380118	0.0456598	0.058281	0.0676555	0.121635
encore	0.049733	0.0542695	0.0605243	0.0622212	0.0682515	0.0498945	0.0430729	0.0209097	0.0203845	0.0199657	0.0151995	0.0118426	0.0124956	0.00868237	0.0060185	0.00697758	0.0106932	0.00967459	0.0195877	0.0243952	0.0317033	0.0358295	0.0462203	0.0588607	0.0880886	0.164504
entier	0.0687716	0.0474832	0.0506451	0.0457708	0.0494493	0.0343284	0.0337246	0.027558	0.0273619	0.0259285	0.0257812	0.0172101	0.0180194	0.0149035	0.0117071	0.0119711	0.0169519	0.0158709	0.0193914	0.0203072	0.025168	0.0194107	0.0414929	0.0563763	0.0900714	0.184345
</S>	0.0835059	0.0445031	0.0386431	0.0331016	0.0311226	0.0201953	0.0218788	0.0196765	0.0220782	0.0196024	0.0174938	0.0113403	0.00880967	0.0074767	0.0103177	0.013997	0.0249033	0.0261153	0.0288458	0.031497	0.0429853	0.0391002	0.0768265	0.0920903	0.0972785	0.136615
