 	t	s	í	n	a	n	d	e	n	ω	ó	m	i	y	i	r	á	n	g	á	m	b	v	u	ú	s	á	w	á	r	e	k	ω	m	i	i	p	έ	n	ω	m	b	ώ	n	g	ω	</S>
pourquoi	0.0369609	0.0262225	0.0401281	0.0576272	0.0922159	0.0739259	0.0613828	0.0456946	0.0422253	0.0397392	0.0372113	0.0266972	0.0160081	0.0152965	0.0144517	0.00966595	0.0112178	0.00912485	0.00870301	0.010303	0.0123121	0.0120906	0.0150933	0.010686	0.010872	0.00942866	0.0110636	0.0131613	0.0101614	0.0114841	0.0114369	0.011803	0.011031	0.0157676	0.0120516	0.0133014	0.0116899	0.0102836	0.010709	0.0101857	0.00931284	0.00956399	0.00902621	0.0126791	0.0228462	0.0136271	0.0135301
tu	0.0850707	0.0769309	0.042495	0.0396689	0.0596009	0.0418971	0.0270005	0.0188276	0.0239966	0.0195052	0.0141625	0.0148436	0.0258533	0.0424569	0.0472307	0.0281401	0.0218489	0.024535	0.014562	0.0318418	0.0201984	0.0131437	0.0117275	0.00768222	0.0106021	0.0122875	0.0142695	0.0202981	0.0149843	0.0126301	0.00903546	0.0211712	0.00856151	0.00393868	0.0203083	0.00629189	0.00631335	0.00640363	0.00572618	0.00815451	0.0095614	0.00730067	0.00864495	0.0098463	0.00814816	0.00545516	0.0168472
me	0.0431282	0.0441217	0.050551	0.0485347	0.043606	0.041008	0.0478255	0.0341927	0.0341941	0.0271909	0.0228695	0.0184378	0.0255418	0.0195026	0.0213646	0.0225228	0.0235134	0.0265625	0.0436368	0.0246427	0.0244828	0.0200001	0.0156914	0.01535	0.00841768	0.0100087	0.00988828	0.0132881	0.0165433	0.00919035	0.00916739	0.00798893	0.00678526	0.00726173	0.00777125	0.00572336	0.00843386	0.00806076	0.0105213	0.0118402	0.0123565	0.0135324	0.0138486	0.0147462	0.0168849	0.0121195	0.02715
harcèles	0.0893014	0.0622751	0.0457502	0.0431462	0.0400269	0.0348972	0.032653	0.0317619	0.0298729	0.0283645	0.0312336	0.0233687	0.0256709	0.016978	0.0135608	0.0104135	0.00717939	0.0128492	0.00678137	0.0101464	0.0102145	0.0109227	0.0113781	0.00634565	0.0112087	0.0100168	0.00978008	0.0151258	0.00881218	0.00879521	0.00925538	0.00941736	0.0109032	0.00701338	0.0113009	0.0143217	0.00987269	0.0126635	0.0396172	0.0275571	0.0261898	0.025098	0.0343453	0.0125996	0.0135925	0.0125895	0.0248321
pour	0.0151021	0.0150098	0.0163228	0.0188837	0.0228268	0.029421	0.0298326	0.0304552	0.0280288	0.0229757	0.0186171	0.01731	0.0194215	0.0122675	0.0104596	0.0123967	0.0122744	0.0191547	0.0251841	0.0290845	0.0374995	0.0476913	0.0364644	0.0313919	0.0256898	0.0247575	0.019383	0.0188997	0.0284212	0.0321799	0.0256801	0.0235261	0.0201067	0.0164632	0.0151268	0.00939908	0.0108935	0.00784608	0.0117621	0.00978766	0.0129652	0.0158119	0.017521	0.0141909	0.0224407	0.022275	0.0367973
te	0.0233549	0.0208651	0.0194464	0.0220439	0.0218959	0.0274603	0.0286265	0.0312436	0.0286389	0.0286289	0.0236417	0.0210169	0.0233803	0.0223316	0.0255244	0.0304477	0.0291881	0.0287173	0.0275872	0.0198918	0.0171313	0.0167141	0.0199329	0.0172304	0.0167881	0.018825	0.0190292	0.0253023	0.0220242	0.0201838	0.0214961	0.0178644	0.0151433	0.0132085	0.0130045	0.0125901	0.0107529	0.00950664	0.0101063	0.0075529	0.0109137	0.0155984	0.0147278	0.013411	0.0272133	0.0279549	0.0618621
donner	0.0193604	0.0159588	0.0129495	0.0134328	0.0124147	0.0133289	0.0132897	0.0127222	0.0118143	0.00945391	0.00872908	0.00796125	0.0113331	0.0119413	0.015057	0.0258822	0.0296029	0.0414874	0.0476823	0.052556	0.035494	0.0392923	0.0425954	0.0419545	0.0397002	0.0365101	0.0398172	0.0341908	0.0239796	0.0191474	0.0145989	0.0158649	0.00958393	0.0105654	0.0109001	0.00985148	0.00915269	0.00881699	0.00997885	0.0104683	0.0117042	0.0125088	0.0120267	0.0176061	0.0294146	0.0248845	0.0424342
de	0.0166401	0.00810709	0.00649222	0.00783156	0.010625	0.014599	0.018516	0.0143439	0.0113329	0.00866807	0.0113413	0.0128968	0.0128959	0.0106301	0.0123635	0.0147371	0.0154436	0.0194735	0.0299766	0.0273413	0.028892	0.0302867	0.0313981	0.0302167	0.0274784	0.029311	0.0346499	0.0270027	0.0219372	0.0203172	0.0151215	0.0211144	0.0175506	0.01944	0.0190734	0.0166236	0.018169	0.0244083	0.0267155	0.0330159	0.0337549	0.0321984	0.0318834	0.0329735	0.0237075	0.032176	0.0363288
l'	0.0547446	0.026321	0.0202148	0.0206583	0.0205957	0.00922607	0.00974832	0.0094977	0.0093466	0.00668505	0.0116349	0.0134242	0.0215171	0.01285	0.0170738	0.0182287	0.0175472	0.0232706	0.0287965	0.0313084	0.0285359	0.0321141	0.0308092	0.0287186	0.0239823	0.0228691	0.0218301	0.0158745	0.00999389	0.00850083	0.00735053	0.00746141	0.00754379	0.00883953	0.00661103	0.0119513	0.00627618	0.00943918	0.0169164	0.0175093	0.0185073	0.0196767	0.027128	0.0336009	0.0487528	0.0496195	0.0968981
argent	0.0183147	0.0170348	0.0165368	0.0159992	0.0131042	0.00645285	0.00502838	0.00394393	0.00377329	0.00427971	0.00418312	0.00587497	0.00568532	0.00465695	0.0061362	0.006684	0.00715181	0.01031	0.0153216	0.0156401	0.0214746	0.0316001	0.0274122	0.032688	0.0297545	0.0289555	0.0251503	0.0136114	0.0118365	0.015082	0.0138586	0.015189	0.015635	0.0186661	0.0143304	0.0161737	0.0153895	0.0187728	0.0196923	0.0429067	0.0379571	0.0416688	0.055699	0.0638882	0.0581541	0.0599683	0.0683734
