 	i	b	a	a	á	d	z	a	l	á	a	n	y	w	á	m	b	έ	ε	y	á	w	a	ó	t	s	ω	p	í	</S>
l'	0.0130472	0.0137646	0.0100534	0.00873804	0.0128357	0.0125535	0.0120114	0.0203333	0.0197018	0.0168688	0.0509496	0.0412373	0.0647842	0.0805037	0.0601207	0.0613367	0.0451417	0.0533186	0.0533039	0.0401929	0.0244932	0.0450158	0.0389899	0.0431026	0.0316743	0.0363957	0.0319507	0.0226999	0.0195782	0.0153025
homme	0.183187	0.321858	0.169131	0.0847033	0.0485997	0.0549977	0.0227855	0.00299313	0.00565156	0.00337421	0.00927129	0.00291745	0.00190795	0.00124873	0.00270298	0.00467519	0.00166636	0.0110634	0.0089847	0.00564074	0.0100502	0.00406332	0.00449595	0.00488652	0.00495958	0.00675836	0.00511654	0.00713509	0.00317397	0.00200017
tirait	0.0692778	0.0228192	0.0257085	0.0207464	0.0193238	0.0473369	0.0227042	0.0353724	0.0296453	0.0358843	0.0495963	0.029529	0.0397941	0.0456205	0.0416333	0.0228463	0.0439956	0.0884056	0.0558824	0.0399692	0.0350366	0.029144	0.0511228	0.023209	0.0196909	0.0182562	0.0105495	0.0112439	0.0125402	0.00311568
calmement	0.0643632	0.0971764	0.0836223	0.0731692	0.045307	0.0426347	0.0518939	0.0410198	0.0510445	0.0501069	0.0511653	0.0383597	0.0362815	0.034698	0.022412	0.0147198	0.0357881	0.0196992	0.0126718	0.0165561	0.0167041	0.00719231	0.00557023	0.00629749	0.00530416	0.0138516	0.0113538	0.0151765	0.0189224	0.0169381
des	0.0486314	0.0441566	0.0288383	0.0260777	0.0211969	0.033674	0.0415837	0.0414854	0.0383023	0.0296686	0.0337171	0.0295299	0.0238074	0.0269682	0.0304271	0.0269892	0.0381517	0.0259402	0.02012	0.0277859	0.0366328	0.0177254	0.017893	0.0259093	0.0298889	0.0358354	0.0464845	0.0501059	0.0409351	0.061538
bouffées	0.0329161	0.0333516	0.0377038	0.0368022	0.0327834	0.0335295	0.0378655	0.0281362	0.0287854	0.0197253	0.0279785	0.0167617	0.0267082	0.0126292	0.0184238	0.0157626	0.0268561	0.0199876	0.0342626	0.0387671	0.042058	0.0318453	0.0395681	0.0433094	0.043299	0.043255	0.0433845	0.043578	0.0462183	0.0637481
de	0.0435888	0.0434244	0.051414	0.0505592	0.0432431	0.0438608	0.0424651	0.0277745	0.0390274	0.0240384	0.0303604	0.0192595	0.0232654	0.0101066	0.0120248	0.0142795	0.0159604	0.0105268	0.0195034	0.0160354	0.0180365	0.00735622	0.0143569	0.0334017	0.0384239	0.0432136	0.0493142	0.0561626	0.0664139	0.0926025
sa	0.0197458	0.0242634	0.0285977	0.0341067	0.0253686	0.0228833	0.0277774	0.0153089	0.0232866	0.0137323	0.015923	0.022744	0.0234158	0.0223216	0.0135843	0.0140927	0.0164257	0.0160972	0.0295972	0.0392504	0.0495458	0.00978659	0.0289759	0.0600346	0.0632327	0.0625598	0.0690414	0.0665411	0.0640924	0.077667
pipe	0.0345087	0.0343053	0.0407258	0.027109	0.0189866	0.0173973	0.0121725	0.00666397	0.00832734	0.00778338	0.0103559	0.00719642	0.00589223	0.00524266	0.00652108	0.0120615	0.0259176	0.0254683	0.027048	0.0200675	0.0232535	0.00715889	0.0159001	0.0387778	0.0516734	0.0793415	0.0995207	0.100292	0.104181	0.12615
</S>	0.0682681	0.0471222	0.0504675	0.0442188	0.0319262	0.0317209	0.0290734	0.0158235	0.0171105	0.0133373	0.0117124	0.0151695	0.0134001	0.0108936	0.010506	0.0123822	0.0329974	0.0160161	0.0297072	0.040926	0.0499047	0.00361129	0.0145679	0.0389081	0.0278362	0.0475267	0.0555262	0.0485682	0.0561715	0.1146
