 	n	g	ó	o	á	s	i	m	b	i	n	g	á	o	k	a	n	g	á	b	e	a	m	á	b	o	y	ó	</S>
ma	0.101894	0.101708	0.0213237	0.0156548	0.00875137	0.00636639	0.0118384	0.00831546	0.0111417	0.0191694	0.0222565	0.0374228	0.0389188	0.0466035	0.0530042	0.0475876	0.0505511	0.0462782	0.0433669	0.0432679	0.03463	0.0366582	0.0390197	0.0283596	0.026954	0.0244884	0.028764	0.0270882	0.0186171
mère	0.359666	0.185472	0.165209	0.0945981	0.0610654	0.0259713	0.0153405	0.00258621	0.0015065	0.00348611	0.00179368	0.00204973	0.00320477	0.00456125	0.00356697	0.00398027	0.00511705	0.00200451	0.00925323	0.00856985	0.0121853	0.00709416	0.00778274	0.00628919	0.00463727	0.00158907	0.000744663	0.000322389	0.000353523
m'	0.0186501	0.0286533	0.0406756	0.0486964	0.0218905	0.0169	0.0200942	0.0270658	0.0364894	0.0456775	0.0730349	0.121868	0.0929533	0.0323862	0.0488904	0.0462829	0.0328744	0.034485	0.0530487	0.0248716	0.02121	0.0254545	0.016704	0.020943	0.0145582	0.00829245	0.010483	0.00965232	0.00721427
a	0.0263259	0.0158077	0.0162383	0.0219195	0.0269857	0.0336411	0.0257108	0.0217354	0.0216982	0.0238362	0.029853	0.0436397	0.06488	0.0545876	0.0887821	0.0652517	0.0454944	0.0625843	0.0312383	0.0433348	0.0237519	0.033291	0.0198775	0.0210106	0.0187083	0.01774	0.022375	0.027708	0.051993
défendu	0.0276724	0.0158257	0.0207124	0.0286871	0.0158323	0.0256695	0.030342	0.0328812	0.0345411	0.0317348	0.0353013	0.0350918	0.0322647	0.0299793	0.0345787	0.0320942	0.0338359	0.0498942	0.0451268	0.0555589	0.0515243	0.0447192	0.0300775	0.0269733	0.031124	0.030949	0.0320404	0.0391028	0.0658652
d'	0.0165828	0.0107466	0.0112609	0.0239675	0.0184574	0.0332477	0.0384219	0.038271	0.0299507	0.0213916	0.0170492	0.0232979	0.0135164	0.0150125	0.0130115	0.00943802	0.00962724	0.0127746	0.0151552	0.0226286	0.0331487	0.0332251	0.049186	0.0613397	0.072078	0.0845581	0.0816031	0.0851852	0.105867
utiliser	0.0203257	0.0154052	0.0134803	0.0185626	0.014807	0.0203486	0.0235186	0.0227729	0.0227347	0.0219359	0.0305792	0.0293054	0.027961	0.0271539	0.0301611	0.0341615	0.0463108	0.0524285	0.0525225	0.0483467	0.0482096	0.0430811	0.0397142	0.0342093	0.0437653	0.0447432	0.0441865	0.0504358	0.0788329
les	0.0114953	0.01214	0.0100916	0.0148743	0.0190091	0.0267469	0.0281991	0.028085	0.0292415	0.0225608	0.0275355	0.0206191	0.0150054	0.0216057	0.0154702	0.0153787	0.0191941	0.0189168	0.0157524	0.0254879	0.0408683	0.0319397	0.0458269	0.053235	0.0634789	0.0710136	0.0789731	0.0877536	0.129502
feuilles	0.0228435	0.0209826	0.0209605	0.0225295	0.0181028	0.0182744	0.0158826	0.0149046	0.0113287	0.00771263	0.0091175	0.00754147	0.00738798	0.0107562	0.011656	0.00949632	0.0145516	0.0172455	0.0207691	0.0362638	0.0380008	0.0370227	0.0367017	0.0378044	0.0678755	0.101147	0.10373	0.120112	0.139299
aboyo	0.0654769	0.0315691	0.0414026	0.0323865	0.0384119	0.0522974	0.037329	0.033296	0.0211219	0.0118109	0.0181475	0.0122751	0.0093901	0.00635623	0.00923706	0.00877227	0.0100848	0.0120211	0.0090036	0.0182519	0.0182383	0.0142562	0.0200291	0.0230638	0.0347636	0.0502331	0.0525316	0.0830794	0.225163
comme	0.0373233	0.032279	0.0350294	0.0357524	0.0343487	0.0284861	0.0224697	0.0168681	0.0130718	0.010228	0.0184019	0.0104942	0.0120198	0.00926799	0.0160449	0.0169473	0.0232081	0.0295409	0.0182782	0.0467437	0.0299563	0.0348099	0.0314601	0.0464484	0.051176	0.0600231	0.0676576	0.0705243	0.141141
emballage	0.0317386	0.0307945	0.0307768	0.0295593	0.0213954	0.0137361	0.0129236	0.0125175	0.0121869	0.0120871	0.0129184	0.012439	0.0127119	0.0136587	0.0148553	0.0150637	0.0218294	0.0275374	0.0288687	0.0581811	0.0510977	0.0598041	0.0369854	0.0479548	0.0442245	0.0631589	0.0796209	0.0754959	0.115878
</S>	0.0902092	0.0442058	0.0591619	0.0405286	0.04408	0.0442469	0.033105	0.0336596	0.0237488	0.0153926	0.0301372	0.0142902	0.0126194	0.00800675	0.0135606	0.0125759	0.0158338	0.0223061	0.019179	0.0376309	0.0301231	0.0268527	0.0281448	0.0333873	0.0323057	0.0390715	0.0394874	0.0455236	0.110625
