 	y	á	n	g	a	l	á	í	d	i	s	á	k	ú	k	u	l	á	k	a	a	g	h	á	y	a	b	á	a	</S>
il	0.0300129	0.086035	0.0915286	0.0467365	0.038349	0.0301701	0.0275785	0.0273659	0.0397234	0.030728	0.0340181	0.0305537	0.0344066	0.0721603	0.0310538	0.0346363	0.0212024	0.0209103	0.0190879	0.0209371	0.0249884	0.0322284	0.0321346	0.0273182	0.0313166	0.0227897	0.0221998	0.0166343	0.0117509	0.0114447
fait	0.0834502	0.0337811	0.0244174	0.0366525	0.0345835	0.033735	0.0184474	0.0141342	0.0177109	0.0141877	0.0119064	0.00776725	0.00824753	0.015048	0.0097009	0.0104148	0.0142821	0.0188988	0.0210411	0.0243753	0.0386391	0.0638206	0.0646404	0.0836861	0.0547419	0.0678371	0.0332994	0.0558531	0.0494102	0.0352897
chaud	0.0516035	0.0286464	0.0340245	0.0401787	0.0575255	0.0399546	0.0495357	0.075771	0.0500438	0.0469654	0.0631298	0.0298757	0.0373742	0.0371549	0.0231879	0.0259904	0.0267383	0.0312757	0.0197884	0.0274922	0.0258325	0.0235794	0.0161626	0.0201788	0.0154495	0.0189504	0.0266791	0.0217828	0.0217778	0.0133506
dans	0.0292538	0.0266375	0.0233436	0.032341	0.0299928	0.0224791	0.0251166	0.0319459	0.0308393	0.0279141	0.0274322	0.0132814	0.02058	0.0238927	0.0177262	0.0351056	0.041477	0.0272344	0.0307161	0.0330039	0.0337726	0.0320917	0.0300594	0.0305433	0.031235	0.043399	0.0378947	0.0412789	0.0734961	0.095916
la	0.0252954	0.0224864	0.0200252	0.0289835	0.0295112	0.0273155	0.0240654	0.0188049	0.017073	0.0167146	0.0260492	0.0119088	0.0198427	0.0276863	0.01616	0.0368632	0.0295672	0.0325285	0.0565353	0.04483	0.0639823	0.0436173	0.0388526	0.0304256	0.0405681	0.0402112	0.040191	0.0377949	0.0486427	0.0834676
cuisine	0.0290352	0.0144729	0.00931465	0.01481	0.0247636	0.0294319	0.0338995	0.023765	0.0313189	0.0311747	0.0469095	0.0434917	0.0525534	0.0564409	0.0548232	0.0571324	0.0440473	0.0452477	0.0350994	0.0204788	0.0265479	0.0161102	0.0182819	0.0162416	0.0230309	0.0262001	0.0229835	0.0258807	0.029249	0.0972636
de	0.0136884	0.010447	0.00976786	0.0135524	0.0185574	0.0225345	0.0261108	0.0154066	0.0194816	0.0170146	0.0365741	0.0332795	0.0310429	0.0308149	0.0289861	0.0369973	0.0256703	0.0305036	0.0540335	0.0361245	0.0544674	0.0437532	0.0448366	0.0421801	0.0558917	0.0471513	0.0418753	0.0452218	0.0425032	0.0715315
leur	0.0410026	0.0199621	0.018598	0.0334404	0.0271598	0.0225816	0.0242923	0.0167717	0.0136683	0.0132929	0.0144186	0.0159793	0.0183396	0.0201734	0.0219022	0.0184135	0.0163717	0.0213817	0.0169345	0.0152184	0.0248092	0.0304323	0.0395209	0.0452014	0.0505665	0.0739846	0.0662025	0.0729047	0.0823521	0.104123
grand-mère	0.0573178	0.023109	0.0335088	0.029632	0.023019	0.0190138	0.0176569	0.0113821	0.00861295	0.00893399	0.0105685	0.00678947	0.0129483	0.0174082	0.0158414	0.013228	0.0185807	0.0190817	0.0164093	0.0191673	0.0312891	0.0339797	0.0390334	0.0445044	0.0515999	0.0610136	0.0635772	0.080286	0.0969684	0.115539
</S>	0.0695133	0.0314719	0.0371571	0.0459626	0.0406584	0.0245746	0.0189421	0.017886	0.013042	0.00916436	0.00948536	0.00672563	0.00818002	0.00891011	0.00969219	0.00807362	0.0105647	0.0134209	0.0207761	0.0231199	0.0383308	0.0428753	0.0443251	0.0550273	0.0558448	0.0656456	0.0683004	0.0695303	0.0647288	0.0680709
