 	m	w	á	n	a	b	ó	l	á	a	m	ω	n	y	ω	ω	s	w	é	</S>
l'	0.0202798	0.0230839	0.019098	0.0481663	0.00647856	0.0120991	0.0074671	0.0219161	0.0337155	0.0426678	0.0507994	0.0424765	0.0591514	0.0832319	0.12563	0.136002	0.101384	0.0851391	0.0343795	0.0468341
enfant	0.055424	0.0853581	0.0662774	0.0801975	0.340645	0.0983302	0.144781	0.0677522	0.0303508	0.0178646	0.0038667	0.00278753	0.00167406	0.00134208	0.000674667	0.000584681	0.000700939	0.000564485	0.000335235	0.000488586
est	0.0511552	0.0627026	0.0305745	0.0278989	0.0246501	0.0252205	0.0479289	0.0449103	0.168786	0.0912775	0.0669395	0.0358764	0.033108	0.0406339	0.0358106	0.0557017	0.0591641	0.0387761	0.0248372	0.0340479
en	0.0165442	0.0311415	0.0618979	0.0375685	0.0457583	0.035658	0.0452988	0.0422965	0.0569415	0.05465	0.0856467	0.0575249	0.0869677	0.0734806	0.0449825	0.0287811	0.0231337	0.0239311	0.0534381	0.0943585
train	0.0460771	0.0546144	0.0628133	0.0524227	0.0721947	0.0450786	0.0174012	0.0202945	0.0156072	0.0224083	0.0470464	0.0918479	0.0866402	0.0785804	0.0633877	0.0537372	0.0390941	0.0380548	0.0487362	0.043963
de	0.0906194	0.0486214	0.0152544	0.0249367	0.0147228	0.0198662	0.0262474	0.0272051	0.0346895	0.0267435	0.0318603	0.0128685	0.0208112	0.013483	0.0304209	0.0422223	0.0695548	0.0646871	0.0593255	0.32586
toucher	0.0367615	0.0339643	0.0259293	0.028498	0.0339355	0.0438333	0.049901	0.0589584	0.0675343	0.0791711	0.053989	0.0715029	0.0591724	0.0464729	0.0525863	0.0362895	0.0389252	0.0415507	0.033099	0.107925
le	0.0911641	0.0656412	0.0558003	0.0395296	0.0378302	0.0334691	0.032754	0.0241481	0.0224017	0.0196356	0.0217197	0.0470312	0.0488437	0.0547024	0.0599982	0.0744818	0.0591313	0.0470181	0.0438698	0.12083
poisson	0.0411033	0.0207414	0.0173391	0.0154739	0.0160986	0.0186866	0.0147774	0.0174852	0.0121924	0.012974	0.0205075	0.0449187	0.0737792	0.099506	0.0755969	0.111382	0.0811741	0.061812	0.0622331	0.182219
partout	0.113409	0.0947074	0.0633923	0.0541247	0.0398741	0.0383352	0.0322601	0.0179732	0.0159886	0.0117743	0.0102214	0.0241955	0.021132	0.0316164	0.0329044	0.0380907	0.0522404	0.0458324	0.0654377	0.19649
avec	0.0917723	0.0788695	0.0535741	0.0503238	0.0436915	0.0301166	0.0211544	0.0163305	0.0171592	0.00868144	0.00602747	0.0117069	0.0124667	0.0252876	0.0274954	0.0390035	0.108065	0.0842923	0.0910623	0.182919
ses	0.13162	0.110468	0.0486056	0.040352	0.0247678	0.0289241	0.0256448	0.0239533	0.0140096	0.0070555	0.00778455	0.0118201	0.0135256	0.0301509	0.0355983	0.0588224	0.0702321	0.0659432	0.109657	0.141065
doigts	0.0973174	0.0586613	0.0418357	0.0296409	0.0204331	0.0136645	0.010179	0.00960611	0.00652866	0.00496612	0.0058277	0.013227	0.0168419	0.0713745	0.0519244	0.0735261	0.0992752	0.0887744	0.131192	0.155204
</S>	0.0455263	0.0408712	0.0189154	0.0157384	0.0159557	0.0227157	0.0262156	0.028548	0.0317288	0.0267994	0.020783	0.033876	0.0310779	0.039599	0.0436995	0.0612154	0.10716	0.0998498	0.0916804	0.198044
