 	w	a	a	b	h	í	l	a	m	b	y	ώ	m	b	ω	é	b	h	i	w	á	l	o	l	o	m	i	</S>
elle	0.0582002	0.128499	0.281543	0.21692	0.129903	0.0658434	0.0306879	0.0274733	0.0137356	0.0147119	0.0054125	0.00155667	0.00146988	0.00158906	0.00175449	0.00176796	0.00145313	0.00155537	0.00133456	0.00135049	0.00169166	0.0021882	0.00182545	0.0016705	0.00159596	0.00157022	0.00168453	0.00101167
a	0.0342767	0.0144844	0.0198805	0.0564621	0.0612988	0.0596357	0.0983884	0.0581876	0.125934	0.0433756	0.0601702	0.0500519	0.0358431	0.0136495	0.0111903	0.00955483	0.0102672	0.0106306	0.013174	0.0137485	0.0193912	0.0195683	0.026348	0.0267977	0.024069	0.0184388	0.0333559	0.0318274
pris	0.0180142	0.0304461	0.0329613	0.0429818	0.0474951	0.0419285	0.0311152	0.0214597	0.0288355	0.0207125	0.0194252	0.0234482	0.0389773	0.0336029	0.0808949	0.0888552	0.101742	0.051445	0.0141495	0.033114	0.0258842	0.0175084	0.0179067	0.0246479	0.0280452	0.0297832	0.0330682	0.0215519
de	0.0151118	0.023892	0.0291496	0.0308026	0.0313075	0.0283625	0.0142215	0.0135182	0.0128139	0.0129512	0.0232382	0.0240904	0.0305018	0.032793	0.0420646	0.0554129	0.0607175	0.0526665	0.0546373	0.0491352	0.0306439	0.025663	0.0332592	0.0415054	0.0709729	0.0638069	0.0384188	0.0583418
l'	0.00993072	0.0102067	0.0092648	0.0109042	0.0130698	0.0098165	0.0115779	0.0129333	0.0194614	0.0165058	0.0248054	0.0259407	0.0296804	0.0346625	0.0613126	0.0826735	0.0697199	0.0640768	0.0461203	0.044666	0.0398545	0.0392415	0.0426108	0.0443934	0.0441668	0.0602149	0.0476602	0.0745285
embonpoint	0.0190634	0.0332341	0.0405264	0.0436546	0.0429874	0.020414	0.0356137	0.0729853	0.0268908	0.0195428	0.00797737	0.0107367	0.0120331	0.0204476	0.0369301	0.0461666	0.0402065	0.0293842	0.0250059	0.0176868	0.0161892	0.0179644	0.0202037	0.028656	0.0301878	0.0459558	0.0583072	0.181049
depuis	0.0104004	0.014505	0.00958921	0.010876	0.0109911	0.0113335	0.0172771	0.0364774	0.0264487	0.0268543	0.0167255	0.0150047	0.0133635	0.0171	0.0218404	0.0289719	0.0425424	0.0372859	0.0491762	0.0413457	0.0434178	0.0421487	0.0506453	0.0624068	0.0597213	0.0797943	0.0900173	0.11374
qu'	0.0274881	0.0309725	0.0257778	0.0316967	0.0307124	0.0307751	0.0260095	0.028712	0.0205951	0.016231	0.0100525	0.00800137	0.00713047	0.00857959	0.0137217	0.0208454	0.0240371	0.0241628	0.0275726	0.0142208	0.0266332	0.0307268	0.0373759	0.0586846	0.0642102	0.105321	0.111272	0.138481
elle	0.0110394	0.0143044	0.0115175	0.0156777	0.0171041	0.0295892	0.0336611	0.0366666	0.0335181	0.0329985	0.0296274	0.0280755	0.0224709	0.0188148	0.0173582	0.0296299	0.0202968	0.0199073	0.0298099	0.0221173	0.0351933	0.0436172	0.0603009	0.0707011	0.0692159	0.0846528	0.0828994	0.0792346
s'	0.0380372	0.0304879	0.0232966	0.03175	0.022287	0.0256679	0.0227149	0.0132047	0.0154683	0.0147856	0.013542	0.017652	0.020013	0.0204455	0.0331416	0.0327054	0.027668	0.0242585	0.0271773	0.0474243	0.0382338	0.0393532	0.060689	0.0566821	0.0542449	0.0925239	0.0673665	0.0891789
est	0.0212762	0.0260829	0.0229078	0.0299908	0.0227721	0.0243049	0.023458	0.0221472	0.0129554	0.0215207	0.0124342	0.0183247	0.0233129	0.024883	0.0349529	0.0377179	0.0327394	0.0294726	0.0314757	0.032604	0.0494019	0.0472353	0.0432022	0.0410614	0.0586695	0.0842265	0.0521777	0.118692
mariée	0.0159868	0.0154269	0.0157426	0.0185017	0.0193872	0.0205476	0.0128113	0.0241093	0.0168912	0.0138211	0.0118852	0.0147512	0.0224787	0.0277981	0.0342571	0.0415328	0.0299584	0.0302365	0.0319523	0.0250275	0.0224338	0.0225396	0.0268514	0.0394789	0.0596551	0.103761	0.119045	0.163132
</S>	0.0110067	0.0094681	0.00884762	0.0114718	0.0118742	0.0155316	0.0184652	0.0242268	0.0151142	0.0152947	0.0148158	0.0104018	0.00985191	0.0122852	0.0208725	0.0586638	0.0338349	0.0402939	0.0246927	0.0329582	0.0369567	0.0353942	0.0646291	0.0789022	0.0873888	0.128809	0.0870172	0.0809316
