 	m	ω	m	b	i	m	á	m	á	a	m	ó	o	l	a	n	d	á	s	á	m	i	n	a	</S>
la	0.00936646	0.011912	0.0111109	0.0122784	0.0109856	0.0120575	0.0222228	0.021843	0.0487234	0.0518621	0.054435	0.0414527	0.0449625	0.0594584	0.0635408	0.0555493	0.0507729	0.0481586	0.0497557	0.0524249	0.0623435	0.0674261	0.0543249	0.0474435	0.0355891
fraîcheur	0.0342589	0.0659568	0.110206	0.113308	0.098732	0.104941	0.0634486	0.0417206	0.0307988	0.0889683	0.0623299	0.0392976	0.0286588	0.0171687	0.00807032	0.00459741	0.00796351	0.00896287	0.0120393	0.00922305	0.0165595	0.013972	0.0107002	0.00349725	0.00462061
de	0.1054	0.0576123	0.0380866	0.0248325	0.0242247	0.0355288	0.0422162	0.0280402	0.0335829	0.0379425	0.0422897	0.0449501	0.044013	0.03474	0.0378513	0.0453795	0.0267143	0.0360782	0.0331215	0.0622615	0.0578278	0.0378738	0.0219473	0.0195328	0.0279527
l'	0.0400298	0.0647503	0.140188	0.138215	0.116643	0.0804346	0.0701959	0.0373439	0.0242249	0.0269893	0.0131	0.0110959	0.0124359	0.00946135	0.00581281	0.00754015	0.0058924	0.00948985	0.013712	0.014882	0.0216133	0.0208532	0.0233681	0.0283303	0.0633973
eau	0.116962	0.0775462	0.0663752	0.0490236	0.0428487	0.0541837	0.0459375	0.0503136	0.0613164	0.0766348	0.0613039	0.0334129	0.0155705	0.0165541	0.0116354	0.0116008	0.0197047	0.0181189	0.0155565	0.0150105	0.020271	0.0146588	0.0168285	0.0099466	0.0786854
fait	0.0578701	0.0573131	0.0447954	0.0288998	0.0202444	0.0218008	0.0218185	0.0283827	0.0268522	0.0260189	0.030716	0.0345426	0.0530244	0.0605229	0.0261668	0.0348992	0.022991	0.0231153	0.0220945	0.030197	0.0319437	0.0249032	0.0259245	0.0479997	0.196963
mal	0.0893451	0.0752072	0.0715505	0.0442877	0.0285336	0.0254038	0.0258693	0.0221871	0.0146354	0.0108908	0.00925658	0.00820688	0.0121498	0.0210685	0.014245	0.0249892	0.0185899	0.0208781	0.0263718	0.0425469	0.0408798	0.0405727	0.0388853	0.0553392	0.21811
aux	0.24617	0.164146	0.103104	0.0429807	0.0240523	0.0152273	0.0158652	0.0150816	0.0101514	0.00565965	0.0051468	0.00535114	0.00375897	0.0054288	0.00395776	0.00894834	0.00754812	0.00743114	0.011486	0.0182311	0.0257824	0.0163812	0.0246422	0.0364138	0.177054
dents	0.238908	0.159395	0.117422	0.0452508	0.0269463	0.0158397	0.0148314	0.0145099	0.0091944	0.00644809	0.00608379	0.00770592	0.00510361	0.00339761	0.00255254	0.00549136	0.00642238	0.00579059	0.00864765	0.0107166	0.0170545	0.0105446	0.0137301	0.0232068	0.224806
</S>	0.176723	0.111497	0.0783761	0.0377313	0.0201958	0.0130637	0.0128166	0.0170049	0.0117629	0.00673145	0.00580156	0.00642704	0.00473927	0.00666936	0.00803917	0.00928927	0.0130456	0.0160477	0.0271026	0.0257814	0.0476804	0.0365326	0.0376802	0.051714	0.217547
