 	n	g	á	i	d	í	l	a	i	k	á	m	b	í	l	á	s	i	n	g	a	m	í	b	a	m	b	a	l	ó	k	á	n	d	á	m	ú	</S>
j'	0.0764255	0.266224	0.276702	0.113859	0.069388	0.0481775	0.0174689	0.00877609	0.00426096	0.00171114	0.00167073	0.0016424	0.00237632	0.0058642	0.0083389	0.00850843	0.00906888	0.0101916	0.0143467	0.00617987	0.00598653	0.00475354	0.00514535	0.00431105	0.0047743	0.00453095	0.00470506	0.00206691	0.00168943	0.00166379	0.0014515	0.00119557	0.00155108	0.00117589	0.00110482	0.00079036	0.000859305	0.00106314
ai	0.0625999	0.00955644	0.00919459	0.0100321	0.00584229	0.00906246	0.018051	0.040678	0.0642627	0.0885843	0.0964281	0.0839522	0.0757895	0.0528982	0.0427152	0.0470239	0.0375547	0.03812	0.037327	0.0348925	0.0262396	0.00961047	0.0146415	0.013389	0.00567441	0.00375225	0.00633238	0.00213008	0.00247046	0.00271406	0.00367677	0.00427434	0.00287426	0.00598709	0.005936	0.00742075	0.00663113	0.0116805
besoin	0.0534884	0.0567744	0.0242107	0.0337722	0.0754603	0.0329544	0.0356382	0.015447	0.0117135	0.0160176	0.018212	0.0109872	0.0154021	0.0221877	0.0230032	0.0250604	0.0168795	0.0271227	0.0313225	0.040998	0.026787	0.0273584	0.0350657	0.0254197	0.0158361	0.0204626	0.0162172	0.021737	0.0219045	0.0276212	0.0225921	0.0250343	0.0182821	0.0252243	0.0207019	0.0275794	0.0193579	0.0161664
d'	0.0680905	0.0712079	0.0434922	0.0536159	0.0614586	0.0665575	0.0684524	0.024017	0.018713	0.0123762	0.0124412	0.00978144	0.0108544	0.0123293	0.013807	0.0179048	0.0217681	0.0266721	0.0263862	0.0230685	0.0211443	0.016335	0.015955	0.0163957	0.0141667	0.0144353	0.0137118	0.0160988	0.0198232	0.0205105	0.0195095	0.0175616	0.0133288	0.0195862	0.0197512	0.0194734	0.0251266	0.0340922
un	0.0264956	0.0173577	0.0107778	0.0130964	0.0218911	0.0142527	0.0143237	0.00682517	0.00613775	0.0088557	0.0117022	0.0105291	0.0162744	0.0200426	0.0234878	0.0279626	0.0266557	0.0302655	0.0348141	0.0346192	0.0335897	0.038031	0.0344805	0.0381406	0.0427419	0.045015	0.0305071	0.0228838	0.0209025	0.0171308	0.0196179	0.0208687	0.0226875	0.0265009	0.0385525	0.0415561	0.061092	0.069335
fil	0.0159934	0.013558	0.0142816	0.0157417	0.0240572	0.0142582	0.00694541	0.00578733	0.00744331	0.00839476	0.01021	0.0117556	0.0147205	0.0151279	0.0183794	0.0209355	0.0232883	0.0187767	0.0206541	0.0228188	0.0230753	0.0201701	0.0136126	0.0173991	0.0195069	0.0207767	0.0209299	0.0210399	0.0263277	0.0351906	0.0288392	0.0303717	0.0400619	0.0435217	0.0676574	0.0769436	0.0711974	0.120251
pour	0.0119148	0.00878383	0.00775648	0.00601088	0.0053567	0.006934	0.00601085	0.00599027	0.00548706	0.00523581	0.00584752	0.00492555	0.00729429	0.00779502	0.00931624	0.0132916	0.0133296	0.0156783	0.0175871	0.0186339	0.0190646	0.0251422	0.0248953	0.0310755	0.0304743	0.0277662	0.0427936	0.0288851	0.0289471	0.0533976	0.0496411	0.0540064	0.0651365	0.0560846	0.0674359	0.0769591	0.0643975	0.0707177
raccommoder	0.0212533	0.0149527	0.0146368	0.0138289	0.0114679	0.0151216	0.0159546	0.0186715	0.0164901	0.0154688	0.0158023	0.012559	0.0153511	0.0149269	0.0146189	0.0130746	0.00977021	0.0120041	0.0149745	0.0163619	0.0162699	0.0230708	0.023451	0.0280603	0.029403	0.0273638	0.0309641	0.033096	0.0289676	0.0286298	0.0344807	0.043811	0.0511176	0.0532226	0.0571168	0.0653337	0.0605691	0.0677826
cette	0.016584	0.0157208	0.0156728	0.0193002	0.0181991	0.0159713	0.014598	0.0147912	0.013496	0.0130785	0.0126795	0.0101346	0.0107818	0.0102915	0.0108432	0.010803	0.00886691	0.010103	0.0128913	0.0133959	0.0136349	0.0197354	0.0192781	0.0239064	0.0290696	0.0283355	0.0332275	0.0333592	0.0299038	0.0270422	0.0342416	0.0424703	0.053051	0.059085	0.0592556	0.0698928	0.0640304	0.0922781
tenue	0.0104687	0.0113311	0.00958579	0.0102163	0.0114503	0.00955211	0.00464454	0.0036254	0.00428015	0.00432936	0.00379617	0.00355948	0.00414171	0.00497574	0.00654661	0.00768458	0.00875753	0.0108013	0.0136144	0.0138281	0.0134489	0.0186944	0.0180615	0.0227456	0.0232852	0.0268066	0.0375204	0.0343802	0.0423734	0.065804	0.0694049	0.0724993	0.0776876	0.0703937	0.0695368	0.0674114	0.0568425	0.0559143
</S>	0.0345121	0.029171	0.0180536	0.0157526	0.0177464	0.0145219	0.0117432	0.00846469	0.0105	0.0105245	0.00930473	0.0108618	0.0122461	0.0202719	0.0229336	0.0174824	0.0199594	0.0311174	0.0367519	0.0505262	0.0347792	0.0202495	0.0386262	0.0289378	0.0303368	0.0346418	0.0289127	0.0252194	0.0271799	0.0261247	0.0308734	0.0295877	0.0264113	0.0356679	0.0402642	0.0383953	0.0438656	0.0574812
