 	e	f	u	n	d	u	y	á	n	g	á	é	d	í	l	a	a	b	í	a	</S>
dans	0.00924095	0.0206072	0.0261926	0.033824	0.0286774	0.0283451	0.0267022	0.0249847	0.0306301	0.0426541	0.0540084	0.0453333	0.059516	0.102847	0.0830302	0.0828845	0.0752629	0.0915949	0.0615894	0.047179	0.0248959
ma	0.12404	0.0871629	0.0457694	0.0443558	0.0420711	0.0266789	0.0291504	0.0295699	0.0404598	0.0332039	0.0461005	0.0289591	0.0840928	0.0873597	0.0623437	0.0467102	0.0373635	0.0254928	0.0177223	0.0321152	0.0292778
parcelle	0.0577481	0.0270935	0.0130005	0.0192626	0.0211268	0.00831737	0.0133797	0.0148064	0.0140704	0.0312868	0.0123533	0.0363214	0.0440107	0.0899704	0.0769695	0.106724	0.0806642	0.0974057	0.0770549	0.102367	0.0560674
il	0.0688272	0.0783837	0.0746719	0.0908415	0.104142	0.0687877	0.0678592	0.0778149	0.0326833	0.0429215	0.0495491	0.0239967	0.0315595	0.0312083	0.0160334	0.0147914	0.0143861	0.0170817	0.0203592	0.0293802	0.0447212
y	0.0414541	0.047919	0.0402962	0.0479487	0.0534854	0.0355491	0.0346503	0.0457783	0.0495455	0.0420934	0.0410912	0.023283	0.0414534	0.0297026	0.0447943	0.0329825	0.0507179	0.0437772	0.0500787	0.0578081	0.145591
a	0.0543524	0.0366855	0.0363676	0.0287231	0.0406506	0.0515877	0.0382305	0.0311374	0.0497111	0.0598328	0.0387645	0.0501321	0.0467502	0.0449424	0.0477472	0.0490449	0.0561129	0.0547894	0.0604818	0.0531498	0.0708062
des	0.0629211	0.0327663	0.0275728	0.0240434	0.0304359	0.0390858	0.0358638	0.0281554	0.0400757	0.0508705	0.0267822	0.0432077	0.0327413	0.0452839	0.040457	0.0517893	0.0695058	0.07198	0.0835926	0.0723087	0.0905609
palmiers	0.0739672	0.0586217	0.0439891	0.0371643	0.0328907	0.0373673	0.0321975	0.0287111	0.0389843	0.0407666	0.0375208	0.0242225	0.0403576	0.0499575	0.0706346	0.0546588	0.0575568	0.0497553	0.0536416	0.0546066	0.0824282
à	0.0526302	0.0259	0.0246281	0.0264131	0.032877	0.0322243	0.0354748	0.0502829	0.047676	0.100465	0.0802508	0.0559219	0.0211464	0.0188348	0.0200599	0.017312	0.0346402	0.0500221	0.0777827	0.0692505	0.126208
huile	0.266687	0.0884938	0.0632447	0.0476008	0.0371446	0.0248107	0.0114715	0.00530087	0.00426619	0.0065275	0.0135975	0.0122632	0.0140109	0.0211495	0.0289991	0.0207428	0.0462927	0.0448071	0.0638896	0.0613509	0.117349
</S>	0.0491475	0.0434678	0.0496745	0.0482135	0.0596882	0.0595117	0.0404923	0.0352923	0.0338398	0.0453766	0.0593174	0.0545638	0.0294162	0.0215906	0.0234002	0.0168775	0.0247569	0.0328344	0.0563327	0.0647001	0.151506
