 	n	g	á	o	t	é	m	a	b	ó	m	ó	o	l	y	é	n	g	a	t	s	í	n	a	b	e	a	b	í	í	d	z	é	n	g	á	í	p	é	n	d	i	o	k	w	á	</S>
mon	0.159755	0.144632	0.108334	0.0279762	0.0178464	0.0124617	0.0172357	0.0210996	0.0243523	0.0288102	0.0106827	0.0150819	0.0142261	0.0270566	0.0164491	0.0198856	0.0245627	0.018271	0.00945358	0.00764153	0.00699735	0.00893675	0.00942015	0.00534945	0.00511389	0.00471263	0.0062787	0.00923708	0.00914947	0.0140416	0.00640299	0.00816452	0.00865023	0.00828737	0.00868051	0.00558236	0.0086541	0.00582359	0.00926834	0.0116431	0.0136907	0.0232746	0.0182737	0.0153976	0.0136087	0.0157229	0.0138236
coeur	0.014516	0.0400886	0.0710217	0.125591	0.127966	0.263794	0.0990661	0.0622253	0.0406881	0.0157985	0.0134126	0.00470981	0.00266794	0.00426116	0.00564749	0.00137451	0.0027724	0.002637	0.00240522	0.00278373	0.0023395	0.00299243	0.00548875	0.00186913	0.00179164	0.00100269	0.00196916	0.0016335	0.00075614	0.000609538	0.000918252	0.000905359	0.00163224	0.00236536	0.00866222	0.000778378	0.00718236	0.00593882	0.00413707	0.00915299	0.0191748	0.00529154	0.00531763	0.00177048	0.00094586	0.00150833	0.000438419
palpite	0.0081387	0.0147281	0.0216307	0.0248441	0.0283337	0.0234792	0.0192756	0.0282992	0.0155787	0.0253706	0.0279291	0.0259442	0.0143309	0.0125583	0.01332	0.012118	0.0157423	0.0482454	0.0227173	0.0252161	0.0299993	0.0271379	0.0361578	0.0314925	0.0290275	0.0184924	0.0243213	0.0226291	0.0395412	0.0398471	0.0453184	0.0260489	0.0285017	0.0217615	0.0107656	0.014591	0.0263195	0.0339177	0.00932809	0.00933805	0.00836309	0.00542815	0.00745938	0.00512863	0.00626397	0.0102934	0.0047265
parce	0.0435265	0.013184	0.00565683	0.00806674	0.00698146	0.00501791	0.00382472	0.00375464	0.00400357	0.00422239	0.00656501	0.0144796	0.0136873	0.0186032	0.0285974	0.0247667	0.0314899	0.0542683	0.028412	0.0279996	0.0407809	0.0354075	0.0345533	0.0403195	0.0309574	0.0387247	0.0308877	0.0610488	0.0398309	0.0468055	0.0316189	0.0326286	0.0268908	0.0216779	0.0157432	0.0224634	0.0142911	0.0135517	0.0090461	0.00555055	0.00467249	0.0060893	0.00540676	0.00429126	0.00803045	0.00784877	0.0237747
que	0.0297313	0.00989026	0.00360773	0.00472754	0.00601523	0.0051455	0.00553416	0.00490319	0.00593857	0.00581357	0.00877957	0.0106879	0.0141883	0.0188924	0.0399208	0.073399	0.0641718	0.0371082	0.0288201	0.0196723	0.0205818	0.0227382	0.0193239	0.0224625	0.0315637	0.0196566	0.0236293	0.0193295	0.0132782	0.0170439	0.0237049	0.0156997	0.0344263	0.0240556	0.0278199	0.0342146	0.0424359	0.042405	0.0401047	0.0376951	0.015808	0.0103986	0.00285594	0.00222426	0.00328843	0.0096964	0.0266118
la	0.00876199	0.00678767	0.00571921	0.00570186	0.00635717	0.00617815	0.00510574	0.0058549	0.00545575	0.00707109	0.0111725	0.0137318	0.0132459	0.0143525	0.0133199	0.0132107	0.015987	0.0339739	0.041538	0.0462275	0.0378843	0.0454807	0.0433414	0.0457393	0.0425746	0.0349034	0.0233653	0.0400815	0.0317409	0.0350177	0.0397998	0.0303901	0.0322096	0.0309822	0.0267787	0.0165769	0.0296279	0.0149052	0.0162048	0.0118173	0.0140305	0.0114188	0.0100564	0.00858627	0.00663766	0.0131116	0.026984
nourriture	0.046065	0.0186104	0.0148684	0.0156123	0.0151133	0.0162089	0.017637	0.0221586	0.023954	0.0238274	0.0185903	0.0159089	0.0152076	0.0176032	0.0262517	0.0244855	0.0287725	0.0239269	0.0271273	0.0254286	0.0154864	0.0267574	0.0249849	0.0156837	0.0187363	0.00724418	0.0076352	0.0100056	0.00434898	0.00571623	0.00882128	0.0143209	0.0131025	0.0160406	0.0534825	0.0118469	0.0205717	0.0156085	0.030477	0.0250381	0.0435216	0.0310385	0.0333239	0.0235691	0.00942483	0.0267648	0.0490904
que	0.0668638	0.0253157	0.0179212	0.036375	0.0371427	0.0433138	0.0376808	0.0439525	0.0348843	0.0335931	0.0286499	0.0196143	0.0138021	0.00907739	0.0157405	0.0222583	0.0244197	0.038512	0.0322124	0.0259336	0.0170627	0.0282473	0.0272062	0.0175114	0.0196268	0.0172216	0.0175218	0.0289056	0.011974	0.0185876	0.0158851	0.0186492	0.0194455	0.0166388	0.0149088	0.0114429	0.00471039	0.00383494	0.00371306	0.00219816	0.00416317	0.0029806	0.00552669	0.00548025	0.00767195	0.0107349	0.0408873
j'	0.0099854	0.00817346	0.00653996	0.00876401	0.00977257	0.0102632	0.00749056	0.0103505	0.0104964	0.0154367	0.0278742	0.0298881	0.0247059	0.0171817	0.0132544	0.0146891	0.0140777	0.0255659	0.0279123	0.0303511	0.0218044	0.0250117	0.0273733	0.0266751	0.0286738	0.0268937	0.014952	0.0328467	0.0221039	0.0309649	0.0314273	0.0438513	0.0334358	0.0364568	0.0349628	0.0279319	0.022368	0.0139395	0.0183047	0.00638547	0.00606655	0.00799205	0.0122199	0.0139984	0.0120061	0.0227458	0.0758349
ai	0.0361098	0.0125492	0.00964589	0.0174981	0.0188438	0.018874	0.0165118	0.0159484	0.0144842	0.0124745	0.0107713	0.00843549	0.0063687	0.00466287	0.00423933	0.00509964	0.00483045	0.0109793	0.0117534	0.0137673	0.0187849	0.0168211	0.0161719	0.0226132	0.022928	0.0265066	0.0157427	0.0422325	0.0205363	0.0313779	0.0344425	0.0533636	0.0489905	0.046307	0.0312675	0.0492932	0.0368373	0.0226535	0.0260438	0.00829761	0.00823519	0.0131297	0.0176981	0.0173763	0.0196631	0.0273717	0.0514666
