 	w	a	á	m	i	k	a	n	á	p	a	m	b	o	m	ó	i	l	ώ	b	h	ω	</S>
il	0.167651	0.28016	0.267976	0.145635	0.0678162	0.0109027	0.00260662	0.00190647	0.0041146	0.0039726	0.00396891	0.0032887	0.00356496	0.00445942	0.00396404	0.00464799	0.00434611	0.00431792	0.00393435	0.00352657	0.00296835	0.00289107	0.00138122
a	0.00989718	0.00602626	0.00327909	0.00833037	0.0084762	0.0294627	0.0591674	0.0955838	0.130533	0.0914408	0.0827916	0.090038	0.0673123	0.0592213	0.0596616	0.0633938	0.048267	0.028583	0.0159195	0.0163712	0.0104759	0.00598801	0.00977996
mis	0.0164439	0.016003	0.0148709	0.00964581	0.0175155	0.0242868	0.0741885	0.0517872	0.037178	0.089153	0.112913	0.0537585	0.023305	0.0236168	0.0247868	0.0346786	0.0355632	0.0429899	0.0437983	0.050962	0.0532552	0.0881955	0.0611042
un	0.00607555	0.00696902	0.00753881	0.0157209	0.0137451	0.0179922	0.0194805	0.0250876	0.0374304	0.0621012	0.0627764	0.0661266	0.0809817	0.0549314	0.0793727	0.0298972	0.0279211	0.037042	0.0389806	0.0526133	0.0730894	0.0983399	0.0857863
appât	0.0108608	0.0103737	0.0113303	0.0114476	0.0138121	0.0301177	0.0409354	0.0405706	0.0447747	0.0571981	0.0535483	0.0456866	0.0454954	0.0419462	0.051313	0.0462769	0.0462701	0.0432253	0.0552691	0.0631942	0.0545823	0.0504744	0.131297
au	0.0063915	0.00567776	0.008304	0.00672008	0.0111722	0.0134713	0.0126184	0.0110181	0.0111887	0.0113641	0.0121169	0.0166584	0.02128	0.0433481	0.101075	0.0756312	0.0804944	0.0587667	0.088302	0.107171	0.0998003	0.0885875	0.108842
bout	0.0120794	0.0113656	0.0108606	0.0115494	0.0196575	0.0193534	0.0190575	0.0146854	0.0124923	0.0110735	0.00927434	0.0113377	0.0109373	0.0309709	0.0538019	0.0558231	0.0715976	0.0695043	0.104834	0.123166	0.113006	0.0884525	0.11512
de	0.0138926	0.0147524	0.0120177	0.0223347	0.0322194	0.0329113	0.0329468	0.0291783	0.0256209	0.023937	0.0180863	0.0203785	0.0173763	0.0269246	0.0281958	0.0301705	0.0385359	0.0509265	0.0800445	0.116624	0.119492	0.0960921	0.117342
sa	0.0259345	0.0261535	0.0261107	0.0262356	0.0262791	0.0262844	0.0262283	0.0258871	0.0249004	0.0226782	0.0194523	0.0190627	0.0155288	0.0264123	0.0325395	0.0359389	0.0542589	0.0671633	0.0861056	0.0948166	0.0989028	0.095366	0.0977603
ligne	0.0167838	0.0239547	0.0204951	0.029041	0.0353032	0.0367997	0.0286632	0.0218014	0.0183193	0.0119735	0.00701436	0.00828632	0.00962882	0.0352023	0.0751868	0.081545	0.0848216	0.0570182	0.074285	0.0684768	0.0788119	0.076808	0.0997801
</S>	0.011242	0.0135259	0.0139643	0.04622	0.0418351	0.0366628	0.0200333	0.0177363	0.0155163	0.0157119	0.0138683	0.0151281	0.0128983	0.015706	0.0216356	0.0158137	0.0254244	0.0464856	0.0798092	0.100552	0.134691	0.13275	0.15279
