 	b	á	n	a	b	á	l	e	k	ώ	ώ	l	i	b	ó	b	á	a	b	έ	r	έ	o	b	i	a	a	t	s	έ	ε	</S>
les	0.0315383	0.0636255	0.0426716	0.0646474	0.0433715	0.0235714	0.0170795	0.0220952	0.0184609	0.0225009	0.0306525	0.0305251	0.0374375	0.0634805	0.0896318	0.0884826	0.0480638	0.0247809	0.0212701	0.0214268	0.0201598	0.0190565	0.0278046	0.0174228	0.020131	0.0191933	0.0185699	0.01553	0.0104069	0.00961515	0.00586836	0.0109278
éleves	0.0530894	0.0460648	0.0570425	0.0951125	0.0709568	0.0676319	0.0314331	0.0343162	0.0322643	0.0376407	0.0451626	0.0348785	0.0305127	0.0236069	0.0247315	0.0200308	0.0312892	0.0265205	0.0243523	0.0256851	0.0198145	0.0180384	0.0387437	0.0173235	0.016886	0.0121566	0.0154045	0.0140668	0.0136113	0.0132742	0.00334494	0.00501324
sont	0.0583309	0.0260843	0.0320846	0.014621	0.0179821	0.0265319	0.0314122	0.0449867	0.0523177	0.066618	0.0715646	0.0751431	0.0710544	0.0553903	0.0348859	0.0350997	0.0311563	0.0299329	0.0217802	0.017987	0.0185175	0.0157054	0.0158934	0.0175386	0.0223314	0.0159669	0.0124048	0.0145104	0.013693	0.0114392	0.0101514	0.0168843
en	0.0198815	0.016679	0.0230695	0.0143435	0.0137666	0.0139899	0.0147743	0.01729	0.0251204	0.0399151	0.0415138	0.0531972	0.0626279	0.0698563	0.0588454	0.0614362	0.0683321	0.0678037	0.0530147	0.0314272	0.0330815	0.0247728	0.0218436	0.0233746	0.0217884	0.0146869	0.0124603	0.0124284	0.0130913	0.0176614	0.0169245	0.021002
train	0.0384776	0.0301802	0.035338	0.0233392	0.0204295	0.0240122	0.0246952	0.0311989	0.0375082	0.0530685	0.0575649	0.0648729	0.0578923	0.062223	0.048135	0.0431451	0.0346484	0.0251459	0.0212836	0.0219197	0.0208354	0.0213646	0.0213991	0.0206873	0.0206815	0.0201892	0.019539	0.0192732	0.019706	0.018747	0.0182587	0.0242407
d'	0.0597676	0.0325446	0.0248772	0.0178622	0.0164445	0.023119	0.0205816	0.0195075	0.0216976	0.0217676	0.0206118	0.0221186	0.0185521	0.0367553	0.028211	0.0577518	0.064852	0.0472044	0.0220594	0.0224298	0.0256267	0.0283567	0.0230039	0.0256909	0.0226048	0.0265122	0.0183347	0.0162578	0.0335652	0.0495879	0.0578665	0.0738771
applaudir	0.106631	0.04027	0.0357561	0.0207532	0.0199884	0.0217796	0.0244677	0.0285903	0.0250037	0.0223229	0.0200403	0.0218073	0.0213226	0.0197945	0.0141627	0.0167384	0.0158518	0.0373744	0.0415502	0.0567601	0.0509308	0.0439995	0.0426404	0.0434561	0.0479367	0.0333172	0.0206048	0.013296	0.0185846	0.0223426	0.0240664	0.0278599
leur	0.0667289	0.0482044	0.043179	0.0449454	0.0361211	0.0282878	0.0206098	0.0182951	0.015715	0.0254114	0.0226545	0.0223388	0.0209408	0.0131222	0.0108208	0.0112763	0.00990629	0.0111785	0.012451	0.016297	0.0185188	0.0172431	0.0222655	0.0205442	0.0293091	0.0276251	0.0260977	0.0324921	0.0398135	0.0518965	0.0750582	0.140652
camarade	0.0416938	0.026299	0.0177318	0.0161753	0.0117212	0.0124249	0.0191122	0.0218277	0.0214407	0.0298518	0.0332667	0.0400504	0.0447653	0.0453033	0.0375671	0.0272438	0.0190618	0.0237729	0.0239613	0.0303028	0.0266229	0.0222168	0.0217437	0.0140836	0.0133572	0.0150783	0.0164233	0.022442	0.0314575	0.0617092	0.0609058	0.150386
</S>	0.153622	0.0575568	0.0624616	0.0513377	0.0483361	0.0319907	0.0171915	0.0126945	0.0133148	0.0174476	0.0141237	0.0154986	0.0127671	0.00807987	0.00559921	0.00488598	0.00378066	0.00449099	0.005618	0.00682816	0.0109868	0.009275	0.0144307	0.0145051	0.0169724	0.020637	0.024179	0.0287927	0.0259276	0.0511663	0.0728239	0.162678
