 	m	v	á	n	d	é	á	m	i	p	i	á	e	b	h	e	s	é	y	έ	έ	b	v	έ	έ	a	m	ε	έ	w	a	</S>
le	0.00428578	0.00537465	0.00668884	0.00982962	0.00819839	0.0111616	0.0277521	0.0530377	0.075107	0.0953286	0.0694166	0.14452	0.0740404	0.053945	0.0543863	0.0243755	0.035226	0.00981787	0.011341	0.0168689	0.0159681	0.020754	0.0188643	0.0182453	0.0135553	0.0139927	0.014465	0.0173204	0.0200565	0.0182384	0.0215642	0.0162737
chien	0.0180786	0.0235133	0.0396381	0.0682994	0.0597923	0.0428945	0.0522789	0.0843605	0.078127	0.213114	0.109728	0.0457636	0.0450309	0.0366535	0.0135542	0.0033837	0.0053539	0.00318946	0.00349954	0.00443713	0.00413516	0.00648737	0.00551999	0.0109316	0.00403869	0.00221906	0.00491987	0.00340216	0.00468465	0.000852389	0.00129818	0.000820322
a	0.0454526	0.0311168	0.033895	0.0411108	0.0784614	0.0774333	0.0965416	0.0425917	0.0495282	0.0581514	0.0552867	0.0254227	0.0296015	0.0360341	0.0279928	0.0161951	0.0143523	0.0195913	0.0232224	0.0279535	0.037474	0.0333505	0.0215489	0.0165455	0.0126068	0.01114	0.0129324	0.00870293	0.00574686	0.00254561	0.00398328	0.00348832
attrapé	0.02467	0.0231552	0.0309825	0.0378597	0.0303919	0.0283136	0.020973	0.0349958	0.0502742	0.139908	0.0901469	0.0515347	0.0414439	0.054446	0.0248675	0.018652	0.0106267	0.0160547	0.0182034	0.0208991	0.0188699	0.0263909	0.0225967	0.0223423	0.0240713	0.0236811	0.0130421	0.0134686	0.00904957	0.0139529	0.0164843	0.0276516
l'	0.0451981	0.0284444	0.0282534	0.0272713	0.0229182	0.0138221	0.024477	0.0347303	0.0454012	0.0501598	0.0420559	0.0382415	0.0366852	0.0398601	0.029672	0.0179133	0.0198179	0.0163173	0.019902	0.0272597	0.027255	0.037099	0.0405825	0.0402153	0.0460511	0.0271561	0.0355441	0.0308772	0.0287198	0.0184696	0.0217119	0.0379177
os	0.0112974	0.0110297	0.0136816	0.0126804	0.0125417	0.00799846	0.00965084	0.0121044	0.0305761	0.0476633	0.0381907	0.0378679	0.0289923	0.0395365	0.0403905	0.0314724	0.0389505	0.0376379	0.0316421	0.0373974	0.0400641	0.0443088	0.0467029	0.0558846	0.0454564	0.0333157	0.0539076	0.0408791	0.0347162	0.0232191	0.0174902	0.0327531
qu'	0.0425742	0.0223535	0.0176096	0.0122843	0.0138469	0.0119249	0.0120551	0.0117561	0.0128792	0.0124883	0.0149927	0.0174297	0.0203833	0.0187917	0.0261577	0.0434834	0.0431949	0.0440766	0.0625076	0.0674815	0.0450331	0.0696226	0.042712	0.0535504	0.0408299	0.0495587	0.0440428	0.0292592	0.0129231	0.0111578	0.0224327	0.0506065
a	0.0369509	0.0295482	0.0272149	0.0242457	0.0306003	0.0270922	0.0264641	0.027235	0.0257148	0.0241606	0.0238507	0.0338786	0.0326435	0.025475	0.0244176	0.019502	0.027796	0.0308257	0.0218521	0.0298567	0.0352421	0.0444135	0.0392864	0.035293	0.0401383	0.0405466	0.0334633	0.0290407	0.0255877	0.030023	0.0286098	0.0690311
jeté	0.141682	0.0748407	0.0448768	0.0238858	0.0146431	0.00658901	0.00463675	0.00371834	0.00276026	0.00258898	0.00197987	0.00214274	0.00295904	0.00574116	0.0151329	0.0250769	0.0264761	0.0400366	0.0381391	0.0549604	0.037105	0.0431081	0.0353573	0.0351222	0.0321051	0.0340411	0.0305348	0.0179951	0.0142497	0.0160963	0.0474236	0.123995
son	0.0827701	0.053903	0.0376459	0.0231655	0.016343	0.0105831	0.00896746	0.0100518	0.00677887	0.0097483	0.00544667	0.00532046	0.00474006	0.00860415	0.0245331	0.0401871	0.040309	0.0581239	0.0453735	0.0629945	0.0387291	0.0374314	0.0287827	0.0325912	0.0346474	0.0367513	0.0321442	0.0181095	0.0122356	0.0167882	0.050947	0.105253
maître	0.0745889	0.0440289	0.0258962	0.0142431	0.00962752	0.00799825	0.00745829	0.00621686	0.00557023	0.00543687	0.00538949	0.00568498	0.00812465	0.0136644	0.0285424	0.0450455	0.0377057	0.0543884	0.0452662	0.0521666	0.0413444	0.0362601	0.0280456	0.0272656	0.0282491	0.0300944	0.0281713	0.020977	0.0222199	0.0231743	0.07859	0.138565
</S>	0.0535635	0.0434154	0.0363924	0.0293017	0.0272725	0.0227865	0.0169542	0.0173311	0.010518	0.0153495	0.00797692	0.00555305	0.00526109	0.00836722	0.0134756	0.0214202	0.0185672	0.0282943	0.0330319	0.038949	0.0328175	0.0450219	0.0417603	0.0487341	0.0574794	0.0573098	0.0468616	0.028969	0.0155115	0.0232105	0.054215	0.094328
