 	o	y	ú	r	u	w	ó	b	ó	l	á	a	b	h	o	o	b	h	á	o	b	v	u	l	u	s	á	d	z	a	l	a	l	a	</S>
cette	0.021012	0.0148773	0.0083035	0.00725695	0.011191	0.00654499	0.00822466	0.00712065	0.0204418	0.0252343	0.0130039	0.022533	0.0185409	0.0573979	0.0532158	0.0415297	0.0335715	0.0282349	0.0197138	0.0190298	0.0211362	0.0166144	0.0224459	0.0196469	0.0253554	0.0217299	0.0356708	0.0399053	0.0552123	0.0369843	0.0661619	0.0643945	0.0576397	0.0482968	0.0318276
femme	0.0611458	0.232746	0.224903	0.224539	0.0916262	0.0306037	0.077531	0.0216416	0.00234164	0.00289747	0.000877081	0.0026826	0.00168391	0.00168948	0.003072	0.000508064	0.000658284	0.000616536	0.000356157	0.000343462	0.000564172	0.000481448	0.000478506	0.000699683	0.00144367	0.00270749	0.00156523	0.00238516	0.00314376	0.00109724	0.00138181	0.00082067	0.000402759	0.000218802	0.000147286
est	0.0144105	0.0165288	0.0309866	0.0724766	0.0384064	0.0949481	0.0814201	0.168928	0.0321821	0.0451827	0.0717698	0.0436228	0.03373	0.0303826	0.0251028	0.0215554	0.0193907	0.0175076	0.0082512	0.0101555	0.00642616	0.00558555	0.0072752	0.00647512	0.00740158	0.00721902	0.00699316	0.0151862	0.0120669	0.0097043	0.00911799	0.0100426	0.00438262	0.00867466	0.00651088
en	0.0391782	0.0531877	0.0530878	0.0627235	0.044528	0.0675293	0.0281264	0.0240782	0.0141367	0.0104894	0.0119931	0.0149455	0.0295935	0.0231066	0.0286095	0.0287239	0.0321934	0.0296407	0.0198083	0.0224398	0.0245008	0.0175778	0.0246046	0.0165233	0.0201309	0.0243681	0.0245887	0.0262425	0.03293	0.0244194	0.0249306	0.0267075	0.0223585	0.0302542	0.0217437
train	0.0308174	0.0376573	0.02028	0.0192259	0.0160397	0.0126461	0.00841212	0.010843	0.0154394	0.0147285	0.012899	0.030358	0.0259903	0.0240686	0.0309376	0.0280204	0.0316189	0.0305199	0.0396063	0.0460344	0.0597578	0.0589617	0.0508181	0.0435627	0.06061	0.0480894	0.0250573	0.0233629	0.0243216	0.0101117	0.0225909	0.0187023	0.0200387	0.020195	0.0276771
de	0.0339852	0.0291044	0.0332713	0.0234949	0.020422	0.018607	0.0123931	0.0199147	0.0205563	0.0176315	0.0489761	0.0217041	0.0281402	0.0288856	0.0253868	0.0345755	0.0313508	0.03685	0.0201792	0.0162344	0.0129641	0.0106881	0.0139155	0.00767475	0.00729421	0.0083263	0.0135742	0.0137307	0.0242681	0.0179815	0.0264872	0.0295967	0.0345723	0.0523424	0.204921
verser	0.0209228	0.0148268	0.0216454	0.0386854	0.0334187	0.0346207	0.0422595	0.0705088	0.0204618	0.0331693	0.0415679	0.0470247	0.0508225	0.0386164	0.0503171	0.0385249	0.0403016	0.0405116	0.0223476	0.0252507	0.0282232	0.0229493	0.0207757	0.0163465	0.0210802	0.0206468	0.021054	0.0157927	0.0177328	0.00821619	0.0154279	0.0112235	0.0101235	0.0112723	0.0333314
les	0.0256632	0.018201	0.0189515	0.0167216	0.0128974	0.015061	0.0124845	0.0181028	0.017622	0.0216344	0.0168776	0.0260974	0.0379134	0.0303405	0.0363603	0.0510331	0.0541395	0.0511411	0.039158	0.0360585	0.036022	0.0276689	0.0399468	0.0194788	0.0247477	0.0277573	0.0346949	0.0210534	0.0249576	0.0167212	0.0167621	0.0157585	0.0231021	0.0249751	0.0898947
cendres	0.0456674	0.0300594	0.0368935	0.0192007	0.00812036	0.00750959	0.0033174	0.00720567	0.0078575	0.0148839	0.00822256	0.0184915	0.0179899	0.0135328	0.0187473	0.0266691	0.0336406	0.0339066	0.0565337	0.0614617	0.0769727	0.0808558	0.0693057	0.059036	0.0436594	0.0323315	0.0145185	0.0130939	0.0174583	0.00670181	0.0157726	0.0141031	0.0185373	0.0180345	0.0497078
dans	0.124027	0.071074	0.0793958	0.0339798	0.0146253	0.0142038	0.00803741	0.0151332	0.00923046	0.0145202	0.0107462	0.0102507	0.0085036	0.00682067	0.00706438	0.0217615	0.024436	0.0381905	0.028768	0.0582197	0.0565005	0.0474224	0.044205	0.0288535	0.0154357	0.0160473	0.0162007	0.0156405	0.0151608	0.0161091	0.0142529	0.016265	0.0173384	0.0226906	0.0588897
la	0.0640199	0.0451201	0.0410103	0.0214565	0.00887677	0.0112527	0.00423893	0.0061273	0.00677289	0.00682122	0.00737338	0.00571928	0.00603422	0.00757194	0.0058942	0.01481	0.0164296	0.0226276	0.0221592	0.0272509	0.0315731	0.0345901	0.0378394	0.0368451	0.0344722	0.0406746	0.0461451	0.0307076	0.0381797	0.0317642	0.0275475	0.0293574	0.0562607	0.0637683	0.108708
poubelle	0.0427694	0.0281427	0.0178689	0.0100918	0.00751105	0.0102911	0.00649791	0.00632638	0.00675663	0.0111757	0.00730011	0.014049	0.0140799	0.00729186	0.010302	0.0147277	0.0166478	0.0209488	0.0218014	0.0276526	0.031348	0.0304018	0.0418064	0.0299292	0.0374021	0.0366388	0.0457215	0.0370711	0.0482904	0.0360362	0.0471876	0.041363	0.0600564	0.0675141	0.107
</S>	0.0883427	0.0789096	0.0500275	0.0287998	0.0156595	0.0222548	0.00907744	0.0142774	0.0134568	0.012322	0.0161343	0.00831631	0.00714867	0.0075766	0.00807374	0.0195394	0.0211406	0.0330621	0.0345743	0.0353603	0.0313216	0.0302405	0.0328541	0.0255159	0.022522	0.022848	0.0238493	0.0131328	0.024212	0.0164734	0.0155445	0.0220042	0.0507482	0.0463979	0.0982818
