 	e	b	h	y	ó	n	d	o	b	á	a	k	o	b	h	á	m	ó	p	á	n	d	e	y	á	s	ó	k	a	</S>
ebhyondo	0.0132006	0.0137111	0.0124774	0.0131207	0.0180946	0.0199566	0.0310077	0.0426504	0.041694	0.0485833	0.0573436	0.0603171	0.0569628	0.0672068	0.0695249	0.0383709	0.039205	0.0168918	0.0229491	0.0182151	0.0208603	0.0240772	0.021056	0.0258243	0.0310852	0.0333881	0.0358193	0.0365189	0.0402442	0.0296429
est	0.0276584	0.0301623	0.0310345	0.0370083	0.0360035	0.0516562	0.0432107	0.0365295	0.0338532	0.0162264	0.0210331	0.0261028	0.0452876	0.0427299	0.0471583	0.0618622	0.063345	0.0615754	0.0278364	0.0275728	0.0234158	0.0243794	0.0219967	0.017898	0.0149309	0.01332	0.0166738	0.0197893	0.0367497	0.0429997
un	0.0207569	0.0231266	0.0225697	0.0355974	0.0586215	0.0904404	0.079667	0.0531503	0.0567292	0.049873	0.0498856	0.0279425	0.0184727	0.0165627	0.0136105	0.0254251	0.02223	0.013113	0.0212537	0.0264058	0.0331908	0.0300554	0.0366869	0.0241355	0.0201183	0.0165365	0.0222335	0.0132901	0.024733	0.0535865
bois	0.040554	0.038074	0.0319213	0.0441624	0.0242496	0.029277	0.0285927	0.0311961	0.0316704	0.0313258	0.032647	0.0296914	0.0296806	0.0321631	0.0367132	0.0371482	0.0377711	0.0507439	0.0479546	0.0385266	0.0343512	0.0324945	0.0201197	0.0255732	0.0243251	0.0241178	0.0212619	0.0239671	0.0357741	0.0539523
qu'	0.0453324	0.031699	0.0392632	0.0304153	0.027552	0.0268765	0.0262953	0.0356192	0.0390784	0.0255737	0.0276171	0.0246828	0.0190848	0.0262824	0.0266197	0.0297436	0.0291546	0.0314173	0.0416955	0.0247266	0.0464039	0.0408431	0.0425732	0.044307	0.0336961	0.0236203	0.0233094	0.0171193	0.0339083	0.08549
on	0.0478327	0.0323378	0.0235307	0.0170246	0.0149702	0.0150993	0.0189414	0.0242535	0.0246274	0.0225515	0.0244324	0.0233229	0.0257962	0.035759	0.0363652	0.0415654	0.0265169	0.0507115	0.0341242	0.0362681	0.0406889	0.0385489	0.0275137	0.0305299	0.0248484	0.0227603	0.0222462	0.0378258	0.0573086	0.121698
utilise	0.0696898	0.0426068	0.0336836	0.0276623	0.0321777	0.0271943	0.0211805	0.0187189	0.0149658	0.0141042	0.0166081	0.0149352	0.0211365	0.0255495	0.0336636	0.0400397	0.0631486	0.0578912	0.0669126	0.0482794	0.0317781	0.0224493	0.0286428	0.0326037	0.0259556	0.0174273	0.0313987	0.0332972	0.0403543	0.0459448
pour	0.0554377	0.0381426	0.0477789	0.0388733	0.0349658	0.0328189	0.0285248	0.0397553	0.0485908	0.0327615	0.0249878	0.017604	0.0202322	0.0168966	0.0184249	0.0262359	0.0168047	0.0268575	0.0243558	0.0333326	0.0269161	0.0209373	0.0256697	0.0268783	0.0292466	0.0196802	0.027391	0.041698	0.0565872	0.101614
la	0.0548661	0.0381807	0.037394	0.0357042	0.0364142	0.0282487	0.022783	0.0155178	0.0159765	0.0125975	0.0114551	0.00935634	0.0102391	0.00892399	0.00826352	0.00873444	0.00691157	0.0171355	0.0227529	0.0443515	0.0483772	0.050685	0.0520138	0.0521905	0.0516917	0.0444145	0.0470651	0.0561193	0.0640388	0.0875973
fabrication	0.065192	0.0311321	0.0225608	0.0146584	0.0105756	0.00677883	0.00733214	0.00767756	0.00730585	0.00822556	0.00793853	0.00826308	0.00725758	0.00794459	0.00840791	0.00834046	0.0101796	0.0178064	0.0210951	0.0346264	0.0355486	0.043005	0.0343326	0.0515133	0.060587	0.0578054	0.067604	0.0832613	0.0795737	0.173471
du	0.0511159	0.0428031	0.0324463	0.024866	0.0192415	0.0213899	0.0353675	0.0216489	0.0213128	0.0207371	0.0189094	0.0161619	0.0149644	0.0157799	0.0164836	0.01598	0.0168786	0.0224162	0.0199332	0.0308925	0.0303711	0.0271091	0.0310444	0.0369241	0.0380456	0.0308103	0.0369221	0.053287	0.0790154	0.157142
manche	0.0467557	0.0189424	0.0120161	0.00810217	0.00773335	0.00499782	0.00696477	0.00613452	0.0065414	0.00964284	0.00818886	0.00850452	0.00666221	0.00781662	0.00736768	0.00669085	0.011561	0.0171347	0.018564	0.0373535	0.0439431	0.0513744	0.0456773	0.0719134	0.0622692	0.0485217	0.0690583	0.0950479	0.102811	0.151709
de	0.0438376	0.0265135	0.0143662	0.00861376	0.00666224	0.00473825	0.0076578	0.00688694	0.00636046	0.00846193	0.00821037	0.00924617	0.00737483	0.00913618	0.00849965	0.00855107	0.0114464	0.0206164	0.0260355	0.0411129	0.0444136	0.0468867	0.0477003	0.0756499	0.0690788	0.0474932	0.0594343	0.0829192	0.100078	0.142018
hache	0.041996	0.0208842	0.00950509	0.00679684	0.00594465	0.00521899	0.00819774	0.00739566	0.00812435	0.0117277	0.00992557	0.0110277	0.00792537	0.00792158	0.00720952	0.00670105	0.00654634	0.011198	0.0116507	0.0235009	0.0370931	0.0466354	0.0419753	0.0630044	0.0570867	0.0515572	0.0484504	0.0857245	0.109079	0.229996
</S>	0.0570299	0.0331377	0.015357	0.0115072	0.0133445	0.0181843	0.0304306	0.0389093	0.0371411	0.048958	0.0459927	0.050094	0.037682	0.0329426	0.0259029	0.0256842	0.0169053	0.022509	0.0186349	0.0203839	0.0176185	0.0199232	0.0227635	0.0321414	0.0293198	0.0288	0.0330609	0.0488019	0.067461	0.0993787
