 	s	e	b	ω	n	g	ω	e	s	a	a	m	i	y	á	n	d	z	o	ó	y	é	e	d	z	w	á	i	d	z	ó	m	i	í	b	a	a	</S>
dans	0.0118759	0.0174696	0.0180575	0.0266594	0.0253991	0.0297026	0.0325406	0.0433743	0.0375161	0.0435066	0.0583096	0.0779352	0.0589459	0.0534428	0.0705756	0.0349996	0.036318	0.0216839	0.015704	0.02275	0.0162301	0.0080934	0.00773088	0.00479118	0.00555969	0.00529058	0.00689955	0.00954412	0.00793434	0.0111439	0.0172704	0.0199579	0.0156171	0.0340402	0.0282365	0.0214977	0.0251841	0.018212
la	0.0382717	0.0332156	0.0275901	0.0227683	0.0164701	0.0165915	0.0223514	0.0188056	0.0238437	0.0173796	0.0222173	0.0385073	0.124284	0.0976178	0.114049	0.0406381	0.0374588	0.0282361	0.0201419	0.0372872	0.0273519	0.0156853	0.0147682	0.0184418	0.0131537	0.0154222	0.00763333	0.00886669	0.00238943	0.00557274	0.00619461	0.0119771	0.00493361	0.0151811	0.00848182	0.00942053	0.00656678	0.0102341
ville	0.0316386	0.0325651	0.0431509	0.0336021	0.0241184	0.0365209	0.0343288	0.0372859	0.0200875	0.0123722	0.0117477	0.0108605	0.0226154	0.025179	0.0463354	0.0197636	0.025596	0.0126051	0.0122058	0.0717128	0.0470622	0.0173758	0.0330708	0.021024	0.0200657	0.025257	0.0201118	0.0151405	0.0170652	0.029595	0.0488023	0.0352511	0.0276241	0.0221242	0.0113019	0.0242835	0.00802401	0.0125292
de	0.0132453	0.0144693	0.0240977	0.0371856	0.0418861	0.0409651	0.030747	0.0187847	0.0163346	0.0199401	0.0295823	0.0265718	0.0376028	0.0390301	0.04976	0.027113	0.0378741	0.0311283	0.0295468	0.0365753	0.0378915	0.0393447	0.0331514	0.0499498	0.0265286	0.0369055	0.0155415	0.0177888	0.0274139	0.0133991	0.0166056	0.00986339	0.0109409	0.00721866	0.0109094	0.0104651	0.0109641	0.022678
boundji	0.0364603	0.0309771	0.0409722	0.0465446	0.0642903	0.0573443	0.060466	0.0603272	0.06497	0.0364302	0.040715	0.0239348	0.0144287	0.0148067	0.0223377	0.011688	0.0159804	0.0107991	0.0133175	0.0223587	0.0176192	0.00987173	0.0289757	0.0167979	0.0224114	0.0161131	0.0144312	0.0117058	0.00664998	0.015116	0.0154587	0.0306349	0.022575	0.00835845	0.00844105	0.0134942	0.00937016	0.0428266
une	0.0244962	0.0212483	0.0162992	0.0162338	0.0163015	0.016092	0.0171465	0.0118426	0.00999208	0.00992743	0.0113959	0.0126841	0.0181131	0.0173102	0.021924	0.0209658	0.0339719	0.0380881	0.0435677	0.0478463	0.0507313	0.0532511	0.0486652	0.0542338	0.0537531	0.0461811	0.0223958	0.0221302	0.00916664	0.02062	0.0217336	0.0266526	0.0308268	0.0110726	0.0105579	0.023072	0.0205472	0.0489621
gerbe	0.0331515	0.0308908	0.022416	0.0236891	0.030571	0.0257154	0.0253883	0.0238399	0.0288829	0.0214557	0.0242301	0.0260405	0.0401824	0.0495911	0.0599178	0.0530924	0.0585589	0.0425101	0.0367266	0.0337516	0.0310935	0.0217117	0.0324903	0.0265212	0.0255646	0.02208	0.00834901	0.00837439	0.00676463	0.0102529	0.00978598	0.00878057	0.00916275	0.0068189	0.00772721	0.0150712	0.0123917	0.0464573
d'	0.0863134	0.0398051	0.0252894	0.0232918	0.0295414	0.040321	0.0430147	0.0299362	0.0186482	0.0108687	0.00984025	0.0137813	0.0171416	0.0252888	0.0217037	0.0253843	0.0233017	0.0225162	0.0139265	0.0139728	0.0172196	0.0209044	0.0166734	0.039727	0.0535866	0.0169089	0.0296167	0.0185088	0.00858735	0.0285496	0.0278068	0.01347	0.0290307	0.0134566	0.0169275	0.0188027	0.0175414	0.0787949
arachide	0.0532975	0.0297727	0.0284193	0.0267255	0.0345981	0.0268707	0.017937	0.0116122	0.010295	0.00934129	0.00809383	0.0118409	0.013255	0.00884492	0.0115678	0.0087408	0.0132254	0.017649	0.020841	0.0323804	0.0346633	0.0390272	0.0417045	0.0493574	0.0355347	0.0422707	0.0329159	0.0361196	0.0210151	0.0234827	0.0250353	0.0267354	0.0237939	0.0202735	0.0155477	0.0332567	0.0309334	0.0730245
coûte	0.0491118	0.0314018	0.0282999	0.0253492	0.0294576	0.0230414	0.0298286	0.0296154	0.0302378	0.0220744	0.0118748	0.0083126	0.00859603	0.00801537	0.00783461	0.00693883	0.00900218	0.0144609	0.0169758	0.0263191	0.0418711	0.0583061	0.03942	0.0830339	0.0424551	0.0593578	0.0258576	0.0242401	0.0283243	0.0139846	0.0205882	0.0123631	0.0142116	0.00903567	0.0129725	0.0174119	0.0176778	0.0621405
