 	o	b	a	l	e	l	á	a	p	f	u	á	m	b	ω	n	d	í	b	a	á	á	t	s	ú	s	a	a	t	s	ó	o	</S>
le	0.00814938	0.0142332	0.0172149	0.0110369	0.0129595	0.0224277	0.040781	0.0435505	0.0456071	0.0453415	0.0495704	0.0394719	0.0765879	0.0655904	0.0726644	0.0578726	0.0423953	0.0353298	0.02486	0.0295279	0.0262889	0.0217216	0.0247712	0.0213263	0.0186585	0.0164843	0.0145006	0.0134175	0.0165003	0.0175485	0.0183499	0.0164397	0.0188204
récolteur	0.0229322	0.0590729	0.0684255	0.0991194	0.0402718	0.0203708	0.026561	0.0413338	0.0764685	0.0946465	0.0705944	0.0588496	0.0709783	0.0704168	0.056987	0.0369063	0.0149855	0.00766203	0.00695473	0.00370192	0.00313572	0.00419149	0.00345889	0.00282999	0.00384091	0.0051854	0.00726564	0.00684764	0.00539597	0.00476608	0.00300928	0.00182837	0.00100569
de	0.0435959	0.032296	0.0244232	0.0242994	0.0228589	0.0191794	0.0157086	0.0164916	0.0128557	0.0158075	0.0117327	0.0137995	0.0149222	0.0177801	0.0323314	0.050301	0.0696156	0.0613672	0.0519197	0.0512721	0.0432544	0.0346597	0.0592029	0.0616312	0.0465616	0.0377634	0.0299571	0.0222476	0.0150403	0.0148546	0.0130687	0.013807	0.00539372
vin	0.0399132	0.100403	0.0835374	0.0943895	0.0722412	0.0443189	0.0393747	0.0232502	0.0186363	0.0168445	0.0173476	0.0163189	0.0183724	0.0205596	0.0313299	0.0352012	0.0552986	0.0346461	0.028882	0.0271586	0.0193973	0.0148708	0.0167918	0.015529	0.0129063	0.0100567	0.00970053	0.00638544	0.00704028	0.0110114	0.0120545	0.0184821	0.0277505
de	0.0791666	0.0601803	0.0420234	0.0334574	0.0300053	0.0288805	0.0232116	0.017718	0.0142202	0.0128281	0.0117291	0.014651	0.0147845	0.0194417	0.0203639	0.0235694	0.0400528	0.0490146	0.0554769	0.0501184	0.0638861	0.0465099	0.032019	0.0372683	0.0290843	0.0211929	0.0168329	0.0109573	0.0104043	0.0144026	0.0210149	0.0181916	0.0373421
palme	0.0481818	0.0451366	0.0387032	0.0329055	0.0271034	0.0251849	0.0256656	0.023222	0.0194851	0.0191857	0.0177426	0.0162813	0.0140821	0.0139967	0.0160266	0.0160651	0.0331481	0.0469896	0.0528802	0.0479297	0.0454635	0.0413562	0.0366171	0.0259644	0.0243779	0.0176204	0.014343	0.00976358	0.013807	0.0263166	0.0441542	0.0426745	0.0776257
renverse	0.0364778	0.0332792	0.0316351	0.0317095	0.0256125	0.0177	0.0179015	0.0188769	0.0168643	0.0181607	0.014652	0.0109906	0.00830512	0.00892314	0.0145172	0.020838	0.0331273	0.0321112	0.0319376	0.0318545	0.0268106	0.0267952	0.0265117	0.0219722	0.0248109	0.0234465	0.0176353	0.0202611	0.0290183	0.0410272	0.0579518	0.0774608	0.150824
la	0.0744936	0.0399925	0.0257138	0.0186147	0.0130654	0.00762278	0.00539865	0.00579248	0.00648824	0.00749559	0.00881644	0.0114868	0.0104335	0.0115076	0.0158832	0.0290037	0.0424149	0.0374652	0.0413303	0.0433556	0.0411761	0.0654113	0.077322	0.0486201	0.0469425	0.0371514	0.0223193	0.0188303	0.0173797	0.0242966	0.0368781	0.0485878	0.0587098
lie	0.0582169	0.0304191	0.0256064	0.0200676	0.0144249	0.00820217	0.00652289	0.00573292	0.00587492	0.0062287	0.00729013	0.00793682	0.00891322	0.00836106	0.011765	0.015477	0.0188882	0.0180886	0.024757	0.0265829	0.0202457	0.0402238	0.0524002	0.0235792	0.0397943	0.0317829	0.0455699	0.044541	0.0416492	0.056302	0.0809285	0.0855908	0.108036
pour	0.163021	0.05878	0.0368931	0.0346258	0.0354656	0.0353431	0.0279029	0.0236758	0.0241071	0.0281892	0.0181344	0.0166376	0.0108484	0.0109452	0.0116411	0.016277	0.0191049	0.0187721	0.0229623	0.0177256	0.0199569	0.0218571	0.025465	0.0242682	0.0223505	0.018027	0.0118129	0.0128054	0.0134515	0.0193707	0.0280174	0.0391253	0.11244
