 	y	é	k	á	s	i	y	ó	m	b	á	n	g	é	y	í	i	y	ó	s	á	á	</S>
celles-ci	0.0130499	0.0233602	0.0170725	0.01686	0.0137127	0.0370234	0.0286531	0.0429364	0.067363	0.0765736	0.132719	0.135629	0.072787	0.042989	0.0279204	0.04465	0.0331713	0.0172016	0.021468	0.0322367	0.0470188	0.0356976	0.0199062
sont	0.118221	0.0550576	0.065586	0.0801376	0.0898626	0.0607811	0.0498461	0.0394611	0.0319573	0.0185101	0.028002	0.0248978	0.0150409	0.0190347	0.0297924	0.0480968	0.0657311	0.0599557	0.025971	0.0280509	0.0118581	0.0149664	0.019182
des	0.17011	0.111216	0.0616097	0.0523098	0.0595177	0.0714503	0.0506859	0.0388061	0.026251	0.0151262	0.0106848	0.00911436	0.0205489	0.0298873	0.0223619	0.0288689	0.0506528	0.0400276	0.0234327	0.0220473	0.0216351	0.032421	0.0312349
feuilles	0.067489	0.0828804	0.0705354	0.0618406	0.0560475	0.0712873	0.0557484	0.0364789	0.0327652	0.0224983	0.0154952	0.0126029	0.019605	0.0252518	0.0368751	0.0737417	0.0546485	0.0358162	0.026393	0.0187741	0.0205841	0.0336459	0.0689955
de	0.0411786	0.0431712	0.049577	0.0572935	0.0568407	0.0620431	0.0503854	0.0346043	0.0236561	0.0157234	0.00934347	0.00697522	0.0108836	0.00941229	0.00865403	0.0137822	0.0203558	0.0263134	0.0296393	0.0345578	0.0402935	0.0759548	0.279361
manguier	0.0612501	0.0499314	0.040794	0.0374695	0.0305662	0.0320454	0.0271958	0.0243015	0.0217957	0.0203339	0.0211623	0.0194843	0.0230325	0.0282726	0.0445694	0.0651828	0.0637673	0.053118	0.0509914	0.0594981	0.0668692	0.0739217	0.0844469
celles-là	0.0796718	0.0545826	0.0405872	0.033272	0.0299938	0.0294523	0.029733	0.027874	0.0213225	0.0187879	0.0188788	0.0195297	0.0284385	0.041192	0.0571802	0.0665506	0.0600716	0.0543145	0.0432566	0.0484412	0.0554592	0.0606928	0.0807172
sont	0.0422086	0.0306815	0.0253131	0.02336	0.0257003	0.0210368	0.0238554	0.0344959	0.0367042	0.030082	0.0252384	0.0181352	0.0196463	0.0247138	0.0279454	0.0525218	0.0611126	0.0532084	0.0529296	0.0585798	0.0769645	0.0827791	0.152787
du	0.0851707	0.0540287	0.0371028	0.025727	0.0195579	0.0153778	0.0180024	0.0258492	0.0294237	0.0292031	0.0300163	0.0297467	0.0362192	0.0362964	0.0360431	0.048574	0.0595428	0.036515	0.0443483	0.0500611	0.062304	0.0718105	0.119079
safoutier	0.0890349	0.0424511	0.0334921	0.0263108	0.0197768	0.018417	0.0183042	0.00935064	0.00724054	0.00628672	0.00758358	0.00464079	0.00693509	0.0120175	0.0202933	0.0348218	0.0416635	0.0420593	0.0615778	0.0646431	0.0908128	0.116603	0.225684
</S>	0.250471	0.06345	0.0409921	0.0296513	0.0246888	0.0269973	0.0294295	0.0290084	0.0241759	0.0252595	0.0407353	0.0200446	0.0197367	0.0221321	0.0231481	0.0224298	0.0217449	0.0260253	0.0249371	0.0320057	0.0303209	0.0501075	0.122508
