 	o	k	a	m	b	a	b	ó	l	á	a	b	h	ε	n	g	έ	b	v	á	r	e	</S>
le	0.0309775	0.0281246	0.0266703	0.0195578	0.0180296	0.0283525	0.0313898	0.0377953	0.0270125	0.0243609	0.0499305	0.0672139	0.0593966	0.13168	0.118537	0.0946259	0.065307	0.0374318	0.0246985	0.0205181	0.0177343	0.0192772	0.0213782
sculpteur	0.0341468	0.0648417	0.0960066	0.086203	0.0448216	0.0586729	0.0699895	0.0372182	0.149305	0.100999	0.109684	0.0479382	0.0249562	0.0195141	0.0181433	0.0163229	0.00839549	0.00432356	0.00482084	0.00188548	0.000870011	0.000417762	0.000524411
est	0.0309169	0.0342516	0.0383731	0.032184	0.0496679	0.0813454	0.0711371	0.142339	0.096727	0.0955151	0.0754022	0.0342976	0.045738	0.0297972	0.0362122	0.0238354	0.0179386	0.0131046	0.0109314	0.0107091	0.00748134	0.00839004	0.0137052
en	0.0392281	0.0504168	0.0498668	0.0401419	0.055693	0.0709335	0.0516996	0.0286667	0.0241494	0.012682	0.00901019	0.0146291	0.016219	0.0425682	0.0774224	0.0930982	0.084448	0.0526617	0.057121	0.033354	0.023212	0.0240173	0.0487611
train	0.0328855	0.0423993	0.0383767	0.0356974	0.0340408	0.0472565	0.0797627	0.0418661	0.0577654	0.039149	0.0257237	0.0469015	0.0477116	0.0515717	0.0753703	0.0563918	0.0522848	0.0422293	0.0411309	0.0323748	0.0386107	0.0171355	0.0233639
de	0.087245	0.078891	0.06842	0.0889062	0.0423239	0.0228526	0.0404532	0.0316598	0.0977986	0.0408612	0.0535923	0.0256301	0.0215951	0.0135115	0.00893159	0.00549259	0.00608617	0.0109812	0.0178022	0.0306932	0.0242279	0.0390102	0.143034
tailler	0.0742745	0.0462189	0.0396075	0.050308	0.0556175	0.0736051	0.0718585	0.0733797	0.0702639	0.0586112	0.0329842	0.0219781	0.0185873	0.0189245	0.0285531	0.0299299	0.0410589	0.0244797	0.0341608	0.023074	0.0263759	0.0289167	0.0572321
la	0.0689963	0.0349399	0.0249012	0.0354622	0.031279	0.0444733	0.0540265	0.04269	0.035486	0.0121841	0.00610779	0.00736995	0.00810974	0.0141216	0.0190716	0.0257301	0.0496447	0.0511961	0.0763418	0.0609942	0.0854378	0.081526	0.12991
pirogue	0.0425576	0.0430499	0.039587	0.0335882	0.0222592	0.0126666	0.0102731	0.00527285	0.00673997	0.00479578	0.00517238	0.00809508	0.00880944	0.00875803	0.0138528	0.0468599	0.0498978	0.0499066	0.0756481	0.0854003	0.126578	0.117742	0.182489
</S>	0.0746469	0.0477964	0.0428075	0.0341704	0.0241342	0.0118267	0.00789742	0.00497057	0.00492583	0.00468427	0.00492362	0.00395228	0.00483658	0.00572642	0.00711373	0.0314989	0.0572551	0.0421777	0.0899856	0.0680239	0.114869	0.117876	0.1939
