 	n	g	ó	o	á	d	z	e	l	á	a	k	a	n	á	m	w	á	n	a	o	s	a	b	h	i	s	ó	n	ω	ω	b	a	á	á	l	ó	a	</S>
la	0.181379	0.112954	0.0208954	0.019836	0.0121524	0.00640626	0.00860862	0.00392428	0.0113741	0.0164734	0.00966824	0.0150526	0.0139307	0.011662	0.0127425	0.0279318	0.0284367	0.0373263	0.0516177	0.0203867	0.0200522	0.0187556	0.011739	0.00930445	0.0138335	0.015104	0.0187664	0.0196836	0.015217	0.0225457	0.0205597	0.0238446	0.0264071	0.022304	0.0258565	0.0224638	0.0238308	0.022702	0.0242722
mère	0.239764	0.118384	0.190491	0.104035	0.103789	0.0560899	0.0324023	0.022263	0.0193508	0.0340242	0.0187071	0.0109515	0.00186006	0.00132231	0.00117151	0.000895821	0.000460699	0.000252597	0.000158445	0.000334583	0.000359211	0.000355725	0.000432068	0.000463674	0.000696033	0.00116859	0.00255835	0.00606218	0.00256306	0.00700141	0.00434669	0.00668915	0.00346958	0.00208814	0.00196154	0.00122158	0.00122047	0.000328507	0.000306231
enfonçait	0.0136645	0.0302737	0.0554949	0.0570063	0.0678554	0.0509537	0.0212534	0.0244354	0.022693	0.0387228	0.0298698	0.0142309	0.0157799	0.0186429	0.0404811	0.0218514	0.0218271	0.0285597	0.0184187	0.0219726	0.024269	0.0121299	0.0275527	0.0168857	0.0105227	0.00804886	0.00477747	0.00436987	0.00885586	0.0234105	0.0340254	0.0438553	0.0278756	0.0304157	0.0293924	0.0272758	0.0156844	0.0243047	0.012361
son	0.0245239	0.0282657	0.0380429	0.0663162	0.026401	0.0212752	0.0205226	0.0231893	0.0239531	0.0282577	0.0346237	0.0264545	0.0245917	0.0214868	0.0271768	0.0110351	0.00958973	0.0106688	0.0164995	0.0217584	0.0263008	0.0224909	0.0520926	0.0371279	0.0350265	0.0297179	0.0206929	0.0161088	0.01821	0.0226374	0.020167	0.0139377	0.0181294	0.0150537	0.028254	0.0223813	0.0283395	0.0291832	0.0395159
doigt	0.0293305	0.0298951	0.0314141	0.0378944	0.0347662	0.0312708	0.0306054	0.032044	0.0298778	0.0329193	0.0314735	0.0342134	0.0267704	0.0204556	0.0178768	0.0167821	0.00901128	0.00872536	0.0188063	0.00808411	0.0115692	0.0129626	0.0142869	0.0126656	0.0196857	0.0226425	0.0273986	0.0411005	0.0268461	0.027589	0.0338101	0.0185636	0.0474159	0.0308974	0.0445711	0.0271954	0.0317506	0.0161219	0.0207108
dans	0.0283416	0.0125848	0.0148301	0.0198034	0.0200611	0.03711	0.0368952	0.0342393	0.0218629	0.0231283	0.0232456	0.0186088	0.0155112	0.0162968	0.0152364	0.0102277	0.00964158	0.0124529	0.0125353	0.0145304	0.022235	0.0217376	0.0280296	0.0221639	0.0152116	0.0139522	0.0114785	0.0130103	0.0185336	0.026847	0.0369667	0.0271252	0.0254739	0.0308081	0.0328501	0.0610548	0.0500409	0.0633641	0.0819736
la	0.0114289	0.00507268	0.00570994	0.00610948	0.00725858	0.00926556	0.00975634	0.0104715	0.0133512	0.0260065	0.0279196	0.0367819	0.0184033	0.0222024	0.0249936	0.0296304	0.0332726	0.0313007	0.0174044	0.0188496	0.0369946	0.0642479	0.051417	0.0714208	0.059809	0.0540757	0.0510808	0.0550253	0.0245201	0.0184892	0.0142409	0.00884834	0.0121522	0.0109003	0.0139688	0.0165723	0.0161833	0.0158792	0.038985
bouche	0.0175904	0.0124084	0.010752	0.0125519	0.0112055	0.0093313	0.00898008	0.0103566	0.0101986	0.0106876	0.0128135	0.0151675	0.0160301	0.0216939	0.0182711	0.0250269	0.0177663	0.0261122	0.0220659	0.0228094	0.0371627	0.039186	0.044059	0.0448213	0.0347975	0.0326401	0.0264264	0.02378	0.0161319	0.0188289	0.0214487	0.0137256	0.0299552	0.0114805	0.0318845	0.038412	0.062104	0.0589839	0.102353
de	0.032585	0.0244872	0.0272787	0.0339009	0.0266026	0.024388	0.0270039	0.0262304	0.0180846	0.0133442	0.017961	0.0199915	0.0305858	0.0270203	0.0227339	0.0235	0.0232433	0.032228	0.045752	0.0337196	0.0562078	0.030654	0.0451232	0.0318117	0.021076	0.0192646	0.0160183	0.0125392	0.0109717	0.00952395	0.0157182	0.00884761	0.00972208	0.00633854	0.0109507	0.0189921	0.0170104	0.0272927	0.101297
l'	0.0325319	0.0223962	0.0261054	0.0291779	0.0235739	0.020257	0.0193403	0.0184338	0.0109225	0.0137247	0.0120254	0.0114521	0.00756489	0.00606737	0.00866646	0.00365453	0.00550484	0.00952289	0.00949142	0.012387	0.0290279	0.0220033	0.0382013	0.0466381	0.025735	0.0429361	0.0366292	0.0298414	0.0170477	0.0208997	0.0215779	0.00600864	0.0260165	0.00591559	0.0295062	0.0553105	0.0614451	0.0720201	0.110439
enfant	0.0267786	0.0261541	0.020524	0.0211472	0.0137891	0.0129298	0.0124478	0.0118784	0.0122338	0.0152834	0.0126056	0.0142574	0.0109343	0.0106166	0.0117749	0.00576673	0.00717283	0.0117067	0.0185345	0.0157059	0.036714	0.0369384	0.0530035	0.0829638	0.0401074	0.0510269	0.0471498	0.0274004	0.0100374	0.00830559	0.00850851	0.00403293	0.0188524	0.00612554	0.0238864	0.0389018	0.0580904	0.0420935	0.11362
pour	0.0384576	0.0262998	0.0371568	0.0406315	0.0343299	0.0306971	0.0291862	0.0253287	0.0127622	0.0109124	0.00924033	0.00571518	0.00800412	0.0134952	0.011599	0.0117283	0.0105926	0.0140785	0.0161978	0.0167763	0.0282862	0.0165275	0.0245337	0.0203269	0.0128473	0.0199861	0.0175726	0.0147519	0.0149709	0.0198912	0.0261912	0.0112031	0.0267337	0.010893	0.0232005	0.0458762	0.0543915	0.0611401	0.147487
le	0.0394976	0.026129	0.0284141	0.0285237	0.0183858	0.0155622	0.0134238	0.0112038	0.0078869	0.00726345	0.0070505	0.0073793	0.00905868	0.0103008	0.0104952	0.00561529	0.00622746	0.00987945	0.0139624	0.0160166	0.0266621	0.0252953	0.0341524	0.0255432	0.0171666	0.0229756	0.0117314	0.0100223	0.00958946	0.0161518	0.0181624	0.0197295	0.0479573	0.0288388	0.0623844	0.0771486	0.0911707	0.0700652	0.092977
faire	0.032773	0.0359561	0.0313793	0.0370048	0.0225967	0.0189349	0.0189194	0.016142	0.0111755	0.00909474	0.00811095	0.00781129	0.0136585	0.0171438	0.0137068	0.00973486	0.0124735	0.0161503	0.0378006	0.0245439	0.0433098	0.0348468	0.0377864	0.0373314	0.0255021	0.0277328	0.0147116	0.0106385	0.00908792	0.010456	0.0133884	0.00379199	0.040251	0.0101766	0.0386369	0.0539752	0.064001	0.0415967	0.0876679
vomir	0.0319981	0.0152307	0.0178037	0.0270774	0.0210438	0.0167864	0.0252898	0.0205919	0.0274864	0.0230569	0.0232249	0.0170655	0.0214105	0.0203808	0.0249458	0.0165205	0.0224853	0.0294703	0.0336566	0.0277097	0.0371936	0.0273809	0.0388779	0.0418479	0.0286697	0.0327985	0.0229331	0.0202318	0.0159538	0.0142467	0.0164218	0.00804452	0.0191289	0.00907534	0.017938	0.0292798	0.0292294	0.0349955	0.092518
</S>	0.0288327	0.0165375	0.0224292	0.0346614	0.0196765	0.0195202	0.0252676	0.027302	0.020422	0.0160394	0.0181364	0.0139888	0.0179033	0.0149076	0.0168275	0.0133745	0.0163568	0.0160694	0.023733	0.0126927	0.0217077	0.014758	0.026718	0.0294148	0.0200475	0.0273009	0.0179556	0.0150435	0.0154276	0.0197455	0.0240876	0.0217672	0.0295247	0.0257894	0.0320775	0.0466913	0.0501866	0.0545648	0.112513
