 	t	á	á	á	b	ε	n	g	i	l	a	w	a	t	s	í	n	a	w	a	l	á	a	k	y	á	l	e	k	ώ	ώ	l	i	e	w	a	a	m	í	</S>
son	0.0100362	0.0162349	0.0509788	0.0303083	0.0194537	0.0126487	0.0120791	0.00992182	0.0138934	0.0153576	0.0290597	0.0343308	0.0511541	0.0424489	0.078556	0.0483452	0.0382805	0.0570638	0.0333796	0.0730566	0.0235381	0.0333218	0.0217412	0.0206934	0.0131703	0.00812988	0.0134365	0.010304	0.0241559	0.0136664	0.0159538	0.0110008	0.010124	0.0123158	0.0107173	0.0066225	0.0216298	0.0221829	0.0148477	0.0158602
père	0.17424	0.199377	0.129306	0.0953892	0.0553026	0.0684826	0.0591374	0.0515565	0.0611619	0.0192983	0.0208664	0.00376984	0.00678592	0.00145045	0.00325509	0.00323196	0.0076089	0.00148222	0.0043684	0.00116697	0.00113837	0.00330341	0.00554785	0.00223071	0.00189771	0.00189486	0.00145512	0.000824852	0.0023197	0.00102974	0.0022826	0.000663422	0.00172857	0.000785407	0.0011326	0.00096413	0.00145166	0.00141897	0.000514766	0.000177743
l'	0.031847	0.0446672	0.0212245	0.0294101	0.0240641	0.0179131	0.0406639	0.0351337	0.0293007	0.0496056	0.0285582	0.0543147	0.0235428	0.0236892	0.0282145	0.0294307	0.0382658	0.0923631	0.0500459	0.0422397	0.0149756	0.0347011	0.0198685	0.00800041	0.00912492	0.00921956	0.014949	0.00708074	0.0222993	0.00900809	0.0191264	0.00875742	0.0121051	0.00867211	0.00861262	0.00599686	0.0165341	0.0156158	0.0135195	0.00733859
a	0.0200765	0.0194667	0.015794	0.0198062	0.0223228	0.0194641	0.0267851	0.0350349	0.0379253	0.0551693	0.0375465	0.0973117	0.0547418	0.0219358	0.0737167	0.0461961	0.0408626	0.0472773	0.02126	0.0189795	0.0118698	0.021998	0.014269	0.0138379	0.014532	0.0163675	0.0140857	0.0140457	0.0155129	0.0127209	0.0110746	0.0127757	0.0108328	0.00990258	0.00905492	0.00911005	0.0100412	0.00925602	0.011294	0.0257458
réprimandé	0.017664	0.00931167	0.00837185	0.00833616	0.00941466	0.00939398	0.00775092	0.0128171	0.0177986	0.0197692	0.0233334	0.0271883	0.0366848	0.022748	0.0406689	0.0363857	0.0195151	0.0217353	0.0181165	0.0301277	0.0371081	0.0335932	0.0322895	0.0402608	0.0315056	0.0288681	0.0310506	0.0348251	0.0264838	0.0268649	0.0272452	0.0266874	0.0269036	0.0301618	0.0414276	0.024896	0.0261597	0.0260826	0.0220026	0.0284517
car	0.036047	0.0314755	0.0168879	0.00957289	0.0441296	0.0267262	0.0227482	0.0385986	0.0270196	0.0343564	0.0270425	0.0382872	0.0483729	0.035333	0.0739339	0.0232645	0.0139959	0.00846968	0.0117776	0.0191535	0.00671211	0.0112397	0.0149578	0.0188778	0.0154776	0.0165444	0.0159312	0.0165285	0.0334415	0.0258037	0.0224643	0.0254165	0.0265605	0.0163592	0.0198982	0.0177744	0.0128814	0.0216997	0.0239473	0.0502916
il	0.0293922	0.0187124	0.0192222	0.0144121	0.0205207	0.0130346	0.0137699	0.0225513	0.0164687	0.0211712	0.0211422	0.01878	0.022515	0.0180606	0.0409005	0.0213652	0.00826132	0.00787995	0.00891953	0.01302	0.00919544	0.0152198	0.0126666	0.020741	0.0206447	0.0195459	0.0246461	0.0286646	0.038092	0.0309592	0.0452578	0.0500248	0.0504114	0.0244594	0.0378369	0.033459	0.0289633	0.0351194	0.0370245	0.0669684
prend	0.0483448	0.0210666	0.0150983	0.0125062	0.0179431	0.0161012	0.0134854	0.0243843	0.0246509	0.028371	0.0214961	0.0332083	0.0244692	0.0227984	0.0316123	0.0378591	0.0212535	0.0262056	0.025376	0.0404347	0.0301129	0.0441612	0.0580293	0.0336979	0.0144405	0.0156117	0.0145966	0.00995274	0.024287	0.0252964	0.0190105	0.0138421	0.0186874	0.0163943	0.00876564	0.00586334	0.00865422	0.0203984	0.0247891	0.0867435
ses	0.0828781	0.0519434	0.0344052	0.0222575	0.0333159	0.0392272	0.0338981	0.0399736	0.0330278	0.0391436	0.0305554	0.0232157	0.0437585	0.0214427	0.0368666	0.0259611	0.0138643	0.0129495	0.0114246	0.0181832	0.0142873	0.0231339	0.026006	0.0159403	0.0166119	0.0188627	0.0141913	0.00968457	0.0192119	0.0270337	0.015753	0.00452158	0.0154836	0.0111195	0.00620273	0.00195556	0.0102933	0.0123871	0.0178392	0.0711889
études	0.0564237	0.035356	0.0237228	0.0204948	0.0192015	0.015615	0.0144436	0.01544	0.0141154	0.0147765	0.01367	0.0129209	0.0143016	0.00610685	0.0168851	0.0209636	0.009848	0.0140322	0.00848095	0.0239477	0.0188128	0.0353809	0.0363216	0.0255239	0.0157291	0.0160432	0.0200556	0.0182789	0.0408046	0.042414	0.0396955	0.0171124	0.0387288	0.0326135	0.0172313	0.00555254	0.0206855	0.0434346	0.0475996	0.0972357
à	0.0828241	0.0632329	0.0371084	0.0308883	0.014124	0.0135681	0.0151738	0.00842523	0.00944464	0.0114074	0.0108995	0.00889124	0.0116545	0.00464842	0.0139821	0.0156186	0.00616305	0.011052	0.00866149	0.0280637	0.0173983	0.0266776	0.024907	0.0170297	0.00656967	0.00678593	0.00879906	0.0083953	0.0268805	0.0314605	0.0381661	0.0332992	0.048698	0.0361124	0.0281828	0.0173174	0.0259031	0.0478432	0.0498967	0.0938459
la	0.0514377	0.0307958	0.022373	0.0192737	0.0110904	0.0119754	0.010203	0.00839427	0.00915418	0.0103191	0.00998686	0.0091074	0.0133294	0.00400358	0.0163165	0.0204608	0.00729504	0.0136368	0.00718368	0.0246623	0.0176434	0.0265604	0.026868	0.0196176	0.0131783	0.00985556	0.0161314	0.0160886	0.0294345	0.040895	0.0420355	0.0418735	0.0521528	0.0402245	0.0391495	0.0214133	0.0302215	0.0578209	0.0549186	0.0929182
blague	0.0160648	0.010067	0.00976274	0.00897487	0.00711575	0.0075871	0.00682036	0.00614271	0.00686373	0.00744524	0.00703649	0.00836277	0.00957516	0.00497737	0.0119422	0.0161378	0.0099979	0.0156483	0.00834464	0.0178888	0.0190126	0.0235045	0.019368	0.0190328	0.0183131	0.0166851	0.02076	0.0188911	0.0255174	0.0339206	0.0337847	0.0269968	0.0419555	0.0356494	0.0295765	0.0276242	0.0747828	0.0826242	0.0962506	0.138994
</S>	0.0345312	0.0259304	0.0191603	0.0193128	0.00948244	0.0158495	0.0218073	0.0147714	0.0226825	0.0243368	0.0214947	0.018128	0.0201226	0.00687193	0.0181501	0.0165656	0.00890277	0.0150497	0.0116796	0.0271364	0.0179792	0.023594	0.0246616	0.0391728	0.0128803	0.0116859	0.0151715	0.0136696	0.023751	0.0326846	0.0300522	0.0327985	0.0319804	0.0362336	0.0328764	0.0148714	0.0246839	0.0381591	0.0438584	0.12727
