 	t	á	á	á	t	í	n	d	i	n	g	á	o	p	i	á	o	s	á	á	s	é	f	u	n	d	u	</S>
papa	0.00719992	0.0201995	0.0291691	0.0992706	0.0577364	0.0338119	0.0235948	0.0583587	0.0425692	0.116916	0.102768	0.109463	0.0291379	0.0341848	0.048412	0.0293178	0.0158222	0.0264293	0.0180738	0.0147011	0.0110122	0.00554282	0.0038406	0.00450444	0.0100808	0.0132717	0.0172598	0.0173514
m'	0.111295	0.0814253	0.0947566	0.0590759	0.0596526	0.123649	0.0438512	0.0371368	0.045997	0.0336355	0.0309009	0.040052	0.0305337	0.0467804	0.0263257	0.0144979	0.00856483	0.0142429	0.0157886	0.0244123	0.0137652	0.0131597	0.00929288	0.00910696	0.00527673	0.00271186	0.00277676	0.00133508
a	0.0433113	0.0792889	0.0549419	0.0642499	0.107747	0.129967	0.0677432	0.0609516	0.103768	0.0389199	0.0612836	0.0432597	0.00717032	0.0123639	0.00963967	0.0115971	0.0114338	0.0120929	0.0146276	0.0175024	0.0080927	0.00808781	0.00620562	0.00592756	0.00412972	0.00471869	0.00379094	0.00718741
envoyé	0.0779856	0.0312234	0.0310829	0.0253303	0.0242153	0.0197978	0.0218183	0.0189112	0.0187484	0.0107665	0.0119362	0.0101755	0.015434	0.0231493	0.0319738	0.036328	0.0569019	0.0796388	0.0864523	0.0505013	0.059729	0.056267	0.0351207	0.0416284	0.0295091	0.028802	0.0305104	0.0360629
planter	0.0530341	0.0306037	0.0430168	0.0325338	0.0345333	0.028518	0.0349211	0.0298864	0.0283209	0.0295228	0.0278354	0.0297112	0.015755	0.0225921	0.0270172	0.0236897	0.0289451	0.0340149	0.042664	0.0448045	0.0471147	0.0400943	0.0405009	0.0414916	0.041219	0.0407364	0.0434815	0.0634418
un	0.0412722	0.020702	0.0112087	0.0124667	0.014503	0.0192451	0.0201597	0.0266083	0.0186552	0.0182599	0.0144843	0.0215173	0.0264371	0.0292387	0.0260607	0.0283868	0.0248107	0.0297321	0.0334556	0.0429724	0.0519018	0.0529199	0.0660875	0.06422	0.0584908	0.0648014	0.0718635	0.0895384
safoutier	0.0165562	0.0102888	0.00940457	0.00807647	0.00809621	0.00831267	0.00734933	0.00698992	0.00469765	0.00473691	0.00362447	0.00601585	0.00969426	0.0152188	0.0142835	0.0232193	0.0227289	0.051038	0.0360957	0.145129	0.145816	0.0956794	0.0738182	0.0569681	0.0441307	0.0362682	0.0627481	0.0730147
dans	0.0283484	0.0183088	0.0227992	0.0170279	0.0169128	0.0145327	0.0146933	0.012589	0.00896947	0.00755766	0.00559566	0.00387894	0.00294309	0.00594047	0.00691773	0.0111049	0.015827	0.0344187	0.0353017	0.0649648	0.0872514	0.0769647	0.0994747	0.065205	0.0667904	0.0515082	0.0863215	0.117852
la	0.0981015	0.0444176	0.0583159	0.0566023	0.0670535	0.0643669	0.0641392	0.0315056	0.0254299	0.0138422	0.0100449	0.0045098	0.00528671	0.00521764	0.0056845	0.00678547	0.00750193	0.010398	0.013558	0.0128996	0.0247901	0.0279951	0.0351154	0.0532653	0.047141	0.0557057	0.0578713	0.0924551
parcelle	0.0478484	0.039593	0.051172	0.0302766	0.0297011	0.0176565	0.0211676	0.0125429	0.0113411	0.00740061	0.00622759	0.0059732	0.00643939	0.00824877	0.00935896	0.0118199	0.0133924	0.0235135	0.0236691	0.0431049	0.0586538	0.0492551	0.054689	0.0602589	0.0796779	0.060898	0.0812945	0.134825
</S>	0.112186	0.0641206	0.0805528	0.0665107	0.0475512	0.0530297	0.0545849	0.0375183	0.0250995	0.0142008	0.00792667	0.00477018	0.003414	0.00647482	0.00924814	0.00940541	0.0104437	0.00901466	0.0199526	0.019922	0.02919	0.0210987	0.0256679	0.0268647	0.0432577	0.0356193	0.0500253	0.11235
